Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Boston,Gloucester,New England,North Carolina,Philadelphia,Salem,NA,,London,GB,,Dublin,IRE,,Africa,AFR,,Madeira,SEU,,TOTAL,
,,1737,,,,Sterling,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantitiy,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,pounds,,,,170.25,0,,0,0,,,,50,,,50,0,,0,0,,0,0,,0,0,,0,0,50,0
Cheese,casks,,,,170.25,0,,0,0,,,,,,3,3,0,,0,0,,0,0,,0,0,,0,0,3,0
Cheese,pounds,,,,170.25,0,,0,0,200,,,,,,200,0,,0,0,,0,0,,0,0,,0,0,200,0
Ginger,casks,,,,170.25,0,,0,0,,2,1,,,,3,0,,0,0,,0,0,,0,0,,0,0,3,0
Linen,pieces,,,,170.25,0,,0,0,,,,,41,,41,0,,0,0,,0,0,,0,0,,0,0,41,0
Molasses,hhds,1.58,,5.05,170.25,4.686637298,,0,0,,11,17,,,7,35,164,,0,0,,0,0,,0,0,,0,0,35,164
Negroes,,18.5,,1,100,18.5,,0,0,,,,,,,0,0,,0,0,,0,0,287,287,5310,,0,0,287,5310
Rice,pounds,,,,170.25,0,,0,0,,,,40,,,40,0,,0,0,,0,0,,0,0,,0,0,40,0
Rum,hhds,2.65,,5.25,170.25,8.171806167,3,3,25,4,2,20,,,7,33,270,,0,0,,0,0,,0,0,,0,0,36,295
Rum,barrels,2.65,,1.45,170.25,2.256975037,,0,0,1,,3,,,,4,9,,0,0,,0,0,,0,0,,0,0,4,9
Rum,tierces,2.65,,3,170.25,4.669603524,2,2,9,,,,,,2,2,9,,0,0,,0,0,,0,0,,0,0,4,18
Salt,hhds,1.73,,,170.25,0,,0,0,10,,,,,22,32,0,,0,0,,0,0,,0,0,,0,0,32,0
Servants,,6.727272727,,1,100,6.727272727,,0,0,,,,,,,0,0,92,92,619,54,54,363,,0,0,,0,0,146,982
Sugar,tierces,35.64,,0.444196429,170.25,9.298772813,,0,0,,,1,,,,1,9,,0,0,,0,0,,0,0,,0,0,1,9
Sugar,barrels,35.64,,0.15,170.25,3.140088106,2,2,6,3,2,1,,,1,7,22,,0,0,,0,0,,0,0,,0,0,9,28
Tar,barrels,8.56,,0.05,170.25,0.251395007,,0,0,,,,50,,,50,13,,0,0,,0,0,,0,0,,0,0,50,13
Wine,hhds,20.88,,0.5,170.25,6.13215859,,0,0,,,,,,,0,0,,0,0,,0,0,,0,0,1,1,6,1,6
Wine,pipes,20.88,,1,170.25,12.26431718,,0,0,,2,3,,,,5,61,,0,0,,0,0,,0,0,19,19,233,24,294
Wine,barrels,20.88,,0.25,170.25,3.066079295,,0,0,,3,3,,,,6,18,,0,0,,0,0,,0,0,,0,0,6,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,40,,,,,,,,575,,,619,,,363,,,5310,,,239,,7146
