Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,St. Christophers,WI,,Philadelphia,Rhode Island,Salem,NA,,TOTAL,
,,1764,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Bread,kegs,23.84,,0.044642857,172.86,0.615692303,,,0,0,8,,,8,5,8,5
Cheese,pounds,,,,172.86,0,,,0,0,,,2221,2221,0,2221,0
Chocolate,pounds,,,,172.86,0,,,0,0,,,70,70,0,70,0
Chocolate,boxes,,,,172.86,0,,,0,0,5,,,5,0,5,0
Coffee,pounds,,,,172.86,0,,,0,0,12,,74,86,0,86,0
Indigo,pounds,,,,172.86,0,,,0,0,4,,,4,0,4,0
Loaf sugar,hhds,1,,25,172.86,14.46257087,,,0,0,4,,,4,58,4,58
Loaf sugar,pounds,1,,0.05,172.86,0.028925142,,,0,0,,,256,256,7,256,7
Loaf sugar,barrels,1,,6.25,172.86,3.615642717,,,0,0,1,,,1,4,1,4
Molasses,barrels,1.63,,1.45,172.86,1.36729145,,,0,0,,,1,1,1,1,1
Molasses,hhds,1.63,,5.05,172.86,4.761946084,,8,8,38,5,22,23,50,238,58,276
Potatoes,barrels,,,,172.86,0,,,0,0,,,2,2,0,2,0
Rice,barrels,14.52,,,172.86,0,,,0,0,1,,,1,0,1,0
Rum,barrels,3.26,,1.45,172.86,2.734582899,,4,4,11,,2,24,26,71,30,82
Rum,hhds,3.26,,5.25,172.86,9.901076015,11,13,24,238,1,65,13,79,782,103,1020
Rum,tierces,3.26,,3,172.86,5.657757723,,1,1,6,,5,1,6,34,7,40
Salt,hhds,1.92,,0.35,172.86,0.388753905,,,0,0,,,37,37,14,37,14
Salt,bushels,1.92,,0.05,172.86,0.055536272,,,0,0,,,30,30,2,30,2
Sterling cash,pounds,1,,1,100,1,,,0,0,,,65,65,65,65,65
Sugar,kilderkins,48.73,,,172.86,0,,21,21,0,,,,0,0,21,0
Sugar,barrels,48.73,,0.15,172.86,4.22856647,6,,6,25,5,6,28,39,165,45,190
Sugar,hhds,48.73,,0.632142857,172.86,17.82038727,,,0,0,,1,,1,18,1,18
Wine,barrels,50.56,,0.25,172.86,7.31227583,,,0,0,2,,,2,15,2,15
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,318,,,,,1479,,1797
