Good,Unit,Price,Price,Conv,Exch,Price,Boston,North Carolina,Philadelphia,NA,,TOTAL,
,,1761,,,,Sterling,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Coffee,barrels,,,,172.71,0,,,3,3,0,3,0
Loaf sugar,pounds,1.08,,0.05,172.71,0.031266285,600,,,600,19,600,19
Loaf sugar,barrels,1.08,,6.25,172.71,3.908285565,,,2,2,8,2,8
Molasses,hhds,2.42,,5.05,172.71,7.076023392,5,,10,15,106,15,106
Rum,hhds,3.93,,5.25,172.71,11.94632621,5,,35,40,478,40,478
Salt,bushels,2.42,,0.05,172.71,0.070059638,,,50,50,4,50,4
Salt,hhds,2.42,,0.35,172.71,0.490417463,3,,,3,1,3,1
Spirit turpentine,barrels,,,,172.71,0,,2,,2,0,2,0
Sugar,hhds,49.14,,0.632142857,172.71,17.98593017,,,2,2,36,2,36
Sugar,barrels,49.14,,0.15,172.71,4.267847837,3,,11,14,60,14,60
Tar,barrels,11.25,,0.05,172.71,0.325690464,,160,,160,52,160,52
Turpentine,barrels,14.11,,0.05,172.71,0.408488217,,8,,8,3,8,3
Wine,quarter casks,48.83,,0.25,172.71,7.068206821,,,21,21,148,21,148
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,915,,915
