Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Turks Island,Boston,NA,,Guinea,AFR,,TOTAL,
,,1744,,,,Sterling,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,166.67,0,,0,0,,21,21,0,,0,0,21,0
Molasses,hhds,1.8,,5.05,166.67,5.453890922,,0,0,,4,4,22,,0,0,4,22
Negroes,,31.04,,1,100,31.04,,0,0,,,0,0,165,165,5122,165,5122
Rum,hhds,3.2,,5.25,166.67,10.0797984,,0,0,,11,11,111,,0,0,11,111
Salt,hhds,2.19,,0.35,166.67,0.459890802,,0,0,,12,12,6,,0,0,12,6
Salt,bushels,2.19,,0.05,166.67,0.065698686,,0,0,1900,,1900,125,,0,0,1900,125
Sugar,barrels,49.97,,0.15,166.67,4.497210056,4,4,18,,2,2,9,,0,0,6,27
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,18,,,,273,,,5122,,5413
