Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Curacao,Jamaica,WI,,Bermuda,Boston,New Engalnd,NA,,TOTAL,
,,1727,,,,Sterling,,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cotton,pounds,,,,149.58,0,,,,0,0,500,,,500,0,500,0
Molasses,tierces,1.43,,3.05,149.58,2.915830993,12,,,12,35,2,,,2,6,14,41
Molasses,hhds,1.43,,5.05,149.58,4.827851317,4,,,4,19,2,8,8,18,87,22,106
Molasses,barrels,1.43,,1.45,149.58,1.386214735,,,,0,0,,5,3,8,11,8,11
Rum,tierces,2.87,,3,149.58,5.756117128,32,,,32,184,4,,,4,23,36,207
Rum,hhds,2.87,,5.25,149.58,10.07320497,,,1,1,10,8,11,11,30,302,31,312
Rum,barrels,2.87,,1.45,149.58,2.782123279,45,,,45,125,3,13,6,22,61,67,186
Salt,hhds,2.07,,0.35,149.58,0.484356197,,,,0,0,,256,,256,124,256,124
Salt,bushels,2.07,,0.05,149.58,0.069193742,,1200,,1200,83,5650,,700,6350,439,7550,522
Sugar,pounds,32.63,,0.000446429,149.58,0.009738578,,,,0,0,1200,,,1200,12,1200,12
Sugar,tierces,32.63,,0.480803571,149.58,10.48844801,,,,0,0,4,5,1,10,105,10,105
Sugar,barrels,32.63,,0.175,149.58,3.817522396,84,,,84,321,4,6,3,13,50,97,371
Sugar,hhds,32.63,,0.583035714,149.58,12.71858227,,,6,6,76,2,,,2,25,8,101
Wine,barrels,20.5,,0.25,149.58,3.426260195,,,,0,0,,,1,1,3,1,3
Wrought iron,pounds,,,,149.58,0,,,,0,0,,214,,214,0,214,0
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,853,,,,,1248,,2101
