Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,New Providence,Connecticut,Piscataqua,Falmouth,NA,,Guinea,AFR,,TOTAL,
,,1743,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,120,0.833333333,,,170,170,142,,,,,0,0,,0,0,170,142
Cheese,pounds,,,,159.79,0,,,,0,0,,600,4000,,4600,0,,0,0,4600,0
Cotton,bags,0.99,,6,159.79,3.71737906,,,,0,0,1,,,,1,4,,0,0,1,4
Ginger,bags,,,,159.79,0,,1,,1,0,,,,,0,0,,0,0,1,0
Indigo,pounds,7.42,,0.05,159.79,0.232179736,,,,0,0,49,,,,49,11,,0,0,49,11
Molasses,tierces,1.87,,3.05,159.79,3.569372301,,2,,2,7,,,,,0,0,,0,0,2,7
Molasses,hhds,1.87,,5.05,159.79,5.909944302,,,,0,0,10,1,4,,15,89,,0,0,15,89
Molasses,barrels,1.87,,1.45,159.79,1.696914701,,,,0,0,,2,,,2,3,,0,0,2,3
Negroes,,31.04,,1,100,31.04,3,,,3,93,,,,,0,0,213,213,6612,216,6705
Rum,tierces,3.16,,3,159.79,5.932786783,19,,,19,113,,2,,,2,12,,0,0,21,125
Rum,hhds,3.16,,5.25,159.79,10.38237687,70,,,70,727,,11,8,,19,197,,0,0,89,924
Rum,barrels,3.16,,1.45,159.79,2.867513612,,,,0,0,,4,,,4,11,,0,0,4,11
Rum,gallons,3.16,,0.05,159.79,0.09887978,,1391.5,,1391.5,138,,,,,0,0,,0,0,1391.5,138
Salt,hhds,2.07,,0.35,159.79,0.453407597,,,,0,0,,,10,,10,5,,0,0,10,5
Salt,bushels,2.07,,0.05,159.79,0.064772514,,,2000,2000,130,700,,,,700,45,,0,0,2700,175
Sugar,hhds,38.94,,0.596428571,159.79,14.53465709,,2,2,4,58,,,,,0,0,,0,0,4,58
Sugar,barrels,38.94,,0.444196429,159.79,10.82483818,1,4,2,7,76,4,2,5,,11,119,,0,0,18,195
Wine,pipes,27.38,,1,159.79,17.13498967,,,10,10,171,,,,,0,0,,0,0,10,171
Wine,hhds,27.38,,0.5,159.79,8.567494837,,,,0,0,,,,10,10,86,,0,0,10,86
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,1655,,,,,,582,,,6612,,8849
