Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Turks Island,Boston,New York,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,Isle of May,SEU,,TOTAL,
,,1758,,,,Sterling,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23,,1,159,14.46540881,,,,0,0,,,,2,,,,2,29,,0,0,2,29
Bread,kegs,21.84,,0.044642857,159,0.613207547,,,,0,0,,,,20,,,,20,12,,0,0,20,12
Cheese,pounds,,,,159,0,,,,0,0,,,,,500,1800,200,2500,0,,0,0,2500,0
Chocolate,boxes,,,,159,0,,,,0,0,,,,6,,,,6,0,,0,0,6,0
Chocolate,pounds,,,,159,0,,,,0,0,,,,,,,30,30,0,,0,0,30,0
Coffee,casks,,,,159,0,,,,0,0,4,,,,,,,4,0,,0,0,4,0
Coffee,bags,,,,159,0,,,,0,0,,,,2,,,,2,0,,0,0,2,0
Flour,barrels,12.27,,0.089285714,159,0.689016173,,,,0,0,,,,13,,,,13,9,,0,0,13,9
Ginger,pounds,,,,159,0,,,,0,0,,,,,,,30,30,0,,0,0,30,0
Iron,pounds,7.67,,0.000446429,159,0.002153527,,,,0,0,,,,,,,1000,1000,2,,0,0,1000,2
Loaf sugar,hhds,1.03,,25,159,16.19496855,,,,0,0,,4,,,,,,4,65,,0,0,4,65
Loaf sugar,pounds,1.03,,0.05,159,0.032389937,,,,0,0,,,,,300,,,300,10,,0,0,300,10
Molasses,hhds,2.51,,5.05,159,7.972012579,3,,7,10,80,,7,,,7,5,42,61,486,,0,0,71,566
Planks,,8.96,,0.0005,159,0.00281761,,,,0,0,,,,,6000,,,6000,17,,0,0,6000,17
Refined sugar,pounds,1.03,,0.05,159,0.032389937,,,,0,0,,,,,,,1313,1313,43,,0,0,1313,43
Refined sugar,barrels,1.03,,6.25,159,4.048742138,,,,0,0,,,,,,,2,2,8,,0,0,2,8
Rum,tierces,3.72,,3,159,7.018867925,,2,,2,14,,,,,,,,0,0,,0,0,2,14
Rum,hhds,3.72,,5.25,159,12.28301887,,131,111,242,2972,,,,,14,17,16,47,577,,0,0,289,3549
Rum,barrels,3.72,,1.45,159,3.39245283,,,,0,0,,2,,,,,4,6,20,,0,0,6,20
Salt,bushels,1.885,,0.05,159,0.05927673,,,,0,0,1900,3000,,,,160,,5060,300,9000,9000,533,14060,833
Salt,hhds,1.885,,0.35,159,0.414937107,,,,0,0,,,,,80,,237,317,132,,0,0,317,132
Sterling,shillings,1,,0.05,100,0.05,,,,0,0,,,,,,,6,6,0,,0,0,6,0
Sterling cash,pounds,1,,1,100,1,,,,0,0,,,,,,,111,111,111,,0,0,111,111
Sugar,kilderkins,47.7,,,159,0,,,39,39,0,,,,,,,,0,0,,0,0,39,0
Sugar,hhds,47.7,,0.632142857,159,18.96428571,,7,6,13,247,,,,,,,,0,0,,0,0,13,247
Sugar,pounds,47.7,,0.000446429,159,0.013392857,,,,0,0,,,,,500,,,500,7,,0,0,500,7
Sugar,tierces,47.7,,0.489285714,159,14.67857143,,,5,5,73,,,,,,1,,1,15,,0,0,6,88
Sugar,barrels,47.7,,0.15,159,4.5,,66,,66,297,5,,,,15,8,19,47,212,,0,0,113,509
Virginia currency,pence,1,,0.004166667,137.92,0.003021075,,3,,3,0,,,,,,,,0,0,,0,0,3,0
Virginia currency,shillings,1,,0.05,137.92,0.0362529,,17,,17,1,,,,,,,10,10,0,,0,0,27,1
Virginia currency,pounds,1,,1,137.92,0.725058005,,114,,114,83,,100,,,,,37,137,99,,0,0,251,182
Wine,quarter casks,41.77,,0.25,159,6.567610063,,,,0,0,,,4,,,,,4,26,,0,0,4,26
Wine,pipes,41.77,,1,159,26.27044025,,,,0,0,,,2,,,,,2,53,,0,0,2,53
Wine,hhds,41.77,,0.5,159,13.13522013,,,,0,0,,,2,,,,,2,26,,0,0,2,26
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,3767,,,,,,,,,2259,,,533,,6559
