Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Guadeloupe,St. Martins,Tortola,WI,,Boston,Nantucket,New York,Piscataqua,Rhode Island,Salem,NA,,Africa,AFR,,Isle of May,Madeira,SEU,,TOTAL,
,,1763,,,,Sterling,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,159.88,0.625469102,,,,,0,0,,,,250,,212,462,289,,0,0,,,0,0,462,289
Chocolate,pounds,,,,173,0,,,,,0,0,,,,,,250,250,0,,0,0,,,0,0,250,0
Chocolate,boxes,,,,173,0,,,,,0,0,2,,5,1,,,8,0,,0,0,,,0,0,8,0
Coffee,barrels,,,,173,0,,,,,0,0,4,,,2,,,6,0,,0,0,,,0,0,6,0
Coffee,pounds,,,,173,0,,,,,0,0,,,,,,100,100,0,,0,0,,,0,0,100,0
Coffee,bags,,,,173,0,,,,,0,0,,,1,1,,,2,0,,0,0,,,0,0,2,0
Cotton,bags,1.87,,,173,0,,,,12,12,0,,,,,,,0,0,,0,0,,,0,0,12,0
Dollars,,0.23,,1,100,0.23,,,,,0,0,800,,,,820,,1620,373,,0,0,,,0,0,1620,373
Iron,tons,9,,1,173,5.202312139,,,,,0,0,1,,,,,,1,5,,0,0,,,0,0,1,5
Loaf sugar,pounds,1.04,,0.05,173,0.030057803,,,,,0,0,,,,,900,,900,27,,0,0,,,0,0,900,27
Loaf sugar,tierces,1.04,,17,173,10.21965318,,,,,0,0,,,1,,9,,10,102,,0,0,,,0,0,10,102
Loaf sugar,hhds,1.04,,25,173,15.02890173,,,,,0,0,,,,,2,,2,30,,0,0,,,0,0,2,30
Loaf sugar,barrels,1.04,,6.25,173,3.757225434,,,,,0,0,23,,1,,,,24,90,,0,0,,,0,0,24,90
Loaf sugar,casks,1.04,,6.25,173,3.757225434,,,,,0,0,,,3,,11,5,19,71,,0,0,,,0,0,19,71
Molasses,tierces,1.99,,3.05,173,3.508381503,,,,,0,0,,,1,,2,4,7,25,,0,0,,,0,0,7,25
Molasses,hhds,1.99,,5.05,173,5.808959538,33,,,,33,192,10,1,8,28,21,41,109,633,,0,0,,,0,0,142,825
Molasses,barrels,1.99,,1.45,173,1.667919075,,,,,0,0,20,,,,,,20,33,,0,0,,,0,0,20,33
Negroes,,34.74,,1,100,34.74,,,,,0,0,,,,4,75,,79,2744,919,919,31926,,,0,0,998,34670
Potatoes,barrels,,,,173,0,,,,,0,0,6,,,,,,6,0,,0,0,,,0,0,6,0
Refined sugar,barrels,1.04,,6.25,173,3.757225434,,,,,0,0,,,2,4,,,6,23,,0,0,,,0,0,6,23
Refined sugar,hhds,1.04,,25,173,15.02890173,,,,,0,0,,,16,,,,16,240,,0,0,,,0,0,16,240
Refined sugar,tierces,1.04,,17,173,10.21965318,,,,,0,0,,,9,,,,9,92,,0,0,,,0,0,9,92
Refined sugar,pounds,1.04,,0.05,173,0.030057803,,,,,0,0,,,,450,,650,1100,33,,0,0,,,0,0,1100,33
Rum,kegs,3.72,,0.725,173,1.558959538,,,,,0,0,,,,,6,,6,9,,0,0,,,0,0,6,9
Rum,hhds,3.72,,5.25,173,11.28901734,215,,,,215,2427,23,1,3,81,16,42,166,1874,,0,0,,,0,0,381,4301
Rum,barrels,3.72,,1.45,173,3.117919075,,,,,0,0,21,,,30,,23,74,231,,0,0,,,0,0,74,231
Salt,hhds,2.21,,0.35,173,0.447109827,,,,,0,0,15,10,,209,,116,350,156,,0,0,,,0,0,350,156
Salt,bushels,2.21,,0.05,173,0.063872832,525,,3300,,3825,244,,,,160,,,160,10,,0,0,12000,,12000,766,15985,1020
Sterling cash,pounds,1,,1,100,1,,,,,0,0,25,,,,,,25,25,,0,0,,,0,0,25,25
Sugar,barrels,49.79,,0.15,173,4.317052023,113,,,,113,488,,1,,46,1,40,88,380,,0,0,,,0,0,201,868
Sugar,hhds,49.79,,0.632142857,173,18.19329067,,4,,,4,73,,,,1,,2,3,55,,0,0,,,0,0,7,128
Tea,canisters,,,,173,0,,,,,0,0,,,,1,,,1,0,,0,0,,,0,0,1,0
Wine,hhds,49.34,,0.5,173,14.26011561,,,,,0,0,,,,,,1,1,14,,0,0,,,0,0,1,14
Wine,pipes,49.34,,1,173,28.52023121,,,,,0,0,,5,,3,1,,9,257,,0,0,,5,5,143,14,400
Wine,barrels,49.34,,0.25,173,7.130057803,,,,,0,0,8,,,,,6,14,100,,0,0,,,0,0,14,100
Wine,quarter casks,49.34,,0.25,173,7.130057803,,,,,0,0,,,,,3,,3,21,,0,0,,,0,0,3,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,3424,,,,,,,,7942,,,31926,,,,909,,44201
