Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Bridge Town,Jamaica,St. Eustatia,St. Kitts,WI,,Bermuda,Boston,Falmouth,Lewis DE,New York,Newport,Philadelphia,Piscataway,Providence,Rhode Island,Salem,NA,,Africa,AFR,,St. Ubes,SEU,,TOTAL,
,,1769,,,,Sterling,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,Quantity,Valuue,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,25.45,,0.044642857,157.56,0.721097178,,,,,,,0,0,,,,,61,,,,,,,61,44,,0,0,,0,0,61,44
Cheese,pounds,,,,157.56,0,,,,,,,0,0,,500,,,,,,300,,300,1187,2287,0,,0,0,,0,0,2287,0
Chocolate,pounds,,,,157.56,0,,,,,,,0,0,,,,,18,,,,,,534,552,0,,0,0,,0,0,552,0
Chocolate,boxes,,,,157.56,0,,,,,,,0,0,,4,,,22,,2,,,,2,30,0,,0,0,,0,0,30,0
Coffee,pounds,,,,157.56,0,,,,,,,0,0,,200,,,,,,,,,300,500,0,,0,0,,0,0,500,0
Coffee,barrels,,,,157.56,0,,,,,,,0,0,,,,,,,1,,,,,1,0,,0,0,,0,0,1,0
Coffee,bags,,,,157.56,0,,,,,,,0,0,,1,,,1,,,,,,,2,0,,0,0,,0,0,2,0
Cotton,bales,1.37,,,157.56,0,,,,,1,,1,0,,,,,,,,,,,,0,0,,0,0,,0,0,1,0
Dollars,,0.23,,1,100,0.23,,,,2400,,,2400,552,,,,,,,,,,,,0,0,,0,0,,0,0,2400,552
Flour,barrels,15.04,,0.089285714,157.56,0.852283031,,,,,,,0,0,,,,,,,410,,,,,410,349,,0,0,,0,0,410,349
Iron,tons,7.92,,1,157.56,5.026656512,,,,,,,0,0,,,,,6,40,,,,,,46,231,,0,0,,0,0,46,231
Loaf sugar,tierces,0.96,,17,157.56,10.35795887,,,,,,,0,0,,,,,1,,,1,,,,2,21,,0,0,,0,0,2,21
Loaf sugar,barrels,0.96,,6.25,157.56,3.808073115,,,,,,,0,0,,,,,3,,6,,,,2,11,42,,0,0,,0,0,11,42
Loaf sugar,hhds,0.96,,25,157.56,15.23229246,,,,,,,0,0,,,,,1,,,,,,,1,15,,0,0,,0,0,1,15
Loaf sugar,pounds,0.96,,0.05,157.56,0.030464585,,,,,,,0,0,,,,,,,,,,,278,278,8,,0,0,,0,0,278,8
Molasses,hhds,1.78,,5.05,157.56,5.705128205,14,,,23,,,37,211,,6,,,,,13,31,,3,68,121,690,,0,0,,0,0,158,901
Molasses,barrels,1.78,,1.45,157.56,1.638106118,,,,,,,0,0,,,,,1,2,,1,,1,10,15,25,,0,0,,0,0,15,25
Molasses,tierces,1.78,,3.05,157.56,3.44567149,,,,,,,0,0,,5,,,1,,,,,,10,16,55,,0,0,,0,0,16,55
Negroes,,38.39,,1,100,38.39,2,,,,,,2,77,,,,,,,,,,,1,1,38,324,324,12438,,0,0,327,12553
Pepper,pounds,,,,157.56,0,,,,,,,0,0,,,,,,,,,,,10,10,0,,0,0,,0,0,10,0
Pimento,pounds,,,,157.56,0,,,,,,,0,0,,,,,,,,,,,10,10,0,,0,0,,0,0,10,0
Plank,feet,8.032,,0.0005,157.56,0.00254887,,,,,,,0,0,,,,,,,,,1277,,2000,3277,8,,0,0,,0,0,3277,8
Planks,,8.032,,0.005,157.56,0.025488703,,,,,,,0,0,,,,,,,,,,,1000,1000,25,,0,0,,0,0,1000,25
Pork,barrels,80.29,,0.05,157.56,2.547918253,,,,,,,0,0,,145,,,,,,,,,,145,369,,0,0,,0,0,145,369
Potatoes,bushels,,,,157.56,0,,,,,,,0,0,,,,,10,,,50,,,,60,0,,0,0,,0,0,60,0
Potatoes,barrels,,,,157.56,0,,,,,,,0,0,,,,,,,,,,4,,4,0,,0,0,,0,0,4,0
Rum,tierces,3.29,,3,157.56,6.264280274,1,,,,,,1,6,,21,,,,,,,,,3,24,150,,0,0,,0,0,25,156
Rum,hhds,3.29,,5.25,157.56,10.96249048,144,248,43,3,32,1,471,5163,,79,,,3,2,37,4,,6,66,197,2160,,0,0,,0,0,668,7323
Rum,barrels,3.29,,1.45,157.56,3.027735466,4,,,,,,4,12,,32,21,,11,2,,34,,4,64,168,509,,0,0,,0,0,172,521
Salt,bushels,1.62,,0.05,157.56,0.051408987,,1600,,,,,1600,82,500,,,7000,,,,,,,,7500,386,,0,0,5000,5000,257,14100,725
Salt,hhds,1.62,,0.35,157.56,0.359862909,,,,,,,0,0,,15,,,,,,45,,,136,196,71,,0,0,,0,0,196,71
Silver,ounces,,,1,121.97,0,,,,,,,0,0,,620,,,,,,,,,,620,0,,0,0,,0,0,620,0
Spirits,hhds,3.29,,5.25,157.56,10.96249048,,1,,,,,1,11,,,,,,,,,,,,0,0,,0,0,,0,0,1,11
Staves,,5.02,,0.001,157.56,0.003186088,,,,,,,0,0,,,,,,,5000,,,,,5000,16,,0,0,,0,0,5000,16
Sugar,loaves,0.96,,,157.56,0,,,,,,,0,0,,,,,32,,,,,,,32,0,,0,0,,0,0,32,0
Sugar,hhds,52.74,,0.646875,157.56,21.65282273,23,9,,1,,,33,715,,,,,,,,,,,,0,0,,0,0,,0,0,33,715
Sugar,tierces,52.74,,0.495089286,157.56,16.57210518,5,,,,,,5,83,,,,,,,,,,,,0,0,,0,0,,0,0,5,83
Sugar,bags,52.74,,,157.56,0,,,,,,,0,0,,,,,1,,,,,,,1,0,,0,0,,0,0,1,0
Sugar,barrels,52.74,,0.15,157.56,5.020944402,53,222,,,,,275,1381,,4,,,,,,,,,37,41,206,,0,0,,0,0,316,1587
Tar,barrels,10.17,,0.05,157.56,0.322734196,,,,,,,0,0,,,,,,,,,,,,0,0,,0,0,,0,0,0,0
Tea,chests,3.66,,,157.56,0,,,,,,,0,0,,,,,,,0.5,,,,,0.5,0,,0,0,,0,0,0.5,0
Tea,pounds,3.66,,0.05,157.56,0.11614623,,,,,,,0,0,,,,,,,,,,,20,20,2,,0,0,,0,0,20,2
Virginia currency,shillings,1,,0.004166667,121.97,0.003416141,,,,,,,0,0,,7,,,,,,,,,,7,0,,0,0,,0,0,7,0
Virginia currency,pence,1,,0.05,121.97,0.040993687,,,,,,,0,0,,6,,,,,,,,,,6,0,,0,0,,0,0,6,0
Virginia currency,pounds,1,,1,121.97,0.819873739,214,,,,,,214,175,,211,,,,,,,,,,211,173,,0,0,,0,0,425,348
Wine,hhds,48.02,,0.5,157.56,15.23863925,,,,,,,0,0,,,,,,,,,,,1,1,15,,0,0,,0,0,1,15
Wine,pipes,48.02,,1,157.56,30.4772785,,,,,,,0,0,3,10,,,11,,,,,,,24,731,,0,0,,0,0,24,731
Wine,quarter casks,48.02,,0.25,157.56,7.619319624,,,,,,,0,0,,,,,,,,,,,6,6,46,,0,0,,0,0,6,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,8468,,,,,,,,,,,,,6385,,,12438,,,257,,27548
