Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Christophers,WI,,New Providence,Bermuda,Boston,Perth Amboy,Salem,NA,,Guinea,AFR,,Isle of May,SEU,,TOTAL,
,,1740,,,,Sterling,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,165.45,0,,,,0,0,,,2450,,400,2850,0,,0,0,,0,0,2850,0
Cheese,cwt,,,,165.45,0,,,,0,0,,,36,,,36,0,,0,0,,0,0,36,0
Cotton,bags,1.29,,6,165.45,4.678150499,4,2,,6,28,,,,,,0,0,,0,0,,0,0,6,28
Flour,barrels,8.72,,0.089285714,165.45,0.470578077,,,,0,0,,,,6,,6,3,,0,0,,0,0,6,3
Ginger,pounds,,,,165.45,0,,,,0,0,36,,,,,36,0,,0,0,,0,0,36,0
Molasses,hhds,1.65,,5.05,165.45,5.036264733,4,,30,34,171,,10,33,,1,44,222,,0,0,,0,0,78,393
Molasses,tierces,1.65,,3.05,165.45,3.041704442,1,,,1,3,,,4,,,4,12,,0,0,,0,0,5,15
Molasses,barrels,1.65,,1.45,165.45,1.44605621,,,,0,0,,,2,,,2,3,,0,0,,0,0,2,3
Molasses,casks,1.65,,3.05,165.45,3.041704442,,10,,10,30,,,,,,0,0,,0,0,,0,0,10,30
Negroes,,26.64,,1,100,26.64,1,3,,4,107,2,,1,,,3,80,62,62,1652,,0,0,69,1839
Pimento,bags,,,,165.45,0,,,3,3,0,,,,,,0,0,,0,0,,0,0,3,0
Plank,feet,5.344,,0.0005,165.45,0.001614989,,,,0,0,,,3000,,,3000,5,,0,0,,0,0,3000,5
Rum,tierces,2.53,,3,165.45,4.587488667,17,,5,22,101,,1,,,,1,5,,0,0,,0,0,23,106
Rum,kegs,2.53,,0.725,165.45,1.108643095,1,,,1,1,,,,,,0,0,,0,0,,0,0,1,1
Rum,hhds,2.53,,5.25,165.45,8.028105168,43,,10,53,425,2,1,31,2,,36,289,,0,0,,0,0,89,714
Rum,barrels,2.53,,1.45,165.45,2.217286189,12,,,12,27,,,,,,0,0,,0,0,,0,0,12,27
Rum,casks,2.53,,3,165.45,4.587488667,49,,,49,225,,,,,,0,0,,0,0,,0,0,49,225
Rum,gallons,2.53,,0.05,165.45,0.076458144,5350,,,5350,409,,60,3831,,199,4090,313,,0,0,,0,0,9440,722
Salt,bushels,1.935,,0.05,165.45,0.058476881,,,,0,0,750,1800,,100,,2650,155,,0,0,1200,1200,70,3850,225
Salt,hhds,1.935,,0.35,165.45,0.409338169,,,,0,0,,,10,,2,12,5,,0,0,,0,0,12,5
Sugar,loaves,1.55,,,165.45,0,,,,0,0,,,22,,,22,0,,0,0,,0,0,22,0
Sugar,tierces,37.88,,0.296130952,165.45,6.779957979,,3,,3,20,,,2,,,2,14,,0,0,,0,0,5,34
Sugar,hhds,37.88,,0.583035714,165.45,13.34868109,1,4,,5,67,,,,,,0,0,,0,0,,0,0,5,67
Sugar,barrels,37.88,,0.15,165.45,3.434270172,101,3,62,166,570,,,21,,1,22,76,,0,0,,0,0,188,646
Sugar,pounds,37.88,,0.000446429,165.45,0.010221042,,,,0,0,1300,,,,,1300,13,,0,0,,0,0,1300,13
Wine,pipes,20.17,,1,165.45,,,,,0,0,,,,2,,2,0,,0,0,,0,0,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2184,,,,,,,1195,,,1652,,,70,,5101
