Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,St. Christophers,WI,,Bermuda,Boston,New York,Salem,NA,,Africa,AFR,,Isle of May,Madeira,SEU,,TOTAL,
,,1752,,,,Sterling,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,166.85,0,,,0,0,,1200,,519,1719,0,,0,0,,,0,0,1719,0
Chocolate,pounds,,,,166.85,0,,,0,0,,,,50,50,0,,0,0,,,0,0,50,0
Chocolate,boxes,,,,166.85,0,,,0,0,,,3,,3,0,,0,0,,,0,0,3,0
Ginger,bags,,,,166.85,0,2,,2,0,,,,,0,0,,0,0,,,0,0,2,0
Ginger,barrels,,,,166.85,0,4,,4,0,,,,,0,0,,0,0,,,0,0,4,0
Loaf sugar,casks,1,,,166.85,0,,,0,0,,3,,,3,0,,0,0,,,0,0,3,0
Molasses,hhds,1.94,,5.05,166.85,5.871741085,1,,1,6,,4,65,6,75,440,,0,0,,,0,0,76,446
Negroes,,27.12,,1,100,27.12,,,0,0,,,,,0,0,1076,1076,29181,,,0,0,1076,29181
Pistereens,,0.05,,1,100,0.05,,,0,0,,,,100,100,5,,0,0,,,0,0,100,5
Rum,tierces,3.22,,3,166.85,5.789631405,4,,4,23,,2,,,2,12,,0,0,,,0,0,6,35
Rum,barrels,3.22,,1.45,166.85,2.798321846,3,,3,8,,,,10,10,28,,0,0,,,0,0,13,36
Rum,hhds,3.22,,5.25,166.85,10.13185496,321,105,426,4316,6,9,10,17,42,426,,0,0,,,0,0,468,4742
Salt,tons,1.395,,,166.85,0,,,0,0,,,,,0,0,,0,0,380,,380,0,380,0
Salt,hhds,1.395,,3.5,166.85,2.926281091,,,0,0,,6,,30,36,105,,0,0,,,0,0,36,105
Salt,bushels,1.395,,0.05,166.85,0.041804016,,,0,0,1600,,,,1600,67,,0,0,,,0,0,1600,67
Sugar,loaves,1,,,166.85,0,,,0,0,,,,6,6,0,,0,0,,,0,0,6,0
Sugar,pounds,48,,0.000446429,166.85,0.012843016,,,0,0,1200,,,,1200,15,,0,0,,,0,0,1200,15
Sugar,casks,48,,0.15,166.85,4.315253221,,,0,0,,1,20,,21,91,,0,0,,,0,0,21,91
Sugar,barrels,48,,0.15,166.85,4.315253221,285,4,289,1247,,,3,9,12,52,,0,0,,,0,0,301,1299
Sugar,hhds,48,,0.609375,166.85,17.53071621,13,,13,228,,,,,0,0,,0,0,,,0,0,13,228
Tobacco,hhds,19.9,,0.513,166.85,6.118489661,1,,1,6,,,,,0,0,,0,0,,,0,0,1,6
Wine,pipes,30.1,,1,166.85,18.04015583,,8,8,144,,,,,0,0,,0,0,,21,21,379,29,523
Wine,quarter casks,30.1,,0.25,166.85,4.510038957,,27,27,122,,,,,0,0,,0,0,,1,1,5,28,127
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,6100,,,,,,1241,,,29181,,,,384,,36906
