Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,New Hampshire,Rhode Island,Salem,NA,,Gambia,Guinea,AFR,,Madeira,SEU,,TOTAL,
,,1739,,,,Sterling,,,,Quantity,Value,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,169.69,0,,,,0,0,,2700,,545,,3245,0,,,0,0,,0,0,3245,0
Coffee,barrels,,,,169.69,0,,1,,1,0,,,,,,0,0,,,0,0,,0,0,1,0
Iron,pounds,10,,0.000446429,169.69,0.002630848,,,,0,0,,,,,300,300,1,,,0,0,,0,0,300,1
Molasses,tierces,1.59,,3.05,169.69,2.857858448,,,,0,0,,,,4,,4,11,,,0,0,,0,0,4,11
Molasses,hhds,1.59,,5.05,169.69,4.731863987,,13,5,18,85,,15,2,4,2,23,109,,,0,0,,0,0,41,194
Negroes,,26.64,,1,100,26.64,,,,0,0,,2,,,,2,53,136,380,516,13746,,0,0,518,13799
Pepper,pounds,,,,169.69,0,,,,0,0,,200,,,,200,0,,,0,0,,0,0,200,0
Pistoles,,0.83,,1,100,0.83,,,,0,0,68,,,,,68,56,,,0,0,,0,0,68,56
Rum,puncheons,2.33,,5.25,169.69,7.208733573,,15,,15,108,,,,,,0,0,,,0,0,,0,0,15,108
Rum,hhds and tierces,2.33,,,169.69,0,,,,0,0,,,,9,,9,0,,,0,0,,0,0,9,0
Rum,hhds,2.33,,5.25,169.69,7.208733573,,1,,1,7,,,,,,0,0,,,0,0,,0,0,1,7
Rum,gallons,2.33,,0.05,169.69,0.068654605,5570,,,5570,382,,6071.5,372,,,6443.5,442,,,0,0,,0,0,12013.5,824
Salt,bushels,1.7,,0.05,169.69,0.050091343,,,1000,1000,50,,12,,,,12,1,,,0,0,,0,0,1012,51
Salt,hhds,1.7,,0.35,169.69,0.350639401,,,,0,0,,20,14,,,34,12,,,0,0,,0,0,34,12
Sugar,kilderkins,38.08,,,169.69,0,,,1,1,0,,,,,,0,0,,,0,0,,0,0,1,0
Sugar,hhds,38.08,,0.596428571,169.69,13.38440686,,,,0,0,,1,,,1,2,27,,,0,0,,0,0,2,27
Sugar,casks,38.08,,0.15,169.69,3.366138252,,7,,7,24,,,,,,0,0,,,0,0,,0,0,7,24
Sugar,barrels,38.08,,0.15,169.69,3.366138252,16,,2,18,61,,16,1,,,17,57,,,0,0,,0,0,35,118
Sugar,tierces,38.08,,0.444196429,169.69,9.968177264,1,,,1,10,,,,,,0,0,,,0,0,,0,0,1,10
Tobacco,hhds,15.63,,0.4535,169.69,4.177149508,,,,0,0,,,,,321,321,1341,,,0,0,,0,0,321,1341
Wine,pipes,21.58,,1,169.69,12.71730803,,,,0,0,,,,,,0,0,,,0,0,122,122,1552,122,1552
Wine,hhds,21.58,,0.5,169.69,6.358654016,,,,0,0,,,,,,0,0,,,0,0,9,9,57,9,57
Wine,quarter casks,21.58,,0.25,169.69,3.179327008,,,,0,0,,,,,,0,0,,,0,0,4,4,13,4,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,727,,,,,,,2110,,,,13746,,,1622,,18205
