Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Montserrat,WI,,Bermuda,Boston,New Hampshire,Perth Amboy,Philadelphia,Rhode Island,NA,,Africa,AFR,,TOTAL,
,,1741,,,,Sterling,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua currency,pounds,1,,1,168.125,0.594795539,110,,,,110,65,,,,,,,0,0,,0,0,110,65
Cash,pounds,1,,1,120.53,0.829668962,,,,,0,0,440,,,,,,440,365,,0,0,440,365
Cheese,barrels,,,,146.14,0,,,,,0,0,,2,,,,,2,0,,0,0,2,0
Cheese,hhds,,,,146.14,0,,,,,0,0,,7,,,,,7,0,,0,0,7,0
Cheese,,,,,146.14,0,,,,,0,0,,13,,,,,13,0,,0,0,13,0
Cheese,pounds,,,,146.14,0,,,,,0,0,,3500,,,,400,3900,0,,0,0,3900,0
Chocolate,pounds,,,,146.14,0,,,,,0,0,,129,,,,,129,0,,0,0,129,0
Cotton,bags,1.16,,6,146.14,4.762556453,8,2,6,,16,76,,1,,,,,1,5,,0,0,17,81
Ginger,pounds,,,,146.14,0,,,,,0,0,,50,,,,,50,0,,0,0,50,0
Ginger,barrels,,,,146.14,0,,,,,0,0,,1,,,,,1,0,,0,0,1,0
Indigo,pounds,7.98,,1.2,146.14,6.552620775,,,,,0,0,100,,,,,,100,655,,0,0,100,655
Loaf sugar,cwt,1.63,,5.6,146.14,6.246065417,,,,,0,0,,1,,,,,1,6,,0,0,1,6
Loaf sugar,hhds,1.63,,25,146.14,27.88422061,,,,,0,0,,1,,,,,1,28,,0,0,1,28
Loaf sugar,barrels,1.63,,6.25,146.14,6.971055153,,,,,0,0,,42,1,,,,43,300,,0,0,43,300
Loaf sugar,casks,1.63,,6.25,146.14,6.971055153,,,,,0,0,,2,,,,,2,14,,0,0,2,14
Loaf sugar,pounds,1.63,,0.05,146.14,0.055768441,,,,,0,0,,100,,,,,100,6,,0,0,100,6
Molasses,barrels,1.82,,1.45,146.14,1.805802655,,,,,0,0,,10,3,,,,13,23,,0,0,13,23
Molasses,hhds,1.82,,5.05,146.14,6.289174764,3,,,,3,19,2,11,,,,2,15,94,,0,0,18,113
Molasses,tierces,1.82,,3.05,146.14,3.798412481,2,,,,2,8,,4,2,,,,6,23,,0,0,8,31
Negroes,,26.64,,1,100,26.64,10,,,,10,266,6,2,,,,,8,213,388,388,10336,406,10815
Pepper,pounds,,,,146.14,0,,,,,0,0,,20,,,,,20,0,,0,0,20,0
Pimento,barrels,,,,146.14,0,,,,,0,0,,1,,,,,1,0,,0,0,1,0
Plank,feet,7.2,,0.0005,146.14,0.002463391,,,,,0,0,,22112,,,,,22112,54,,0,0,22112,54
Refined sugar,loaves,1.63,,,146.14,0,,,,,0,0,,25,,,,,25,0,,0,0,25,0
Refined sugar,barrels,1.63,,6.25,146.14,6.971055153,,,,,0,0,,,,,4,,4,28,,0,0,4,28
Refined sugar,hhds,1.63,,25,146.14,27.88422061,1,,,,1,28,,,,,,,0,0,,0,0,1,28
Rum,barrels,2.96,,1.45,146.14,2.936909813,,,,,0,0,,4,,,,,4,12,,0,0,4,12
Rum,hhds,2.96,,5.25,146.14,10.63363898,,,,,0,0,,35,,,,,35,372,,0,0,35,372
Rum,gallons,2.96,,0.05,146.14,0.101272752,232,666,54,184,1136,115,256,11737.5,353,1070,,1044,14460.5,1464,,0,0,15596.5,1579
Salt,hhds,2.33,,0.35,146.14,0.55802655,,,,,0,0,,99,5,,,,104,58,,0,0,104,58
Salt,bushels,2.33,,0.05,146.14,0.079718079,,,,1930,1930,154,2100,,100,,1700,1000,4900,391,,0,0,6830,545
Salt,barrels,2.33,,0.175,146.14,0.279013275,,,,,0,0,,33,,,,,33,9,,0,0,33,9
Sugar,barrels,36.4,,0.15,146.14,3.736143424,4,,,,4,15,5,35,2,,20,1,63,235,,0,0,67,250
Sugar,casks,36.4,,0.15,146.14,3.736143424,,17,,,17,64,,,,,,,0,0,,0,0,17,64
Sugar,tierces,36.4,,0.444196429,146.14,11.0638771,,,,,0,0,,3,,,,2,5,55,,0,0,5,55
Sugar,hhds,36.4,,0.596428571,146.14,14.8556179,,,3,,3,45,,,,,,,0,0,,0,0,3,45
Tea,pounds,,,,146.14,0,,,,,0,0,,30,,,,,30,0,,0,0,30,0
White sugar,barrels,1.63,,6.25,146.14,6.971055153,,,,,0,0,1,,,,,,1,7,,0,0,1,7
White sugar,hhds,1.63,,25,146.14,27.88422061,,,,,0,0,1,,,,,,1,28,,0,0,1,28
Wine,barrels,21.83,,0.25,146.14,3.734432736,,,,,0,0,,1,,,,,1,4,,0,0,1,4
Wine,pipes,21.83,,1,146.14,14.93773094,,,,,0,0,,1,,,,,1,15,,0,0,1,15
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,855,,,,,,,,4464,,,10336,,15655
