Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,New York,Philadelphia,Piscataqua,Portsmouth,Salem,NA,,Africa,AFR,,Isle of May,Teneriff,SEU,,TOTAL,
,,1761,,,,Sterling,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,143.72,0.695797384,,,0,0,,,,,,,100,100,70,,0,0,,,0,0,100,70
Cheese,pounds,,,,172.71,0,,,0,0,,,,,,,320,320,0,,0,0,,,0,0,320,0
Chocolate,pounds,,,,172.71,0,,,0,0,,,,,,,172,172,0,,0,0,,,0,0,172,0
Chocolate,boxes,,,,172.71,0,,,0,0,,,,3,,,,3,0,,0,0,,,0,0,3,0
Coffee,pounds,,,,172.71,0,,,0,0,,,,50,,,268,318,0,,0,0,,,0,0,318,0
Coffee,casks,,,,172.71,0,,,0,0,,,,1,,,,1,0,,0,0,,,0,0,1,0
Loaf sugar,pounds,1.08,,0.05,172.71,0.031266285,,,0,0,,,,,,,800,800,25,,0,0,,,0,0,800,25
Loaf sugar,tierces,1.08,,17,172.71,10.63053674,,,0,0,,1,,,,,,1,11,,0,0,,,0,0,1,11
Loaf sugar,hhds,1.08,,25,172.71,15.63314226,,,0,0,,3,38,,,,,41,641,,0,0,,,0,0,41,641
Loaf sugar,barrels,1.08,,6.25,172.71,3.908285565,,,0,0,,26,22,1,,2,,51,199,,0,0,,,0,0,51,199
Molasses,casks,2.42,,3.05,172.71,4.27363789,,,0,0,,,1,,,,,1,4,,0,0,,,0,0,1,4
Molasses,hhds,2.42,,5.05,172.71,7.076023392,,,0,0,,3,13,5,3,,15,39,276,,0,0,,,0,0,39,276
Molasses,barrels,2.42,,1.45,172.71,2.031729489,,,0,0,,27,,2,,,1,30,61,,0,0,,,0,0,30,61
Negroes,,35.61,,1,100,35.61,,,0,0,,,,,,,,0,0,215,215,7656,,,0,0,215,7656
Rum,tierces,3.93,,3,172.71,6.826472121,,1,1,7,,,,,,,,0,0,,0,0,,,0,0,1,7
Rum,hhds,3.93,,5.25,172.71,11.94632621,40,194,234,2795,,1,2,10,10,,11,34,406,,0,0,,,0,0,268,3201
Rum,barrels,3.93,,1.45,172.71,3.299461525,1,1,2,7,,4,,11,,,5,20,66,,0,0,,,0,0,22,73
Salt,hhds,2.42,,0.35,172.71,0.490417463,,,0,0,,,,,20,,43,63,31,,0,0,,,0,0,63,31
Salt,bushels,2.42,,0.05,172.71,0.070059638,,,0,0,1000,,,577,,,,1577,110,,0,0,7000,,7000,490,8577,600
Sterling cash,pounds,1,,1,100,1,,,0,0,,,,,50,,,50,50,,0,0,,,0,0,50,50
Strained sugar,hhds,1.08,,25,172.71,15.63314226,,,0,0,,,6,,,,,6,94,,0,0,,,0,0,6,94
Sugar,tierces,49.14,,0.489285714,172.71,13.92131318,1,2,3,42,,,,,,,,0,0,,0,0,,,0,0,3,42
Sugar,hhds,49.14,,0.632142857,172.71,17.98593017,,36,36,647,,,2,,,,,2,36,,0,0,,,0,0,38,683
Sugar,barrels,49.14,,0.15,172.71,4.267847837,20,216,236,1007,6,1,45,17,3,,20,92,393,,0,0,,,0,0,328,1400
Tea,canisters,,,,172.71,0,,,0,0,,,,2,,,,2,0,,0,0,,,0,0,2,0
Tea,pounds,5.47,,0.05,172.71,0.158357941,,,0,0,,,,20,,,,20,3,,0,0,,,0,0,20,3
Tea,cases,,,,172.71,0,,,0,0,,,,1,,,,1,0,,0,0,,,0,0,1,0
Virginia currency,pounds,1,,1,143.72,0.695797384,,,0,0,,107,,27,,,53,187,130,,0,0,,,0,0,187,130
Wine,hhds,48.83,,0.5,172.71,14.13641364,,,0,0,,,,,,,,0,0,,0,0,,12,12,170,12,170
Wine,pipes,48.83,,1,172.71,28.27282728,,,0,0,,,,,,,,0,0,,0,0,,40,40,1131,40,1131
Wine,quarter casks,48.83,,0.25,172.71,7.068206821,,,0,0,,,,,,,,0,0,,0,0,,6,6,42,6,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,4505,,,,,,,,,2606,,,7656,,,,1833,,16600
