Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Boston,Philadelphia,Salem,NA,,Isle of May,Madeira,SEU,,TOTAL,
,,1756,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cheese,casks,,,,172.57,0,,,0,0,2,,,2,0,,,0,0,2,0
Cheese,pounds,,,,172.57,0,,,0,0,1300,,,1300,0,,,0,0,1300,0
Loaf sugar,tierces,1.16,,17,172.57,11.42724691,,,0,0,2,,,2,23,,,0,0,2,23
Loaf sugar,barrels,1.16,,6.25,172.57,4.201193718,,,0,0,2,,1,3,13,,,0,0,3,13
Molasses,hhds,2.04,,0.05,172.57,0.05910645,,3,3,0,5,,6,11,1,,,0,0,14,1
Rum,tierces,2.73,,3.05,172.57,4.824998551,3,9,12,58,,,,0,0,,,0,0,12,58
Rum,barrels,2.73,,1.45,172.57,2.29385177,,13,13,30,3,,,3,7,,,0,0,16,37
Rum,hhds,2.73,,5.25,172.57,8.305325375,89,238,327,2716,4,,7,11,91,,,0,0,338,2807
Salt,hhds,2.27,,0.35,172.57,0.460392884,,,0,0,140,,38,178,82,,,0,0,178,82
Salt,bushels,2.27,,0.05,172.57,0.065770412,,441,441,29,,1500,,1500,99,13000,,13000,855,14941,983
Sugar,tierces,48.83,,0.489285714,172.57,13.84471312,10,1,11,152,,,,0,0,,,0,0,11,152
Sugar,barrels,48.83,,0.15,172.57,4.244364606,32,316,348,1477,4,,3,7,30,,,0,0,355,1507
Sugar,hhds,48.83,,0.632142857,172.57,17.88696512,4,11,15,268,3,,,3,54,,,0,0,18,322
Wine,quarter casks,32.78,,0.25,172.57,4.748797589,,,0,0,,,,0,0,,5,5,24,5,24
Wine,pipes,32.78,,1,172.57,18.99519036,,,0,0,,,,0,0,,20,20,380,20,380
Wine,barrels,32.78,,0.25,172.57,4.748797589,,,0,0,,3,,3,14,,,0,0,3,14
Wine,hhds,32.78,,0.5,172.57,9.497595179,,,0,0,,,,0,0,,12,12,114,12,114
,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,4730,,,,,414,,,,1373,,6517
