Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Rhode Island,NA,,Madeira,SEU,,TOTAL,
,,1730,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,152.03,0,,0,0,,,500,500,0,,0,0,500,0
Cotton,cwt,,,5.6,152.03,0,,0,0,1,,,1,0,,0,0,1,0
Molasses,tierces,32.13,,3.05,152.03,64.45865948,,0,0,4,13,,17,1096,,0,0,17,1096
Molasses,barrels,32.13,,1.45,152.03,30.64428073,,0,0,3,1,2,6,184,,0,0,6,184
Molasses,hhds,32.13,,5.05,152.03,106.7266329,4,4,427,3,1,14,18,1921,,0,0,22,2348
Rum,tierces,2.51,,3,152.03,4.952969809,10,10,50,1,8,3,12,59,,0,0,22,109
Rum,barrels,2.51,,1.45,152.03,2.393935407,10,10,24,14,3,1,18,43,,0,0,28,67
Rum,hhds,2.51,,5.25,152.03,8.667697165,11,11,95,11,3,2,16,139,,0,0,27,234
Salt,bushels,3.09,,0.05,152.03,0.101624679,,0,0,1400,106,,1506,153,,0,0,1506,153
Sugar,hhds,32.13,,0.583035714,152.03,12.32186904,1,1,12,2,,1,3,37,,0,0,4,49
Sugar,barrels,32.13,,0.175,152.03,3.698447675,10,10,37,8,7,6,21,78,,0,0,31,115
Wine,pipes,20.5,,1,152.03,13.48418075,,0,0,,,,0,0,108,108,1456,108,1456
,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,645,,,,,3710,,,1456,,5811
