Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadeloupe,WI,,Boston,Halifax,New York,Newport,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,Liverpool,GB,,TOTAL,
,,1765,,,,Sterling,,,,Quantity,Price,,,,,,,,,Quantity,Price,,Quantity,Price,Quantity,Price
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,24.92,,0.044642857,169.9,0.654796939,,,,0,0,,,40,,1,,,,41,27,,0,0,41,27
Cash,pounds,1,,1,160.36,0.623596907,,,,0,0,,,,,,,,70,70,44,,0,0,70,44
Cheese,,,,,169.9,0,,,,0,0,,,,,,,95,,95,0,,0,0,95,0
Cheese,barrels,,,,169.9,0,,,,0,0,,,,,,,,1,1,0,,0,0,1,0
Cheese,pounds,,,,169.9,0,,,,0,0,,,,,,300,4700,2319,7319,0,,0,0,7319,0
Cheese,hhds,,,,169.9,0,,,,0,0,,,,,,,,1,1,0,,0,0,1,0
Chocolate,boxes,,,,169.9,0,,,,0,0,,,,,2,,,10,12,0,,0,0,12,0
Chocolate,pounds,,,,169.9,0,,,,0,0,,,,,200,,,533,733,0,,0,0,733,0
Coffee,bags,,,,169.9,0,,2,,2,0,,,,,4,,,10,14,0,,0,0,16,0
Coffee,barrels,,,,169.9,0,,,,0,0,,,4,,2,4,,3,13,0,,0,0,13,0
Coffee,pounds,,,,169.9,0,,,,0,0,,,,,,,,2326,2326,0,,0,0,2326,0
Dollars,,0.23,,1,100,0.23,,,,0,0,,1000,,,,318,,,1318,303,,0,0,1318,303
Ginger,bags,,,,169.9,0,,1,,1,0,,,,,,,,,0,0,,0,0,1,0
Iron,tons,8.79,,1,169.9,5.173631548,,,,0,0,,,,,36,,,,36,186,,0,0,36,186
Iron,bars,8.79,,,169.9,0,,,,0,0,,,,,41,,,,41,0,,0,0,41,0
Loaf sugar,hhds,1.06,,25,169.9,15.59741024,,,,0,0,,,4,,,,,1,5,78,,0,0,5,78
Loaf sugar,casks,1.06,,0.15,169.9,0.093584461,,,,0,0,,,21,,5,,,2,28,3,,0,0,28,3
Loaf sugar,pounds,1.06,,0.05,169.9,0.03119482,,,,0,0,,,,,,,,1742,1742,54,,0,0,1742,54
Loaf sugar,tierces,1.06,,17,169.9,10.60623896,,,,0,0,,,24,,,,1,,25,265,,0,0,25,265
Loaf sugar,barrels,1.06,,6.25,169.9,3.89935256,,,,0,0,,,,,,3,8,1,12,47,,0,0,12,47
Molasses,tierces,1.76,,3.05,169.9,3.159505592,,,29,29,92,,,,,,1,1,12,14,44,,0,0,43,136
Molasses,hhds,1.76,,5.05,169.9,5.231312537,,,,0,0,,,13,,1,9,28,94,145,759,,0,0,145,759
Molasses,barrels,1.76,,1.45,169.9,1.502060035,,,,0,0,,,,,,,1,19.5,20.5,31,,0,0,20.5,31
Pimento,bags,,,,169.9,0,,,,0,0,,,,,5,,,,5,0,,0,0,5,0
Potatoes,hhds,,,,169.9,0,,,,0,0,,,,,,,,1,1,0,,0,0,1,0
Potatoes,bushels,,,,169.9,0,,,,0,0,,,21,,,,140,,161,0,,0,0,161,0
Rum,kegs,3.02,,0.483333333,169.9,0.859132823,,3,,3,3,,,,,1,,,,1,1,,0,0,4,4
Rum,hhds,3.02,,5.25,169.9,9.331959976,64,259,,323,3014,53,10,63,4,22,7,41,81,281,2622,,0,0,604,5636
Rum,tierces,3.02,,3,169.9,5.332548558,,,,0,0,,,,,,2,1,,3,16,,0,0,3,16
Rum,casks,3.02,,1.45,169.9,2.57739847,,,,0,0,,,,1,,,2,,3,8,,0,0,3,8
Rum,barrels,3.02,,1.45,169.9,2.57739847,,5,,5,13,2,,,,,,1,86.5,89.5,231,,0,0,94.5,244
Salt,bushels,1.7,,0.05,169.9,0.050029429,,,,0,0,,,200,,1200,,504,184,2088,104,5920,5920,296,8008,400
Salt,tons,1.7,,,169.9,0,,,,0,0,,,,,120,,,,120,0,,0,0,120,0
Salt,hhds,1.7,,0.35,169.9,0.350206004,,,,0,0,,,,,,40,,144,184,64,,0,0,184,64
Spirits,gallons,3.02,,0.05,169.9,0.088875809,,,,0,0,,,,,,,15,,15,1,,0,0,15,1
Spirits,barrels,3.02,,0.05,169.9,0.088875809,,,,0,0,,,,2,,,,,2,0,,0,0,2,0
Sugar,tierces,52.94,,0.495089286,169.9,15.42673737,13,,,13,201,,,7,,,,,,7,108,,0,0,20,309
Sugar,hhds,52.94,,0.646875,169.9,20.15630518,11,5,,16,323,,,,,,,,,0,0,,0,0,16,323
Sugar,barrels,52.94,,0.15,169.9,4.673925839,21,110,,131,612,,,1,1,4,17,9,47,79,369,,0,0,210,981
Wine,quarter casks,47.29,,0.25,169.9,6.958505003,,,,0,0,,,,,3,,,,3,21,,0,0,3,21
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4258,,,,,,,,,,5386,,,296,,9940
