Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,North Carolina,Philadelphia,Rhode Island,South Carolina,NA,,London,Bideford,Liverpool,Glasgow,GB,,Cadiz,Madeira,Teneriff,SEU,,TOTAL,
,,1739,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,35.75,,0.05,169.69,83,40,321,3,447,471,,,,,,48,48,51,,,,,0,0,,,,0,0,495,522
Beeswax,barrels,,,,169.69,,,,,0,0,,,,2,,,2,0,,,,,0,0,,,,0,0,2,0
Beeswax,pounds,,,,169.69,,,,,0,0,,,,150,,,150,0,,,,,0,0,,5200,4500,9700,0,9850,0
Bread,barrels,13.01,,,169.69,,,,6,6,0,,,,,,,0,0,,,,,0,0,,,,0,0,6,0
Corn,bushels,1.41,,0.05,169.69,1450,14821,6399,3646,26316,1093,12400,3439,,,1400,1850,19089,793,,,,,0,0,,,,0,0,45405,1886
Flour,barrels,8.03,,0.089285714,169.69,,19,,6,25,11,,,,,,,0,0,,,,,0,0,,,109,109,46,134,57
Furs,boxes,,,,169.69,,,,,0,0,,,,,,,0,0,,,,1,1,0,,,,0,0,1,0
Heading,,3.22,,0.001,169.69,2100,20300,1700,,24100,46,270,,,,,,270,1,,,,,0,0,,,,0,0,24370,47
Hoops,,,,,169.69,,2000,,,2000,0,,,,,,,0,0,,,,,0,0,,,,0,0,2000,0
Iron,tons,10,,1,169.69,,,,,0,0,1.5,,,,,,1.5,9,,,,,0,0,,,,0,0,1.5,9
Peas,bushels,1.41,,0.05,169.69,,492,218,50,760,32,270,64,,50,,,384,16,,,,,0,0,,,8,8,0,1152,48
Pitch,barrels,11.42,,0.05,169.69,,,180,,180,61,,47,,,,,47,16,,,,,0,0,,,,0,0,227,77
Plank,feet,3.864,,0.0005,169.69,,,,,0,0,800,,,,,,800,1,,,,2000,2000,2,1000,,,1000,1,3800,4
Plank,pieces,3.864,,0.005,169.69,,,,,0,0,43,,,,,,43,0,,,68,,68,1,,,,0,0,111,1
Planks,,3.864,,0.005,169.69,,400,,,400,5,,,,,,,0,0,,,,,0,0,,,,0,0,400,5
Pork,barrels,54.88,,0.05,169.69,511,1872,517,398,3298,5333,269,95,,,,250,614,993,,,,,0,0,,12,80,92,149,4004,6475
Potatoes,barrels,,,,169.69,,,,,0,0,,1,,,,,1,0,,,,,0,0,,,,0,0,1,0
Rum,gallons,2.33,,0.05,169.69,,,,,0,0,138,,,,,,138,9,,,,,0,0,,,57,57,4,195,13
Rum,hhds,2.33,,5,169.69,,,,,0,0,,,1,,,,1,7,,,,,0,0,,,,0,0,1,7
Salt,bushels,1.7,,0.05,169.69,,,,,0,0,,,1050,,,,1050,53,,,,,0,0,,,,0,0,1050,53
Shingles,,,,,169.69,114000,824000,83600,93000,1114600,0,186000,,,,,,186000,0,,,,40000,40000,0,,50000,,50000,0,1390600,0
Skins,casks,,,,169.69,,,,,0,0,,,,,,,0,0,22,,,,22,0,,,,0,0,22,0
Skins,hhds,,,,169.69,,,,,0,0,,,,,,,0,0,1,,,,1,0,,,,0,0,1,0
Skins,barrels,,,,169.69,,,,,0,0,,,,,,,0,0,4,,,,4,0,,,,0,0,4,0
Spirits,gallons,2.33,,0.05,169.69,,,,,0,0,,30,,,,,30,2,,,,,0,0,,,,0,0,30,2
Staves,,3.22,,0.001,169.69,19050,40485,32000,,91535,174,250,15500,,,,,15750,30,4000,4400,6000,,14400,27,2000,2500,8000,12500,24,134185,255
Tar,barrels,9.42,,0.05,169.69,,62,188,,250,69,20,4163,,235,,,4418,1226,,883,762,51,1696,471,,,,0,0,6364,1766
Tobacco,hhds,15.63,,0.4535,169.69,,,,,0,0,,1,,,,,1,4,852,69,,193,1114,4653,,,,0,0,1115,4657
Turpentine,barrels,13.26,,0.05,169.69,,,86,,86,34,20,30,,,,,50,20,,10,39,10,59,23,,,,0,0,195,77
Walnut logs,,,,,169.69,,,,,0,0,,20,,,,,20,0,,,,,0,0,,,,0,0,20,0
Wheat,bushels,2.82,,0.05,169.69,,,,,0,0,,300,,,50,,350,29,,,,,0,0,6000,9000,2400,17400,1446,17750,1475
Wine,pipes,21.58,,1,169.69,,,,,0,0,,,,,,,0,0,1,,,,1,13,,,,0,0,1,13
Wine,barrels,21.58,,0.25,169.69,,,,,0,0,,,1,,,,1,3,,,,,0,0,,,,0,0,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,7329,,,,,,,,3263,,,,,,5190,,,,,1670,,17452
