Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Cape Nicholas,Curacao,Dominica,Grenadoes,Hispaniola,Jamaica,Montserrat,Nevis,St. Croix,St. Kitts,St. Thomas,St. Vincents,Surinam,Tortola,WI,,New Providence,Bermuda,Boston,Falmouth,Georgia,New York,Newfoundland,North Carolina,Philadelphia,Piscataqua,Plymouth NE,Providence,Rhode Island,NA,,London,Hull,Liverpool,Whitehaven,Borrowstoness,Glasgow,Leith,Perth,GB,,Belfast,Cork,Dublin,IRE,,St. Michaels,Barcelona,Cadiz,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1771,,,,,,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,casks,28.93,,0.089285714,165.69,,,,,,,,,,107,,,,,,,107,167,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,107,167
Chocolate,boxes,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,2,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,2,0
Corn,hhds,3.5,,0.35,165.69,,,,,,20,,,,,,,,,,,20,15,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,50,,,,,50,37,,0,0,70,52
Corn,bushels,3.5,,0.05,165.69,67939.5,96888.5,,4600,515,1070,,16023,1000,28870.5,1500,8153,,400,,,226959.5,23971,1245,14601,7040,1500,,200,1100,1090,1286,4142,1000,,2151,35355,3734,,,,,,,,,0,0,,,,0,0,,,7000,4790,24550,36340,3838,4975.5,4975.5,526,303630,32069
Cotton,bales,1.24,,,165.69,,,,,,,,,,1,,,,,,,1,0,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,1,0
Deer Skin,tierces,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,9,,,,,9,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,9,0
Deer Skin,casks,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,2,,,,,2,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,2,0
Deer Skins,,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,413,,,,,413,0,,,201,680,,,,,881,0,,,,0,0,,,,,,0,0,,0,0,1294,0
Deer Skins,hhds,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,1,,,,,,,,1,0,,,,3,,1,,,4,0,,,,0,0,,,,,,0,0,,0,0,5,0
Flaxseed,tierces,6.49,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,6,,,,,6,0,,,,0,0,,,,,,0,0,,0,0,6,0
Flaxseed,barrels,6.49,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,13,,,,,13,0,,,,,,,,,0,0,,,,0,0,1,,,,,1,0,,0,0,14,0
Flaxseed,casks,6.49,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,30,,,30,0,,,,,,0,0,,0,0,30,0
Flour,barrels,17.5,,0.089285714,165.69,1802,913,,1658,495,397,,1685,219,1096,,410,1211,140,229,,10255,9671,,92,574,,,400,,,84,,,,202,1352,1275,,,,,,,,,0,0,1015,,,1015,957,375,,1322,140,800,2637,2487,100,100,94,15359,14484
Ginger,bags,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,40,,,,,,,,40,0,,,,0,0,,,,,,0,0,,0,0,40,0
Handspikes,,,,,165.69,,48,,,,,,,,,,,,,,,48,0,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,48,0
Heading,,6.77,,0.001,165.69,,1300,,,,,,,,,,,,,,,1300,5,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,1300,5
Hemp,tons,5.85,,9.333333333,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,7,,,42,,,,,49,1615,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,49,1615
Hemp,cwt,5.85,,0.466666667,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,13,,,,,13,21,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,13,21
Hemp,pounds,5.85,,0.004166667,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,7500,,,1026,,,,,8526,125,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,8526,125
Hemp,quarters,5.85,,0.116666667,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,6,,,,,6,2,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,6,2
Hoops,,,,,165.69,2600,4150,,,13000,19500,,4400,,,,2000,,,7325,,52975,0,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,52975,0
Hoops,M,,,,165.69,,,,,,,,5,,,,,,,,,5,0,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,5,0
Indigo,casks,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,2,,,2,0,,,,0,0,,,,,,0,0,,0,0,2,0
Iron,bars,8,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,127,,,,,,127,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,127,0
Iron,tons,8,,1,165.69,,,,1,,,,,,,,,,1.5,,,2.5,12,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,2.5,12
Loaf sugar,hhds,0.97,,25,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,,,,,,1,15,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,1,15
Molasses,tierces,1.77,,3.05,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,8,,,,,,8,26,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,8,26
Negroes,,38.39,,1,100,,,,,,,,,,,,,,,,,0,0,,,,,,,,38,,,,,,38,1459,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,38,1459
Oats,bushels,3.5,,0.05,165.69,2333,1000,,50,,20,,,827,904.5,,1450,,,,,6584.5,695,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,6584.5,695
Peas,bushels,3.5,,0.05,165.69,2594,3480.5,,138,50,30,,616.5,,1997,50,312,,,,,9268,979,,253,43,,,23,,,20,,,,,339,36,,,,,,,,,0,0,,,,0,0,,,,,556,556,59,30,30,3,10193,1077
Peas,hhds,3.5,,0.35,165.69,10,7,,,,20,,,,3,,,,,,,40,30,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,40,30
Pig iron,cwt,8,,0.05,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,18,,,18,4,,,,0,0,,,,,,0,0,,0,0,18,4
Pig iron,tons,8,,1,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,44,,,,,109,,,153,739,,,,0,0,,,,,,0,0,,0,0,153,739
Pimento,bags,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,17,,,,,17,0,75,,,,,,,,75,0,,,,0,0,,,,,,0,0,,0,0,92,0
Pitch,barrels,12.19,,0.05,165.69,4,6,,,,6,,20,,,,19,,,,,55,20,,,,,,,,,,,,,3,3,1,,,,,,,,12,12,4,,,,0,0,,,,,,0,0,,0,0,70,25
Plank,feet,10.832,,0.0005,165.69,180580,130432,15000,7000,,260467,21000,413526,5279,14000,4500,19000,,12000,2834,3000,1088618,3558,,288,,,,,,,,1000,,,,1288,4,,,,27977,,121000,,,148977,487,,,,0,0,,,,,,0,0,8000,8000,26,1246883,4075
Plank,pieces,10.832,,0.005,165.69,1255,855,,,,2559,,178,,,,,,,,,4847,158,,,,,,,,,,,,,,0,0,,,34,159,,,,,193,6,56,,,56,2,,,,,,0,0,,0,0,5096,166
Planks,,10.832,,0.005,165.69,54,567,,,38630,,,,,,,,,,,,39251,1283,,,,,,,,,,,,,,0,0,,,1123,2060,,,,,3183,104,,,,0,0,,,,,,0,0,,0,0,42434,1387
Pork,casks,80.31,,0.05,165.69,,14,,,,,,,,,,,,,,,14,34,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,14,34
Pork,tierces,80.31,,0.0665,165.69,2,6,,,,,,4,,,,,,,,,12,39,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,12,39
Pork,hhds,80.31,,0.1,165.69,5,7,,,,,,,,5,,,,,,,17,82,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,17,82
Pork,barrels,80.31,,0.05,165.69,804,1515,,,10,,,537,40,284,,74,,,,,3264,7910,14,160,,,,,22,,15,2,,55,30,298,722,,,,,,2,,,2,5,,,,0,0,,,10,,,10,24,,0,0,3574,8661
Potatoes,barrels,,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2,2,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,2,0
Rice,tierces,16.86,,,165.69,1,3,,,,1,,,,,,,,,,,5,0,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,5,0
Rum,barrels,3.35,,,165.69,,,,,,,,,,,,,,,,,0,0,,,,,,,,,7,,,,,7,0,,,,,,,,,0,0,,,,0,0,,,,,,0,0,,0,0,7,0
