Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Curacao,Dominica,Granada,Grenadoes,Havanna,Jamaica,Nevis,St. Croix,St. Kitts,WI,,Bermuda,Boston,Georgia,New York,North Carolina,Philadelphia,Providence,Rhode Island,Salem,South Carolina,NA,,London,Hull,Lancaster,Liverpool,Whitehaven,Borrowstoness,Glasgow,Carran,GB,,Cork,Dublin,IRE,,Cadiz,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1766,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,hhds,24.54,,0.178571429,162.96,6,,,,,,,,,,,6,16,,,,,4,,,,,,4,11,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,10,27
Bread,barrels,24.54,,0.089285714,162.96,550,135,,40,39,40,,,82,101,150,1137,1529,40,2,,,40,,4,,,103,189,254,,,,200,,,,,200,269,,,0,0,,,20,20,27,149,149,200,1695,2279
Corn,bushels,3.29,,0.05,162.96,29407,36556.5,3300,1600,450,,,8164,8641.5,263,5954,94336,9523,14570,100,1950,,,,2637,42,,1100,20399,2059,,,,200,,,,,200,20,,,0,0,,,3000,3000,303,1985,1985,200,119920,12105
Cotton,bags,1.87,,6,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,1,,1,7,,,0,0,,,,0,0,,0,0,1,7
Deer Skins,hhds,,,,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,6,,,,,,,,6,0,,,0,0,,,,0,0,,0,0,6,0
Deer skins (raw),,,,,162.96,,,,,,,,,,,,0,0,,,,12,,,,,,,12,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,12,0
Flaxseed,barrels,5.17,,,162.96,,,,,,,,,,,,0,0,,,,,,1,,,,,1,0,,,,,,,3,,3,0,,,0,0,,,,0,0,,0,0,4,0
Flaxseed,casks,5.17,,,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,1,,1,0,,,,0,0,,0,0,1,0
Flaxseed,hhds,5.17,,,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,63,,63,0,,,0,0,,,,0,0,,0,0,63,0
Flour,barrels,14.81,,0.089285714,162.96,894,239,110,,266,67,30,826,110,200,60,2802,2274,12,,,,3,,180,,,420,615,499,,,,,,,,,0,0,,1800,1800,1461,,315,,315,256,60,60,49,5592,4539
Furs,boxes,,,,162.96,,,,,,,,,,,,0,0,,,,,,1,,,,,1,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,1,0
Handspikes,,,,,162.96,,,,,,,,,,,24,24,0,,,,,,,,,,,0,0,434,,56,144,,,,,634,0,100,,100,0,,,,0,0,,0,0,758,0
Heading,,6.56,,0.001,162.96,93600,52116,,,,,,700,,,,146416,589,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,146416,589
Hemp,bundles,,,,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,4,,,,,,,,4,0,,,0,0,,,,0,0,,0,0,4,0
Hemp,tons,,,,162.96,,,,,,,,,,,,0,0,,,,2,,1,,,,,3,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,3,0
Hoops,,,,,162.96,9950,2670,,,3000,,,,1500,,,17120,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,17120,0
Indigo,pounds,,,,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,70,,70,0,,,0,0,,,,0,0,,0,0,70,0
Iron,bars,8.59,,,162.96,,99,,,,,,,,,,99,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,99,0
Lumber,,,,,162.96,81053,,,,,,,,,,,81053,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,81053,0
Oats,bushels,3.29,,0.05,162.96,2161,1934,350,388,100,,,1885,,,150,6968,703,,900,,1900,,1200,,,,128,4128,417,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,11096,1120
Peas,bushels,3.29,,0.05,162.96,1771,3430,,,84,,,1312,114,222,262,7195,726,20,,,2530,,26,,6,,100,2682,271,,,,,,,,,0,0,,,0,0,,,360,360,36,335,335,34,10572,1067
Peas,hhds,3.29,,0.35,162.96,,3,,,,,,,,,,3,2,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,3,2
Peas/beans,casks,3.29,,0.175,162.96,,,,,,,,,,,7,7,2,,,,,,,,,,,0,0,,,,,,,,,0,0,,,0,0,,,,0,0,,0,0,7,2
Pig iron,tons,8.59,,1,162.96,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,83,,,26,,6,75,,190,1002,,,0,0,,,,0,0,,0,0,190,1002
Pitch,barrels,17.25,,0.05,162.96,53,41,,,5,9,,54,,,,162,86,,90,,36,,,3,,701,,830,439,,100,20,148,,,,,268,142,,,0,0,,,,0,0,6,6,3,1266,670
Plank,feet,10.496,,0.0005,162.96,66202,177385,200,,26000,41000,,50688,4000,,4000,369475,1190,8000,,,,,,14200,,,,22200,71,10917.5,,6300,27461,1223,,23180,,69081.5,222,18400,,18400,59,,894,,894,3,6000,6000,19,486050.5,1564
Plank,pieces,10.496,,0.005,162.96,33243,,270,1300,458,,,280,,,,35551,1145,,,,,,,,,,,0,0,75,,,,,,84,,159,5,143,,143,5,,,,0,0,,0,0,35853,1155
