Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,New Hampshire,Salem,NA,,London,Barnstaple,Bideford,Liverpool,Lyme,Plymouth,Weymouth,Whitehaven,Ayr,Glasgow,GB,,TOTAL,
,,1731,,,,Sterling,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,1.65,,0.05,153.28,0.053823069,3200,1411,700,850,6161,332,,,,,,,,,,,0,0,6161,332
Deer Skins,,,,,153.28,0,,1000,6,12,1018,0,180,,,,,,,,,,180,0,1198,0
Iron,pounds,,,0.000446429,153.28,0,,20,,200,220,0,,,,,,,,,,,0,0,220,0
Pig iron,tons,,,1,153.28,0,,,,,0,0,40,,,,,,,,,,40,0,40,0
Plank,pieces,3.6,,0.005,153.28,0.011743215,,,,,0,0,,,16,,,,,,,,16,0,16,0
Plank,feet,3.6,,0.0005,153.28,0.001174322,,,50,,50,0,,,230,,671,100,,,700,280,1981,2,2031,2
Plate,ounces,64.48,,0.004166667,100,0.268666667,,,,,0,0,650,,,,,,,,,,650,175,650,175
Pork,pounds,55.97,,0.00025,153.28,0.009128719,,800,,6000,6800,62,,,,,,,,,,,0,0,6800,62
Rum,hhds,2.64,,5.25,153.28,9.042275574,,,,,0,0,,,,,,,,2,,,2,18,2,18
Rum,tierces,2.64,,3,153.28,5.167014614,,,,,0,0,,,,,,,,2,,,2,10,2,10
Staves,,2.25,,0.001,153.28,0.001467902,,,,,0,0,14400,7300,9700,5000,1900,6000,2700,7000,5000,9000,68000,100,68000,100
Tobacco,tubs,13.45,,0.100375,153.28,0.88076967,,,,,0,0,1,,,,,,,5,,,6,5,6,5
Tobacco,barrels,13.45,,0.20075,153.28,1.76153934,,,,,0,0,,,,,,,,3,2,7,12,21,12,21
Tobacco,hhds,13.45,,0.4015,153.28,3.52307868,,,,,0,0,785,345,723,178,180,230,151,355,256,310,3513,12377,3513,12377
Wheat,bushels,2.47,,0.05,153.28,0.080571503,,29,,200,229,18,,,,,,,,,,,0,0,229,18
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,412,,,,,,,,,,,,12708,,13120
