Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,NA,,London,Barnstaple,Bideford,Lyme Regis,Weymouth,Whitehaven,Dumfries,Glasgow,Greenock,GB,,TOTAL,
,,1727,,,,Sterling,,,Quantity,Value,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.02,,0.05,149.58,0.067522396,,120,120,8,,,,,,,,,,0,0,120,8
Corn,bushels,2.02,,0.05,149.58,0.067522396,1100,900,2000,135,,,,,,,,,,0,0,2000,135
Cotton,pounds,,,,149.58,0,450,,450,0,,,,,,,,,,0,0,450,0
Deer Skins,,,,,149.58,0,,834,834,0,,,,,,,,,,0,0,834,0
Peas,bushels,2.02,,0.05,149.58,0.067522396,50,30,80,5,,,,,,,,,,0,0,80,5
Plank,pieces,3.6,,0.005,149.58,0.012033694,8,,8,0,,6,3,,,,,11,,20,0,28,0
Plank,feet,3.6,,0.0005,149.58,0.001203369,,,0,0,,,,270,,,,,,270,0,270,0
Pork,hhds,47.79,,0.1,149.58,3.194945848,,13,13,42,,,,,,,,,,0,0,13,42
Pork,pounds,47.79,,0.00025,149.58,0.007987365,,1126,1126,9,,,,,,,,,,0,0,1126,9
Pork,barrels,47.79,,0.05,149.58,1.597472924,,63,63,101,,,,,,,,,,0,0,63,101
Staves,,2.25,,0.001,149.58,0.001504212,1800,,1800,3,6500,4600,10500,2800,,14000,4000,38080,3000,83480,126,85280,129
Staves and heading,,2.25,,0.001,149.58,0.001504212,,,0,0,,,,,1300,,,,,1300,2,1300,2
Tobacco,tubs,17.87,,0.0985,149.58,1.176758256,,,0,0,,,,,,15,,3,,18,21,18,21
Tobacco,barrels,17.87,,0.197,149.58,2.353516513,,,0,0,,,,,4,17,8,10,1,40,94,40,94
Tobacco,hhds,17.87,,0.394,149.58,4.707033026,,,0,0,253,,,,181,935,,1036,159,2564,12069,2564,12069
Walnut logs,,,,,149.58,0,,,0,0,,,,,,,,12,,12,0,12,0
Wheat,bushels,3.27,,0.05,149.58,0.109306057,,168,168,18,,,,,,,,,,0,0,168,18
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,321,,,,,,,,,,,12312,,12633
