Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,New England,NA,,London,Bristol,Greenock,GB,,Cork,IRE,,Madeira,SEU,,TOTAL,
,,1733,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.1,,0.05,166.94,0.062896849,3812,3812,240,6482,3464,9946,626,,,,0,0,,0,0,458,458,29,14216,895
Deer Skins,,,,,166.94,0,,0,0,,,0,0,76,,,76,0,,0,0,,0,0,76,0
Furs and skins,casks,,,,166.94,0,,0,0,,,0,0,1,,,1,0,,0,0,,0,0,1,0
Heading,,3.6,,0.00005,166.94,0.000107823,4988,4988,1,,,0,0,,,,0,0,,0,0,,0,0,4988,1
Heading,C,3.6,,0.0005,166.94,0.001078232,12,12,0,,,0,0,,,,0,0,,0,0,,0,0,12,0
Iron,pigs,,,,166.94,0,,0,0,,,0,0,,1048,,1048,0,,0,0,,0,0,1048,0
Iron,tons,,,,166.94,0,,0,0,,,0,0,535,318,,853,0,,0,0,,0,0,853,0
Peas,bushels,2.1,,0.05,166.94,0.062896849,522,522,33,8,388,396,25,,,,0,0,,0,0,454,454,29,1372,87
Pitch and turpentine,barrels,17.17,,0.05,166.94,0.514256619,,0,0,,,0,0,,50,,50,26,,0,0,,0,0,50,26
Plank,C feet,3.6,,0.05,166.94,0.10782317,,0,0,,,0,0,16,,,16,2,,0,0,,0,0,16,2
Plank,M feet,3.6,,0.5,166.94,1.0782317,,0,0,,,0,0,4,,,4,4,,0,0,,0,0,4,4
Plank,feet,3.6,,0.0005,166.94,0.001078232,,0,0,,,0,0,1045,1401,,2446,3,,0,0,,0,0,2446,3
Planks,,3.6,,0.005,166.94,0.010782317,,0,0,,,0,0,,55,,55,1,,0,0,,0,0,55,1
Pork,pounds,47.54,,0.00025,166.94,0.007119324,,0,0,5600,,5600,40,,,,0,0,,0,0,,0,0,5600,40
Pork,boxes,47.54,,,166.94,0,2,2,0,,,0,0,,,,0,0,,0,0,,0,0,2,0
Pork,barrels,47.54,,0.05,166.94,1.423864862,97,97,138,,52,52,74,,,,0,0,,0,0,21,21,30,170,242
Rum,hhds,2.3,,5.25,166.94,7.233137654,,0,0,,,0,0,2,,,2,14,,0,0,,0,0,2,14
Rum,casks,2.3,,3.05,166.94,4.202108542,,0,0,,,0,0,2,1,,3,13,,0,0,,0,0,3,13
Rum,gallons,2.3,,0.05,166.94,0.068887025,,0,0,,,0,0,,260,,260,18,,0,0,,0,0,260,18
Skins,casks,,,,166.94,0,,0,0,,,0,0,3,1,,4,0,,0,0,,0,0,4,0
Staves,,2.25,,0.001,166.94,0.00134779,,0,0,,,0,0,102280,24657,7100,134037,181,,0,0,,0,0,134037,181
Staves (barrel),M,22.5,,0.05,166.94,0.673894813,,0,0,,,0,0,,,,0,0,86,86,58,,0,0,86,58
Staves (barrels),,22.5,,0.00005,166.94,0.000673895,2000,2000,1,,,0,0,4600,,,4600,3,,0,0,1000,1000,1,7600,5
Staves (barrels),C,22.5,,0.005,166.94,0.067389481,,0,0,,,0,0,36,57.25,,93.25,6,,0,0,,0,0,93.25,6
Staves (hhds),,2.25,,0.001,166.94,0.00134779,,0,0,,,0,0,8720,2510,,11230,15,,0,0,,0,0,11230,15
Staves (hhds),C,2.25,,0.1,166.94,0.134778963,,0,0,,,0,0,142,190.25,,332.25,45,,0,0,,0,0,332.25,45
Staves (pipes),,3,,0.001,166.94,0.001797053,,0,0,,,0,0,6900,,,6900,12,,0,0,1000,1000,2,7900,14
Staves (pipes),C,3,,0.1,166.94,0.179705283,,0,0,,,0,0,102.5,164.75,,267.25,48,,0,0,,0,0,267.25,48
Tar,barrels,12.25,,0.05,166.94,0.366898287,,0,0,,,0,0,,1760,,1760,646,,0,0,,0,0,1760,646
Tobacco,hhds,15.13,,0.4055,166.94,3.675101833,,0,0,,,0,0,6851,3472,367,10690,39287,,0,0,,0,0,10690,39287
Wax,casks,,,,166.94,0,,0,0,,,0,0,1,,,1,0,,0,0,1,1,0,2,0
Wax,boxes,,,,166.94,0,,0,0,,,0,0,,,,0,0,,0,0,1,1,0,1,0
Wheat,bushels,3.06,,0.05,166.94,0.091649695,,0,0,,6,6,1,,,,0,0,,0,0,1854,1854,170,1860,171
Wine,pipes,20.5,,1,166.94,12.27986103,,0,0,,,0,0,20,,,20,246,,0,0,,0,0,20,246
Wine,hhds,20.5,,0.5,166.94,6.139930514,,0,0,,,0,0,1,,,1,6,,0,0,,0,0,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,413,,,,766,,,,,40576,,,58,,,261,,42074
