Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Bermuda,Boston,New England,Providence,NA,,London,Bristol,Hull,Liverpool,Whitehaven,Glasgow,GB,,Lisbon,Madeira,SEU,,TOTAL,
,,1752,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,51.01,,0.05,166.85,1.52861852,,6,,6,9,,,,,0,0,,,,,,,0,0,,,0,0,6,9
Biscuits,pounds,13.17,,0.000446429,166.85,0.003523802,,,,0,0,,,,3200,3200,11,,,,,,,0,0,,,0,0,3200,11
Bread,barrels,21.94,,0.089285714,166.85,1.174065671,,,90,90,106,,,,,0,0,,,,,,,0,0,,,0,0,90,106
Bread,hhds,21.94,,0.178571429,166.85,2.348131341,,,15,15,35,,,,,0,0,,,,,,,0,0,,,0,0,15,35
Bread,pounds,21.94,,0.000446429,166.85,0.005870328,,,,0,0,,,,3000,3000,18,,,,,,,0,0,,,0,0,3000,18
Corn,bushels,2.56,,0.05,166.85,0.076715613,7569,24569,1732,33870,2598,4500,2700,850,920,8970,688,,,,,,,0,0,,7511,7511,576,50351,3862
Deer Skins,,,,,166.85,0,,,,0,0,,,,,0,0,,,742,,,,742,0,,,0,0,742,0
Flour,pounds,13.13,,0.000446429,166.85,0.0035131,,,,0,0,,,,3000,3000,11,,,,,,,0,0,,,0,0,3000,11
Flour,barrels,13.13,,0.089285714,166.85,0.702619975,,,241,241,169,,,,14,14,10,,,,,,,0,0,,,0,0,255,179
Heading,,4.26,,0.001,166.85,0.002553191,,4200,,4200,11,,,,,0,0,,,,,,,0,0,,,0,0,4200,11
Hoops,,,,,166.85,0,,4800,,4800,0,,,,,0,0,,,,,,,0,0,,,0,0,4800,0
Iron,tons,8.42,,1,166.85,5.046448906,,,,0,0,,,,,0,0,147,200,,18,,,365,1842,,,0,0,365,1842
Peas,bushels,2.56,,0.05,166.85,0.076715613,,11,40,51,4,,,,,0,0,,,,,,,0,0,,,0,0,51,4
Pitch,barrels,20.06,,0.05,166.85,0.601138747,,,,0,0,,,,,0,0,6,,,,,,6,4,,,0,0,6,4
Plank,feet,6.816,,0.0005,166.85,0.002042553,,3772,,3772,8,,,,1000,1000,2,590,,,2790,5000,,8380,17,,,0,0,13152,27
Planks,,6.816,,0.005,166.85,0.020425532,,,,0,0,,,,,0,0,,,,10,,,10,0,,,0,0,10,0
Pork,tubs,72.35,,0.025,166.85,1.084057537,,,,0,0,,,,,0,0,1,,,,,,1,1,,,0,0,1,1
Pork,casks,72.35,,0.05,166.85,2.168115073,,1,,1,2,,,,,0,0,,,,,,,0,0,,,0,0,1,2
Pork,cases,72.35,,,166.85,0,,,,0,0,,,,,0,0,1,,,,,,1,0,,,0,0,1,0
Pork,barrels,72.35,,0.05,166.85,2.168115073,12,327,22,361,783,,,,25,25,54,,,,,,,0,0,,14,14,30,400,867
Rum,gallons,3.22,,0.05,166.85,0.096493857,,,,0,0,,,,,0,0,1599,534,110,551,108,,2902,280,,,0,0,2902,280
Shingles,M,,,,166.85,0,30,,25,55,0,,,,,0,0,,,,,,,0,0,,,0,0,55,0
Shingles,,,,,166.85,0,,106010,,106010,0,,,,,0,0,,,,,,,0,0,,,0,0,106010,0
Staves,,4.26,,0.001,166.85,0.002553191,2400,4700,,7100,18,,,,,0,0,106800,57200,9170,52790,12000,36500,274460,701,7840,1000,8840,23,290400,742
Tar,barrels,10.08,,0.05,166.85,0.302067726,,,,0,0,,,,,0,0,,1400,,,6,,1406,425,,,0,0,1406,425
Tobacco,hhds,19.9,,0.513,166.85,6.118489661,,16,,16,98,,,,,0,0,6401,2731,546,1517,258,1373,12826,78476,,,0,0,12842,78574
Wax,pounds,,,,166.85,0,,,,0,0,,,,,0,0,1400,,,1900,,,3300,0,,159,159,0,3459,0
Wheat,bushels,4.38,,0.05,166.85,0.131255619,,,,0,0,,,,,0,0,,,,,,,0,0,5950,1425,7375,968,7375,968
Wine,pipes,30.1,,1,166.85,18.04015583,10,,,10,180,,,,,0,0,2,,,,,,2,36,,,0,0,12,216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4021,,,,,,794,,,,,,,,81782,,,,1597,,88194
