Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Grenadoes,St. Christophers,St. Croix,St. Eustatia,WI,,Bermuda,Boston,Philadelphia,Rhode Island,Salem,NA,,Madeira,Teneriff,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,,,Quantity,Value,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,28.93,,0.044642857,165.69,0.779478458,,,,,,,0,0,,,18,,,18,14,,,0,0,18,14
Cheese,pounds,,,,165.69,0,,,,,,,0,0,,1554,200,5244,2733,9731,0,,,0,0,9731,0
Chocolate,pounds,,,,165.69,0,,,,,,,0,0,,700,,,1272,1972,0,,,0,0,1972,0
Chocolate,boxes,,,,165.69,0,,,,,,,0,0,,7,,,,7,0,,,0,0,7,0
Coffee,bags,,,,165.69,0,,,,,,,0,0,,,5,,2,7,0,,,0,0,7,0
Coffee,barrels,,,,165.69,0,,,,,,,0,0,,4,2,,,6,0,,,0,0,6,0
Hoops,,,,,165.69,0,,,,,,,0,0,,,,2000,,2000,0,,,0,0,2000,0
Loaf sugar,casks,0.97,,6.25,165.69,3.658941397,,,,,,,0,0,,4,,,,4,15,,,0,0,4,15
Loaf sugar,pounds,0.97,,0.05,165.69,0.029271531,,,,,,,0,0,,,,3500,,3500,102,,,0,0,3500,102
Loaf sugar,hhds,0.97,,25,165.69,14.63576559,,,,,,,0,0,,,2,,,2,29,,,0,0,2,29
Loaf sugar,barrels,0.97,,6.25,165.69,3.658941397,,,,,,,0,0,,2,,4,2,8,29,,,0,0,8,29
Molasses,barrels,1.77,,1.45,165.69,1.548977005,,,,,,,0,0,,,11,6,7.5,24.5,38,,,0,0,24.5,38
Molasses,hhds,1.77,,5.05,165.69,5.394713018,,,,,,8,8,43,,12,1,77,70,160,863,,,0,0,168,906
Molasses,tierces,1.77,,3.05,165.69,3.258193011,,,,,,1,1,3,,,4,15,31,50,163,,,0,0,51,166
Negroes,,38.39,,1,100,38.39,,90,,,,,90,3455,5,,,,,5,192,,,0,0,95,3647
Pimento,bags,,,,165.69,0,,,,,,,0,0,,,2,,,2,0,,,0,0,2,0
Rice,casks,16.86,,,165.69,0,,,,,,,0,0,,,,1,,1,0,,,0,0,1,0
Rum,hhds,3.35,,5.25,165.69,10.61470215,97,51,17,73,,22,260,2760,,24,23,32,25,104,1104,,,0,0,364,3864
Rum,barrels,3.35,,1.45,165.69,2.931679643,10,10,,,,,20,59,,36,8,17,63,124,364,,,0,0,144,423
Rum,tierces,3.35,,3,165.69,6.065544088,4,,,,,,4,24,,4,16,106,4,130,789,,,0,0,134,813
Salt,hhds,1.6,,0.35,165.69,0.337980566,,,,,,,0,0,,2,,8,87,97,33,,,0,0,97,33
Sugar,tierces,50.86,,0.495089286,165.69,15.19720024,6,,,,12,,18,274,,,,,,0,0,,,0,0,18,274
Sugar,hhds,50.86,,0.646875,165.69,19.85639598,2,2,1,,,1,6,119,,,,,,0,0,,,0,0,6,119
Sugar,barrels,50.86,,0.15,165.69,4.604381677,77,50,,,14,15,156,718,,2,,2,16,20,92,,,0,0,176,810
Wine,quarter casks,50,,0.25,165.69,7.544209065,,,,,,,0,0,,,,1,,1,8,18,40,58,438,59,446
Wine,pipes,50,,1,165.69,30.17683626,,,,,,,0,0,,,,,,0,0,20,30,50,1509,50,1509
Wine,hhds,50,,0.5,165.69,15.08841813,,,,,,,0,0,,,,,,0,0,21,20,41,619,41,619
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,7455,,,,,,,3835,,,,2566,,13856
