Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Jamaica,St. Christophers,St. Eustatia,WI,,Bermuda,Boston,Falmouth,Philadelphia,Rhode Island,Salem,NA,,Madeira,SEU,,TOTAL,
,,1768,,,,Sterling,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,26.38,,0.044642857,166.62,0.706805048,,,,,0,0,,,,6,,,6,4,,0,0,6,4
Cheese,pounds,,,,166.62,0,,,,,0,0,,,,,700,200,900,0,,0,0,900,0
Chocolate,pounds,,,,166.62,0,,,,,0,0,,,,,112,70,182,0,,0,0,182,0
Chocolate,boxes,,,,166.62,0,,,,,0,0,,2,,4,,,6,0,,0,0,6,0
Coffee,tierces,,,,166.62,0,,2,,,2,0,,,,,,,0,0,,0,0,2,0
Coffee,barrels,,,,166.62,0,,4,,,4,0,,2,,,,,2,0,,0,0,6,0
Ginger,bags,,,,166.62,0,12,6,,,18,0,,,,,,,0,0,,0,0,18,0
Loaf sugar,pounds,0.93,,0.05,166.62,0.027907814,,,,,0,0,,,,,1300,,1300,36,,0,0,1300,36
Molasses,hhds/casks,1.81,,4.05,166.62,4.399531869,,,,,0,0,,,1,,20,16,37,163,,0,0,37,163
Molasses,hhds,1.81,,5.05,166.62,5.485836034,,6,,7,13,71,3,12,,,18,,33,181,,0,0,46,252
Molasses,barrels,1.81,,1.45,166.62,1.575141039,,,,,0,0,,,,17,,,17,27,,0,0,17,27
Molasses,tierces,1.81,,3.05,166.62,3.313227704,,,,2,2,7,,,,,,,0,0,,0,0,2,7
Pimento,bags,,,,166.62,0,,2,,,2,0,,,,,,,0,0,,0,0,2,0
Pork,tierces,73.43,,,166.62,0,,,,,0,0,,,,1,,,1,0,,0,0,1,0
Pork,hhds,73.43,,,166.62,0,,,,,0,0,,,,1,,,1,0,,0,0,1,0
Pork,boxes,73.43,,,166.62,0,,,,,0,0,,,,1,,,1,0,,0,0,1,0
Potatoes,bushels,,,,166.62,0,,,,,0,0,,,,,60,,60,0,,0,0,60,0
Refined sugar,pounds,0.93,,0.05,166.62,0.027907814,800,,,,800,22,,1995,,950,3200,,6145,171,,0,0,6945,193
Rum,hhds,3.34,,5.25,166.62,10.52394671,117,1,104,15,237,2494,8,25,1,22,41,6,103,1084,,0,0,340,3578
Rum,tierces,3.34,,3,166.62,6.013683831,4,,,,4,24,,,,,22,,22,132,,0,0,26,156
Rum,kegs,3.34,,0.725,166.62,1.453306926,,,,,0,0,,,,,2,,2,3,,0,0,2,3
Rum,barrels,3.34,,1.45,166.62,2.906613852,21,18,,,39,113,,,,,18,18,36,105,,0,0,75,218
Salt,hhds,1.57,,0.35,166.62,0.329792342,,,,,0,0,,,6,,,27,33,11,,0,0,33,11
Salt,bushels,1.57,,0.05,166.62,0.047113192,,,,,0,0,192,,,,,,192,9,,0,0,192,9
Shingles,,,,,166.62,0,2800,,,,2800,0,,,,,,,0,0,,0,0,2800,0
Sugar,hhds,46.42,,0.646875,166.62,18.02180861,7,2,,1,10,180,,,,,,,0,0,,0,0,10,180
Sugar,casks,46.42,,0.15,166.62,4.178970112,,,,,0,0,,,1,,,5,6,25,,0,0,6,25
Sugar,barrels,46.42,,0.15,166.62,4.178970112,44,7,2,12,65,272,22,,,11,36,3,72,301,,0,0,137,573
Sugar,tierces,46.42,,0.495089286,166.62,13.79308885,7,,,,7,97,,,,,,,0,0,,0,0,7,97
Tea,pounds,4.21,,0.05,166.62,0.126335374,,,,,0,0,,,,,,20,20,3,,0,0,20,3
Tobacco,hhds,21.83,,0.5485,166.62,7.186265154,2,,,,2,14,,,,,,,0,0,,0,0,2,14
White sugar,casks,0.93,,6.25,166.62,3.488476773,3,,,,3,10,,,,,,,0,0,,0,0,3,10
Wine,pipes,47.73,,1,166.62,28.64602089,25,,,,25,716,,,,,,,0,0,28,28,802,53,1518
Wine,quarter casks,47.73,,0.25,166.62,7.161505221,,,,,0,0,,,,14,10,,24,172,,0,0,24,172
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,4020,,,,,,,,2427,,,802,,7249
