Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,New England,Salem,NA,,London,Hull,GB,,Dublin,IRE,,TOTAL,
,,1746,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,179.86,0,,0,0,300,,,300,0,,,0,0,,0,0,300,0
Cheese,cwt,,,,179.86,0,,0,0,,,5,5,0,,,0,0,,0,0,5,0
Convicts,,11.29090909,,1,100,11.29090909,,0,0,,,,0,0,,,0,0,85,85,960,85,960
Loaf sugar,pounds,1.26,,0.05,179.86,0.035027243,,0,0,70,,,70,2,,,0,0,,0,0,70,2
Molasses,hhds,2.5,,5.05,179.86,7.019348382,3,3,21,1,,8,9,63,,,0,0,,0,0,12,84
Molasses,gallons,2.5,,0.05,179.86,0.069498499,1350,1350,94,,,,0,0,,,0,0,,0,0,1350,94
Negroes,,31.05,,1,100,31.05,53,53,1646,,,,0,0,,,0,0,,0,0,53,1646
Plank,feet,6.528,,0.0005,179.86,0.001814745,,0,0,4000,,,4000,7,,,0,0,,0,0,4000,7
Rum,hhds,3.03,,5.25,179.86,8.844378961,1,1,9,3,21,12,36,318,,,0,0,,0,0,37,327
Rum,gallons,3.03,,0.05,179.86,0.084232181,29490,29490,2484,899,5720,1000,7619,642,,,0,0,,0,0,37109,3126
Rum,barrels,3.03,,1.45,179.86,2.442733237,,0,0,6,,,6,15,,,0,0,,0,0,6,15
Salt,hhds,3.755,,0.35,179.86,0.730707217,,0,0,8,,8.5,16.5,12,,,0,0,,0,0,16.5,12
Servants,,11.29090909,,1,100,11.29090909,,0,0,,,,0,0,79,8,87,982,42,42,474,129,1456
Sugar,barrels,47.15,,0.15,179.86,3.932225064,38,38,149,2,,6,8,31,,,0,0,,0,0,46,180
Sugar,pounds,47.15,,0.000446429,179.86,0.011703051,13524,13524,158,,,,0,0,,,0,0,,0,0,13524,158
Wine,pipes,22.9,,1,179.86,12.73212499,22,22,280,,,,0,0,,,0,0,,0,0,22,280
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,4841,,,,,1090,,,,982,,,1434,,8347
