Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Boston,Lewes,Philadelphia,Rhode Island,Salem,NA,,London,GB,,Africa,AFR,,Unknown,UNK,,TOTAL,
,,1763,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,30.18,,,173,0,,,0,0,,,74,,,74,0,,0,0,,0,0,,0,0,74,0
Cash,pounds,1,,1,159.88,0.625469102,600,,600,375,,,,,,0,0,,0,0,,0,0,,0,0,600,375
Cheese,pounds,,,,173,0,,,0,0,100,,,,800,900,0,,0,0,,0,0,,0,0,900,0
Chocolate,boxes,,,,173,0,,,0,0,5,,5,,1,11,0,,0,0,,0,0,,0,0,11,0
Coffee,bags,,,,173,0,,,0,0,,,10,,,10,0,,0,0,,0,0,,0,0,10,0
Convicts,,12.63272727,,1,100,12.63272727,,,0,0,,,,,,0,0,27,27,341,,0,0,,0,0,27,341
Dollars,,0.23,,1,100,0.23,,,0,0,,,,,160,160,37,,0,0,,0,0,,0,0,160,37
Ginger,casks,,,,173,0,,,0,0,,,1,,,1,0,,0,0,,0,0,,0,0,1,0
Loaf sugar,barrels,1.04,,6.25,173,3.757225434,,,0,0,,,4,,3,7,26,,0,0,,0,0,,0,0,7,26
Loaf sugar,hhds,1.04,,25,173,15.02890173,,,0,0,1,,,,,1,15,,0,0,,0,0,,0,0,1,15
Loaf sugar,pounds,1.04,,0.05,173,0.030057803,,,0,0,,,,,584,584,18,,0,0,,0,0,,0,0,584,18
Molasses,casks,1.99,,3.05,173,3.508381503,,,0,0,,,,11,,11,39,,0,0,,0,0,,0,0,11,39
Molasses,barrels,1.99,,1.45,173,1.667919075,,,0,0,,,,,5,5,8,,0,0,,0,0,,0,0,5,8
Molasses,tierces,1.99,,3.05,173,3.508381503,,,0,0,,,,,10,10,35,,0,0,,0,0,,0,0,10,35
Molasses,hhds,1.99,,5.05,173,5.808959538,6,,6,35,3,,3,9,21,36,209,,0,0,,0,0,,0,0,42,244
Negroes,,34.74,,1,100,34.74,,,0,0,,,,,,0,0,,0,0,80,80,2779,,0,0,80,2779
Pig iron,tons,9,,1,173,5.202312139,,,0,0,,,38,,,38,198,,0,0,,0,0,,0,0,38,198
Potatoes,bushels,,,,173,0,,,0,0,,,,20,,20,0,,0,0,,0,0,,0,0,20,0
Rum,barrels,3.72,,1.45,173,3.117919075,,,0,0,15,,,,12,27,84,,0,0,,0,0,,0,0,27,84
Rum,hhds,3.72,,5.25,173,11.28901734,24,148,172,1942,9,,51,23,39,122,1377,,0,0,,0,0,131,131,1479,425,4798
Rum,tierces,3.72,,3,173,6.450867052,,,0,0,,,,,2,2,13,,0,0,,0,0,,0,0,2,13
Salt,hhds,2.21,,0.35,173,0.447109827,,,0,0,1,,,,107,108,48,,0,0,,0,0,,0,0,108,48
Salt,bushels,2.21,,0.05,173,0.063872832,1270,,1270,81,,,,40,,40,3,,0,0,,0,0,,0,0,1310,84
Salt,tons,2.21,,,173,0,,,0,0,,140,,,,140,0,,0,0,,0,0,100,100,0,240,0
Spirits,kegs,3.72,,0.725,173,1.558959538,,,0,0,,,,12,,12,19,,0,0,,0,0,,0,0,12,19
Sugar,tierces,49.79,,0.489285714,173,14.08181255,,,0,0,,,,,,0,0,,0,0,,0,0,2,2,28,2,28
Sugar,barrels,49.79,,0.15,173,4.317052023,6,107,113,488,5,,2,7,26,40,173,,0,0,,0,0,35,35,151,188,812
Tobacco,hhds,19.48,,0.561,173,6.316924855,,,0,0,,,,,,0,0,,0,0,,0,0,72,72,455,72,455
Wine,quarter casks,49.34,,0.25,173,7.130057803,,,0,0,,,36,,3,39,278,,0,0,,0,0,15,15,107,54,385
Wine,pipes,49.34,,1,173,28.52023121,,,0,0,,,5,,,5,143,,0,0,,0,0,70,70,1996,75,2139
Wine,hhds,49.34,,0.5,173,14.26011561,,,0,0,,,,,,0,0,,0,0,,0,0,10,10,143,10,143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,2921,,,,,,,2723,,,341,,,2779,,,4359,,13123
