Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Grenada,Grenades,Jamaica,Montserrat,Nevis,St. Cruze,St. Kitts,WI,,New Providence,Bermuda,Boston,Georgia,New Castle,New York,Newbury,Newfoundland,North Carolina,Philadelphia,Piscataqua,Rhode Island,Salem,South Carolina,NA,,London,Hull,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,Cork,IRE,,Hamburgh,NEU,,Madeira,SEU,,TOTAL,
,,1763,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,27,,1,173,,,,,,,,,,1,1,16,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,,0,0,1,16
Beef,barrels,60.29,,0.05,173,,22,,,,41,,44,,61,168,293,59,24,,,,,,,,,,,,,83,145,,,,,,,0,0,,0,0,,0,0,16,16,28,267,466
Beeswax,barrels,,,,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,10,,,,10,0,,0,0,,0,0,,0,0,10,0
Beeswax,casks,,,,173,,,,,,,,,,,0,0,,,,,,3,,,,,,,,,3,0,,,,,,,0,0,,0,0,,0,0,,0,0,3,0
Beeswax,pounds,,,,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,2454,2454,0,2454,0
Bread,barrels,30.18,,0.089285714,173,,286,138,12,,191,10,30,,1010,1677,2612,,386,,130,,,,14,,,,,,214,744,1159,,,,,,,0,0,,0,0,,0,0,100,100,156,2521,3927
Corn,bushels,3.75,,0.05,173,995,41212,32570,,,612,200,16142,,29656,121387,13156,550,7687,4400,,,3500,3500,,,2891,8400,8800,900,,40628,4403,,,,,,1600,1600,173,,0,0,,0,0,8500,8500,921,172115,18653
Cotton,bags,2.04,,6,173,,,,,,,,,,,0,0,,,,,,,,,,1,,,,,1,7,,,,,,18,18,127,,0,0,,0,0,,0,0,19,134
Deer Skins,bundles,,,,173,,,,,,,,,,,0,0,,,,,,,,,,4,,,,,4,0,,,,,,,0,0,,0,0,,0,0,,0,0,4,0
Deer Skins,hhds,,,,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,1,1,0,,0,0,,0,0,,0,0,1,0
Flaxseed,hhds,9.09,,,173,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,2,0,,,,,,,0,0,,0,0,,0,0,,0,0,2,0
Flour,kegs,16.94,,0.044642857,173,,,,18,,,,,,,18,8,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,,0,0,18,8
Flour,barrels,16.94,,0.089285714,173,,279,180,50,5,620,30,57,,1295,2516,2200,19,211,,170,,,,14,,,,,,550,964,843,,,,,,,0,0,,0,0,,0,0,254,254,222,3734,3265
Handspikes,,,,,173,30,,,,,,,,,,30,0,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,,0,0,30,0
Hoops,,,,,173,5000,,1000,,,,,,7600,,13600,0,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,,0,0,13600,0
Indigo,tierces,7.84,,,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,1,,,,1,0,,0,0,,0,0,,0,0,1,0
Indigo,casks,7.84,,,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,4,4,0,,0,0,,0,0,,0,0,4,0
Indigo,barrels,7.84,,,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,4,,,,4,0,,0,0,,0,0,,0,0,4,0
Iron,tons,9,,1,173,,,,,,,,,,,0,0,,,,,,,,,1,,,,,,1,5,,,,,,,0,0,,0,0,,0,0,,0,0,1,5
Lumber,,,,,173,22000,463799,678250,,,286900,87300,123200,74900,254640,1990989,0,,28000,,,,,1000,,,,4500,3000,,,36500,0,34000,,42000,2000,20000,68900,166900,0,41740,41740,0,,0,0,8000,8000,0,2244129,0
Molasses,hhds,1.99,,5,173,,,,,,,,,,,0,0,,,,,41,,,2,,,,,,,43,247,,,,,,,0,0,,0,0,,0,0,,0,0,43,247
Negroes,,34.74,,1,100,,2,,,,,,,,,2,69,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,,0,0,2,69
Oats,bushels,3.75,,0.05,173,,1843,,,,,,215,,200,2258,245,106,,450,,,,,,,70,,,,,626,68,,,,,,,0,0,,0,0,,0,0,,0,0,2884,313
Peas,bushels,3.75,,0.05,173,,2463,350,,,,,400,,1415,4628,502,,107,200,,,30,,,,2150,180,,300,,2967,322,,,,,,,0,0,,0,0,,0,0,2250,2250,244,9845,1068
Pig iron,tons,9,,1,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,25,,,,,,25,130,,0,0,,0,0,,0,0,25,130
Pitch and turpentine,barrels,14.245,,0.05,173,,55,110,,,202,,,,48,415,171,,,41,,,366,,,,,,,,,407,168,659,853,650,80,35,69,2346,966,,0,0,,0,0,,0,0,3168,1305
Plank,feet,10.912,,0.0005,173,,142426,127449,18000,13000,102000,3335,4700,,164444,575354,1815,49490,19700,,,,,,,,,,,,,69190,218,6145,,22000,800,,6400,35345,111,,0,0,,0,0,26000,26000,82,705889,2226
Plank,pieces,10.912,,0.005,173,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,3,0,130,,,,,,130,4,,0,0,,0,0,,0,0,133,4
Planks,,10.912,,0.005,173,,,,,,34,,,,,34,1,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,,0,0,34,1
Pork,hhds,86.95,,0.1,173,,,2,,,,,,,,2,10,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,,0,0,2,10
Pork,barrels,86.95,,0.05,173,100,747,920,,11,571,132,256,,467,3204,8052,249,446,,,,,10,20,,,48,5,4,,782,1965,,,,,,,0,0,,0,0,,0,0,,0,0,3986,10017
Potatoes,bushels,,,,173,,,,,,,,,,,0,0,,,,,,486,,,,,,,,,486,0,,,,,,,0,0,,0,0,,0,0,,0,0,486,0
Rum,tierces,3.72,,3.05,173,,,,,,,,,,,0,0,,,,,,,,,,8,,,,,8,52,,,,,,,0,0,,0,0,,0,0,,0,0,8,52
Rum,hhds,3.72,,5,173,,,,,,,,,,,0,0,,,2,,,,2,17,2,62,,,,,85,914,,,,,,,0,0,,0,0,,0,0,,0,0,85,914
Salt,bushels,2.21,,0.05,173,,,,,,,,,,,0,0,,,2,,,,,,200,,,,,,202,13,,,,,,,0,0,,0,0,,0,0,,0,0,202,13
Shingles,,,,,173,,284100,199000,,33000,213500,,117000,,472800,1319400,0,30000,,,,,,,1800,,3000,,,,,34800,0,39250,,36000,67000,,8500,150750,0,,0,0,,0,0,17000,17000,0,1521950,0
Staves and shingles,,,,,173,,280150,235700,63600,,,,85000,,101000,765450,0,,,,,,,,,,,,,,,0,0,,16420,,9000,,17000,42420,0,,0,0,,0,0,5000,5000,0,812870,0
Sugar,boxes,49.79,,,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,25,25,0,,0,0,25,0
Sugar,barrels,49.79,,0.15,173,,,,,,,,,,,0,0,,,,,,,,17,,14,,,,,31,134,,,,,,,0,0,,0,0,47,47,203,,0,0,78,337
Sugar,tierces,49.79,,0.489285714,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,31,31,437,,0,0,31,437
Sugar,hhds,49.79,,0.632142857,173,,,,,,,,,,,0,0,,,,,,,,,,24,,,,,24,437,,,,,,,0,0,,0,0,136,136,2474,,0,0,160,2911
Tar,barrels,10.04,,0.05,173,,18,114,6,,163,,,,90,391,113,,,40,,,260,,8,,,,,,,308,89,2386,1120,,3925,311,1453,9195,2668,,0,0,,0,0,,0,0,9894,2870
"Tar, pitch, and turpentine",barrels,12.26,,0.05,173,,40,,,,269,,35,,20,364,129,,9,,,,,,,,,35,20,,,64,23,,,1895,,,1551,3446,1221,,0,0,,0,0,,0,0,3874,1373
Tobacco,hhds,19.48,,0.561,173,,11,83,,,,,,,2,96,606,,,,1,,6,,,,5,,,,,12,76,948,,276,279,297,1217,3017,19058,,0,0,,0,0,,0,0,3125,19740
Walnut logs,,,,,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,4,,,4,0,,0,0,,0,0,,0,0,4,0
Wheat,bushels,6.06,,0.05,173,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,2000,2000,350,2000,350
Wine,quarter casks,49.34,,0.25,173,,,,,,,,,,,0,0,8,,,,,,,,,,,,,,8,57,,,,,,,0,0,,0,0,,0,0,,0,0,8,57
Wine,hhds,49.34,,0.5,173,,,,,,,,,,,0,0,3,,,,,,,,,,,,,,3,43,,,,,,,0,0,,0,0,,0,0,,0,0,3,43
Wine,barrels,49.34,,0.25,173,,,,,,1,,,,,1,7,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,,0,0,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,30005,,,,,,,,,,,,,,,,11388,,,,,,,,24458,,,0,,,3114,,,2003,,70968
