Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Curacao,Jamaica,Montserrat,Nevis,St. Christophers,St. Croix,Tortola,WI,,Bermuda,Boston,New England,New York,North Carolina,Philadelphia,Providence,Rhode Island,South Carolina,NA,,London,Falmouth,Hull,Lancaster,Liverpool,Whitehaven,Dumfries,Glasgow,Kircudbright,GB,,Africa,AFR,,Alicant,Lisbon,Madeira,SEU,,TOTAL,
,,1752,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,51.01,,0.05,166.85,113,188,51,231.5,,,,12,,595.5,910,,,,,,,,3,,3,5,,,,,,,,,,0,0,,0,0,,,,0,0,598.5,915
Beeswax,barrels,,,,166.85,,1,,,,,,,,1,0,,,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,,17,17,0,18,0
Beeswax,casks,,,,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,2,12,14,0,14,0
Beeswax,tons,,,,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,3,,,,,3,0,,0,0,,,,0,0,3,0
Beeswax,kegs,,,,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,2,,2,0,2,0
Beeswax,pounds,,,,166.85,,,,,,,,,,0,0,,,,100,,,,,,100,0,,,,,,,,,,0,0,,0,0,,,696,696,0,796,0
Bread,pounds,21.94,,0.000446429,166.85,,,,,,,,,,0,0,,,,,,,,,4000,4000,23,,,,,,,,,,0,0,,0,0,,,3000,3000,18,7000,41
Bread,M pounds,21.94,,0.446428571,166.85,4,,,,,,,,,4,23,,,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,4,23
Bread,hhds,21.94,,0.178571429,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,0,0,2,2,5,,,,0,0,2,5
Bread,barrels,21.94,,0.089285714,166.85,20,4,,6,,52,53,,,135,158,,,,,,,25,,,25,29,,,,,,,,,,0,0,3,3,4,,,,0,0,163,191
Corn,bushels,2.56,,0.05,166.85,4090,51639.5,1300,5235,800,1344,29511,,1300,95219.5,7305,9580,4400,900,2705,,,500,5350,16250,39685,3044,,,,,,,,,,0,0,,0,0,10534,2670,16328,29532,2266,164436.5,12615
Deer Skins,,,,,166.85,,,,,,,,,,0,0,,,,,,,,67,,67,0,,,780,,,,,,,780,0,,0,0,,,,0,0,847,0
Deer Skins,bundles,,,,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,,,145,,,,,,,145,0,,0,0,,,,0,0,145,0
Flour,barrels,13.13,,0.089285714,166.85,180,40,,56,,113,518,,,907,637,,,,,,,25,,74,99,70,,,,,,,,,,0,0,,0,0,,,20,20,14,1026,721
Handspikes,,,,,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,60,,,,,,,,,60,0,,0,0,,,,0,0,60,0
Hoops,,,,,166.85,,3950,,,,,100,,,4050,0,,,,,,,,,,0,0,,,,,,,,220,,220,0,,0,0,,,,0,0,4270,0
Iron,bars,,,,166.85,,,,,,,,,,0,0,,,,,33,,,,,33,0,,,,,,,,,,0,0,,0,0,,,,0,0,33,0
Molasses,hhds,1.94,,5,166.85,,,,,,,,,,0,0,,,,,,1,,,,1,6,,,,,,,,,,0,0,,0,0,,,,0,0,1,6
Oats,hhds,2.56,,0.35,166.85,,6,,,,,,,,6,3,,,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,6,3
Peas,bushels,2.56,,0.05,166.85,1192,120,,59,,51,85,,,1507,116,69,,10,,,,,10,383,472,36,,,,,,,,,,0,0,,0,0,,,132,132,10,2111,162
Peas,hhds,2.56,,0.35,166.85,,,,10,,,,,,10,5,,,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,10,5
Pitch,barrels,20.06,,0.05,166.85,12,28,,8,,,,,,48,29,,,,60,,,,,,60,36,,147,159,,,100,12,177,,595,358,,0,0,,,,0,0,703,423
Plank,pieces,5.112,,0.005,166.85,,160,,187,,,258,,,605,9,,,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,605,9
Plank,feet,5.112,,0.0005,166.85,28123,18000,,,,,159500,3000,1000,209623,321,2131,,,,,,,,,2131,3,1000,2000,,,,,150,430,,3580,5,,0,0,,,3000,3000,5,218334,334
Planks,,5.112,,0.005,166.85,,,,172,,,,,,172,3,,,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,172,3
Pork,barrels,72.35,,0.05,166.85,402,1897.5,58,509,,20,213,12,,3111.5,6746,153,11,20,23,,,,158,40,405,878,,,,,,,,,,0,0,5,5,11,11,,7,18,39,3539.5,7674
Pork,casks,72.35,,0.05,166.85,1,,,,,,,,,1,2,,,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,,,0,0,1,2
Potatoes,bushels,,,,166.85,,,,,,,,,,0,0,,,,300,,,,,,300,0,,,,,,,,,,0,0,,0,0,,,,0,0,300,0
Rum,hhds,3.22,,5,166.85,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,0,0,21,21,203,,,,0,0,21,203
Salt,bushels,1.395,,0.05,166.85,,,,,,,,,,0,0,,,,,1400,,,,,1400,59,,,,,,,,,,0,0,,0,0,,,,0,0,1400,59
Shingles,,,,,166.85,367319,746450,,163500,80000,16000,603000,10000,65000,2051269,0,7000,10000,,,,,14000,,14700,45700,0,,,,,,,,,,0,0,,0,0,,,,0,0,2096969,0
