Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Curacao,Jamaica,Spanish Town,St. Christophers,WI,,Bermuda,Boston,North Carolina,Philadelphia,Piscataqua,NA,,London,Hull,Liverpool,Whitehaven,Ayr,Dumfries,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1744,,,,,,,,,,Quantity,Value,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,41.94,,0.05,166.67,365,388,,304,30,137,1224,1540,17,,,,,17,21,,,,,,,,0,0,,0,0,1241,1561
Beeswax,pounds,,,,166.67,,,,,,,0,0,,,,200,,200,0,,,,,,,,0,0,,0,0,200,0
Beeswax,barrels,,,,166.67,,,,,,,0,0,,,,,,0,0,,,,,,,,0,0,7,7,0,7,0
Beeswax,hhds,,,,166.67,,,,,,,0,0,,,,,,0,0,,,,,,,,0,0,6,6,0,6,0
Beeswax,tierces,,,,166.67,,,,,,,0,0,,,,,,0,0,,,,,,,,0,0,4,4,0,4,0
Bread,tierces,13.32,,,166.67,,36,,,,,36,0,,,,,,0,0,,,,,,,,0,0,,0,0,36,0
Bread,pounds,13.32,,0.000446429,166.67,,2000,,,,,2000,7,,,,,,0,0,,,,,,,,0,0,,0,0,2000,7
Bread,barrels,13.32,,,166.67,166,153,,,,,319,0,6,,,,,6,0,,,,,,,,0,0,,0,0,325,0
Corn,bushels,1.53,,0.05,166.67,2400,30889,550,3904,,7147,44890,2060,55350,20000,,2000,700,78050,3582,,,,,,,,0,0,4375,4375,201,127315,5843
Deer Skin,casks,,,,166.67,,,,,,,0,0,,,,,,0,0,3,,,,,,,3,0,,0,0,3,0
Deer Skins,hhds,,,,166.67,,,,,,,0,0,,,,,,0,0,28,,,,,,,28,0,,0,0,28,0
Deer Skins,,,,,166.67,,,,,,,0,0,,,,,,0,0,,374,,,,,,374,0,,0,0,374,0
Deer Skins,bundles,,,,166.67,,,,,,,0,0,,,,,,0,0,1,,,,,,,1,0,,0,0,1,0
Heading,,2.96,,0.001,166.67,8300,15643,,,,3545,27488,49,,,,,,0,0,,,,,,,,0,0,,0,0,27488,49
Oats,bushels,1.53,,0.05,166.67,,,,,,120,120,6,,,,,,0,0,,,,,,,,0,0,,0,0,120,6
Peas,bushels,1.53,,0.05,166.67,550,4295,,622,,959,6426,295,945,,,,25,970,45,,,,,,,,0,0,390,390,18,7786,358
Pitch,barrels,13.9,,0.05,166.67,,30,,,,15,45,19,36,75,,,25,136,57,,,,,,,94,94,39,,0,0,275,115
Plank,feet,3.552,,0.0005,166.67,5500,,,,,2000,7500,8,14971,,,,,14971,16,1000,,110,380,,,1000,2490,3,,0,0,24961,27
Plank,pieces,3.552,,0.005,166.67,,,,,,128,128,1,31,,,,,31,0,,,,,,,,0,0,,0,0,159,1
Planks,,3.552,,0.005,166.67,,,,,,,0,0,,,,,,0,0,,68,,,,,,68,1,,0,0,68,1
Pork,casks,60.49,,0.05,166.67,1,,,,,,1,2,,,,,,0,0,,,,,,,,0,0,,0,0,1,2
Pork,hhds,60.49,,0.1,166.67,,7,,,,,7,25,,,,,,0,0,,,,,,,,0,0,,0,0,7,25
Pork,barrels,60.49,,0.05,166.67,508,4528,100,522,100,811,6569,11921,533,40,,25,15,613,1112,,,,,,,,0,0,15,15,27,7197,13060
Potatoes,bushels,,,,166.67,,,,,,,0,0,,,,10,,10,0,,,,,,,,0,0,,0,0,10,0
Rice,barrels,11.03,,,166.67,,,,,,,0,0,,20,,,,20,0,,,,,,,,0,0,,0,0,20,0
Salt,bushels,2.13,,0.05,166.67,,,,,,,0,0,,,452,,,452,29,,,,,,,,0,0,,0,0,452,29
Shingles,,,,,166.67,224650,718590,1000,145000,10000,496100,1595340,0,166200,,,,,166200,0,,,,,,,,0,0,,0,0,1761540,0
Staves,,2.96,,0.001,166.67,23000,48909,,,,34550,106459,189,2000,2960,,,,4960,9,15000,10355,24130,23300,1000,,14000,87785,156,,0,0,199204,354
Tar,barrels,10.92,,0.05,166.67,,30,,,,64,94,31,51,2307,,50,390,2798,917,1987,2578,4489,1625,,,618,11297,3701,,0,0,14189,4649
Tobacco,hhds,12.65,,0.483,166.67,,,,,,,0,0,,,,,,0,0,304,,62,186,232,123,380,1287,4718,,0,0,1287,4718
Tobacco,barrels,12.65,,0.2415,166.67,,,,,,,0,0,,,,,,0,0,,,,969,,,,969,1776,,0,0,969,1776
Turpentine,barrels,10.98,,0.05,166.67,,24,,,,43,67,22,22,146,,,,168,55,290,96,,,,,6,392,129,,0,0,627,206
Wheat,bushels,2.49,,0.05,166.67,,,,,,,0,0,,804,,,,804,60,,,,,,,,0,0,,0,0,804,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,16175,,,,,,,5903,,,,,,,,,10523,,,246,,32847
