Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Curacao,Dominico,Granada,Havanna,Jamaica,Montserrat,Nevis,St. Eustatia,St. Kitts,Tortola,WI,,New Providence,Bermuda,Boston,Falmouth,New England,New York,Newbury,Newfoundland,North Carolina,Pensacola,Philadelphia,Piscataqua,Providence,Rhode Island,Salem,South Carolina,NA,,Plymouth,London,Hull,Liverpool,Whitehaven,Glasgow,Greenock,Leith,GB,,Cork,IRE,,Barcelona,Cadiz,Gibraltar,Lisbon,Madeira,Oporto,SEU,,Senegal,AFR,,TOTAL,
,,1765,,,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,58.75,,0.05,169.9,,31,,31,,6,75,30,,,,,,173,299,,,,,,,,,,30,,,,,,,30,52,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,203,351
Beeswax,pounds,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,70,260,,,330,0,,0,0,330,0
Beeswax,casks,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,1,,,,,1,0,,0,0,,,,,1,,1,0,,0,0,2,0
Beeswax,barrels,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,2,,,,,,,,,,,2,0,,,,3,,,,,3,0,,0,0,,,,,,,0,0,,0,0,5,0
Beeswax,boxes,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,1,,,,,,1,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,1,0
Beeswax,hhds,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,5,,,,,5,0,,0,0,,,,,,,0,0,,0,0,5,0
Biscuits,kegs,13.88,,0.044642857,169.9,,,,,,,,,,,,90,,90,33,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,90,33
Bread,pounds,24.92,,0.000446429,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,400,,,400,3,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,400,3
Bread,tierces,24.92,,0.011875,169.9,,,,,,,,,,,,,,0,0,,,,,,,,19,,,,,,,,,19,3,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,19,3
Bread,casks,24.92,,0.089285714,169.9,,36,,,,,,,,,,,,36,47,,,,,,,,,,,,,,3,,,3,4,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,39,51
Bread,kegs,24.92,,0.044642857,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,59,59,39,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,59,39
Bread,barrels,24.92,,0.089285714,169.9,,190,401,113,,194,,584,,91,23,50,,1646,2156,,56,,,,50,,,,40,,,12,,,76,234,306,,,,,,,,,0,0,,0,0,25,,20,,250,,295,386,50,50,65,2225,2913
Cheese,hampers,,,,169.9,,,56,,,,,,,,,,,56,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,56,0
Coffee,bags,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,2,,,,,,,,2,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,2,0
Coffee,hhds,,,,169.9,,,,,,,,,,,,,,0,0,,,,,,,,,1,,,,,,,,1,0,,,,,,,,,0,0,,0,0,,,,,,,0,0,,0,0,1,0
