Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,St. Christophers,Surinam,WI,,Bermuda,Boston,New England,New Hampshire,Philadelphia,Rhode Island,NA,,London,Bideford,Bristol,Fowey,Liverpool,Whitehaven,Ayr,GB,,Lisbon,Madeira,SEU,,TOTAL,
,,1731,,,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.65,,0.05,153.28,,,,,,,,0,0,,,,10,,,10,1,,,,,,,,0,0,140,,140,8,150,9
Beef,barrels,36.31,,0.05,153.28,100,,119,270,,10,,499,591,5,,,,,,5,6,,,,,,,,0,0,,,0,0,504,597
Beeswax,pounds,,,,153.28,,,,,,,,0,0,,,,,,,0,0,,,,,,,,0,0,16,1560,1576,0,1576,0
Bread,hhds,11.72,,0.178571429,153.28,,,24,,,,97,121,165,,,,,,,0,0,,,,,,,,0,0,,,0,0,121,165
Bread,tierces,11.72,,0.11875,153.28,,,,,,,10,10,9,,,,,,,0,0,,,,,,,,0,0,,,0,0,10,9
Bread,bags,11.72,,0.044642857,153.28,,,100,,,,,100,34,,,,,,,0,0,,,,,,,,0,0,,,0,0,100,34
Cheese,pounds,,,,153.28,,,,,,,,0,0,,450,,,,,450,0,,,,,,,,0,0,,,0,0,450,0
Corn,bushels,1.65,,0.05,153.28,60,3120,16597,21173,,700,170,41820,2251,21100,1525,500,1000,,1269,25394,1367,,,,,,,,0,0,200,900,1100,59,68314,3677
Flour,barrels,8.02,,0.089285714,153.28,,10,22,3,,,148,183,85,,,,,,,0,0,,,,,,,,0,0,,,0,0,183,85
Heading,,2.25,,0.001,153.28,,,,,,,,0,0,,,,,,600.5,600.5,1,,,,,,,,0,0,,,0,0,600.5,1
Heading and staves,,2.25,,0.001,153.28,,,2000,,,,,2000,3,,,,,,,0,0,,,,,,,,0,0,,,0,0,2000,3
Iron,tons,,,,153.28,,,,,,,,0,0,,,,,,,0,0,,,36,,,,,36,0,,,0,0,36,0
Peas,bushels,1.65,,0.05,153.28,20,157,743,816,80,280,287,2383,128,370,60,,,,117,547,29,,,,,,,,0,0,,,0,0,2930,157
Pitch,barrels,14.31,,0.05,153.28,,,36,217,,50,,303,141,,,,,33,,33,15,,,40,,,,60,100,47,,,0,0,436,203
Plank,feet,3.6,,0.0005,153.28,,,,,,,,0,0,,,,,,5521,5521,6,,,,,,,,0,0,,,0,0,5521,6
Planks,,3.6,,0.005,153.28,,,,,,,,0,0,,,,,,,0,0,,,,,30,,,30,0,,,0,0,30,0
Pork,tierces,55.97,,0.0665,153.28,,,,7,,,,7,17,,,,,,,0,0,,,,,,,,0,0,,,0,0,7,17
Pork,barrels,55.97,,0.05,153.28,19,292,2449,1718,56,4,100,4638,8468,369,49,32,150,,1,601,1097,,,,,,,,0,0,,,0,0,5239,9565
Pork,hhds,55.97,,0.1,153.28,,,,4,,,,4,15,,,,,,,0,0,,,,,,,,0,0,,,0,0,4,15
Pork,pounds,55.97,,0.00025,153.28,,600,,,,,,600,5,,,,,,,0,0,,,,,,,,0,0,,,0,0,600,5
Shingles,,,,,153.28,,,6000,,,,,6000,0,,,,,,2000,2000,0,,,,,,,,0,0,,,0,0,8000,0
Skins,hhds,,,,153.28,,,,,,,,0,0,,,,,,,0,0,8,,,,,,,8,0,,,0,0,8,0
Staves (hhds),,2.25,,0.001,153.28,,,,,,,,0,0,,,,,,,0,0,,,,,,,,0,0,,7000,7000,10,7000,10
Staves (pipes),,3,,0.001,153.28,,,,,,,,0,0,,,,,,,0,0,,,,,,,,0,0,,400,400,1,400,1
Tar,barrels,11.1,,0.05,153.28,,12,100,138,,,,250,91,15,1777,50,,775,,2617,948,10,,500,,4170,,549,5229,1893,,,0,0,8096,2932
Tea,casks,,,,153.28,,,,,,,,0,0,,,,,,,0,0,5,,,,,,,5,0,,,0,0,5,0
Tobacco,hhds,13.45,,0.4015,153.28,,7,30,,,2,,39,137,,,,,,,0,0,1893,205,10,124,220,22,2,2476,8723,,,0,0,2515,8860
Turpentine,barrels,22.72,,0.05,153.28,,,3,,,20,,23,17,,,,,29,,29,21,,,,,,,,0,0,,,0,0,52,38
Wheat,bushels,2.47,,0.05,153.28,,,,,,,,0,0,,90,,54,,,144,12,,,,,,,,0,0,4010,10808,14818,1194,14962,1206
Wine,quarter casks,20.5,,0.25,153.28,,,,,,,,0,0,,20,,,,,20,67,,,,,,,,0,0,,,0,0,20,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VALUES PER REGION,,,,,,,,,,,,,,12157,,,,,,,,3570,,,,,,,,,10663,,,,1272,,27662
