Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Curacao,Jamaica,Montserrat,St. Christophers,WI,,Bermuda,New York,Newfoundland,North Carolina,Philadelphia,Piscataqua,Providence,Rhode Island,South Carolina,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Glasgow,Greenock,GB,,Madeira,SEU,,TOTAL,
,,1749,,,,,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.63,,0.05,171.39,,,,,,,,0,0,,,,,,184,,,,184,14,,,,,,,,,0,0,250,250,19,434,33
Beef,barrels,37.31,,0.05,171.39,,34,2,,,,63,99,108,,,,,,,,,,0,0,,,,,,,,,0,0,114,114,124,213,232
Beeswax,pounds,,,,171.39,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,0,0,6964,6964,0,6964,0
Bread,tierces,26.3,,0.11875,171.39,,,,,,,7,7,13,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,7,13
Corn,bushels,2.63,,0.05,171.39,5485,26353.5,29134,4357,8700,621,14447.5,89098,6836,9960,,705,,490,2200,700,,300,14355,1101,,,,,,,,,0,0,18234,18234,1399,121687,9336
Deer Skins,hhds,,,,171.39,,,,,,,,0,0,,,,,,,,,,0,0,,1,,5,,,,,6,0,,0,0,6,0
Flour,barrels,16.59,,0.089285714,171.39,,7,,,,,,7,6,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,7,6
Heading,,5.25,,0.001,171.39,1500,7699,11460,,1399,1200,18020,41278,126,1400,,,,,,,,,1400,4,,,,,,,,,0,0,,0,0,42678,130
Hoops,,,,,171.39,,10285,8300,,,1000,57190,76775,0,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,76775,0
Iron,tons,8.56,,1,171.39,,,,,,,,0,0,,,,,,,,,,0,0,,,,,10.5,,,,10.5,52,,0,0,10.5,52
Molasses,barrels,2.08,,1.45,171.39,,,,,,,,0,0,,,,3,,,,,,3,5,,,,,,,,,0,0,,0,0,3,5
Oats,hhds,2.63,,0.35,171.39,4,,,,,,,4,2,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,4,2
Oats,bushels,2.63,,0.05,171.39,,159,,,,,,159,12,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,159,12
Peas,bushels,2.63,,0.05,171.39,,1957.5,1030,,70,,760,3817.5,293,350,,,,,200,,,,550,42,,,,,,,,,0,0,203,203,16,4570.5,351
