,year,origin,origin_lat,origin_long,dest,dest_lat,dest_long,mag
1,1725,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,492.0
2,1725,ACCOCL,37.3063,-75.8069,GB,50.336431,-4.171482,1612.0
7,1726,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,126.0
8,1726,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,787.0
9,1726,ACCOCL,37.3063,-75.8069,GB,50.336431,-4.171482,1305.0
14,1727,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,251.0
15,1727,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1081.0
16,1727,ACCOCL,37.3063,-75.8069,GB,50.336431,-4.171482,998.0
19,1727,ACCOCL,37.3063,-75.8069,SEU,36.07881,-5.423534,145.0
21,1728,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,254.0
22,1728,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1277.0
23,1728,ACCOCL,37.3063,-75.8069,GB,50.336431,-4.171482,665.0
28,1729,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,258.0
29,1729,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1472.0
30,1729,ACCOCL,37.3063,-75.8069,GB,50.336431,-4.171482,333.0
35,1730,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,261.0
36,1730,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1668.0
40,1730,ACCOCL,37.3063,-75.8069,SEU,36.07881,-5.423534,204.0
42,1731,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,107.0
43,1731,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1434.0
49,1732,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,58.0
50,1732,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,3367.0
56,1733,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,198.0
57,1733,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1601.0
58,1733,ACCOCL,37.3063,-75.8069,GB,50.336431,-4.171482,653.0
63,1734,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,43.0
64,1734,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,2040.0
68,1734,ACCOCL,37.3063,-75.8069,SEU,36.07881,-5.423534,223.0
71,1735,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1993.0
78,1736,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1945.0
85,1737,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1898.0
92,1738,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1851.0
99,1739,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1803.0
106,1740,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1756.0
113,1741,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1709.0
120,1742,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1661.0
127,1743,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1614.0
134,1744,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1567.0
141,1745,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1519.0
148,1746,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,1472.0
155,1747,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,2011.0
162,1748,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,2550.0
168,1749,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,841.0
169,1749,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,3089.0
175,1750,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1156.0
176,1750,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,3072.0
182,1751,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1471.0
183,1751,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,3055.0
189,1752,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1786.0
190,1752,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,3038.0
196,1753,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1763.0
197,1753,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,3576.0
203,1754,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1739.0
204,1754,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,4115.0
210,1755,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1716.0
211,1755,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,4653.0
217,1756,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1692.0
218,1756,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,5192.0
224,1757,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1669.0
225,1757,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,5730.0
231,1758,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1645.0
232,1758,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,6269.0
238,1759,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1622.0
239,1759,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,6807.0
245,1760,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,974.0
246,1760,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,4552.0
252,1761,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,348.0
253,1761,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,5131.0
257,1761,ACCOCL,37.3063,-75.8069,SEU,36.07881,-5.423534,101.0
259,1762,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,768.0
260,1762,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,12716.0
266,1763,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1029.0
267,1763,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,13605.0
273,1764,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1289.0
274,1764,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,14495.0
280,1765,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1550.0
281,1765,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,15384.0
282,1765,ACCOCL,37.3063,-75.8069,GB,50.336431,-4.171482,31.0
285,1765,ACCOCL,37.3063,-75.8069,SEU,36.07881,-5.423534,310.0
287,1766,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,2184.0
288,1766,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,6507.0
294,1767,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1777.0
295,1767,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,6256.0
301,1768,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,1370.0
302,1768,ACCOCL,37.3063,-75.8069,NA,37.010304,-75.992569,6005.0
306,1768,ACCOCL,37.3063,-75.8069,SEU,36.07881,-5.423534,752.0
308,1769,ACCOCL,37.3063,-75.8069,WI,18.454682,-66.568537,3962.0
