Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Curacao,Jamaica,WI,,Turks Island,Bermuda,Boston,North Carolina,Providence,Rhode Island,NA,,London,Liverpool,GB,,Cape Verde,Fyall,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1727,,,,Sterling,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,32,,0.05,149.58,1.069661719,,,,,,0,0,,,,1,,,1,1,,,0,0,,,,0,0,,0,0,1,1
Beeswax,pounds,,,,149.58,0,,,,,,0,0,,,,11200,,,11200,0,,,0,0,,,,0,0,,0,0,11200,0
Cheese,pounds,,,,149.58,0,,,,,,0,0,,,300,,,,300,0,,600,600,0,,,,0,0,,0,0,900,0
Convicts,,8.698181818,,1,100,8.698181818,,,,,,0,0,,,,,,,0,0,80,,80,696,,,,0,0,,0,0,80,696
Cotton,bags,,,6,149.58,0,,2,3,,,5,0,,1,,,,,1,0,,,0,0,,,,0,0,,0,0,6,0
Deer Skin,,,,,149.58,0,,,,,,0,0,,,,16,,,16,0,,,0,0,,,,0,0,,0,0,16,0
Ginger,bags,,,,149.58,0,,,8,,,8,0,,,,,,,0,0,,,0,0,,,,0,0,,0,0,8,0
Indigo,kegs,,,,149.58,0,,,,,,0,0,,,1,,,,1,0,,,0,0,,,,0,0,,0,0,1,0
Indigo,pounds,,,,149.58,0,,,,,,0,0,,200,,,,,200,0,,,0,0,,,,0,0,,0,0,200,0
Molasses,gallons,1.46,,0.05,149.58,0.048803316,,4630,7120,,980,12730,621,200,1020,4000,,,,5220,255,,,0,0,,,,0,0,,0,0,17950,876
Negroes,,23.92,,1,100,23.92,,,,,8,8,191,,,,,,,0,0,,,0,0,,,,0,0,,0,0,8,191
Peas,bushels,2.02,,0.05,149.58,0.067522396,,,,,,0,0,,,,20,,,20,1,,,0,0,,,,0,0,,0,0,20,1
Pitch,barrels,18.4,,0.05,149.58,0.615055489,,,,,,0,0,,,,5,,,5,3,,,0,0,,,,0,0,,0,0,5,3
Plank,feet,3.6,,0.0005,149.58,0.001203369,,,,,,0,0,,,,,600,,600,1,,,0,0,,,,0,0,,0,0,600,1
Pork,barrels,47.79,,0.05,149.58,1.597472924,,,,,,0,0,,,,133,,,133,212,,,0,0,,,,0,0,,0,0,133,212
Rum,gallons,2.87,,0.05,149.58,0.095935285,,3580,38239,,330,42149,4044,230,3445,11660,700,,300,16335,1567,,,0,0,,,,0,0,,0,0,58484,5611
Salt,bushels,2.07,,0.05,149.58,0.069193742,450,,1200,,700,2350,163,6400,11380,800,,2300,400,21280,1472,,361,361,25,1000,,,1000,69,1500,1500,104,26491,1833
Sugar,hhds,32.63,,0.583035714,149.58,12.71858227,,,5,,2,7,89,1,3,1,,,,5,64,,,0,0,,,,0,0,,0,0,12,153
Sugar,barrels,32.63,,0.175,149.58,3.817522396,,,267,,,267,1019,3,19,5,,,,27,103,,,0,0,,,,0,0,,0,0,294,1122
Sugar,tierces,32.63,,0.480803571,149.58,10.48844801,,,25,,,25,262,,3,,,,,3,31,,,0,0,,,,0,0,,0,0,28,293
Tar,barrels,14.13,,0.05,149.58,0.472322503,,,,,,0,0,,,,10,,,10,5,,,0,0,,,,0,0,,0,0,10,5
Tobacco,barrels,17.87,,0.197,149.58,2.353516513,,,,2,,2,5,,,,,,,0,0,,,0,0,,,,0,0,,0,0,2,5
Wine,pipes,20.5,,1,149.58,13.70504078,,,,,,0,0,,,7,,,,7,96,,,0,0,,20,54,74,1014,,0,0,81,1110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,6394,,,,,,,,3811,,,,721,,,,,1083,,,104,,12113
