Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Curacao,Jamaica,Montserrat,Nevis,St. Christophers,St. Eustatia,WI,,Turks Island,Bermuda,Boston,New England,New York,North Carolina,Perth Amboy,Philadelphia,Rhode Island,South Carolina,NA,,London,GB,,Isle of May,Madeira,SEU,,TOTAL,
,,1749,,,,Sterling,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,barrels,26.3,,0.089285714,171.39,1.370099939,,,,,,,,,,0,0,,,,,462,,,36.5,,,498.5,683,,0,0,,,0,0,498.5,683
Cheese,pounds,,,,171.39,0,,,,,,,,,,0,0,,,,950,2300,,600,,1950,,5800,0,,0,0,,,0,0,5800,0
Chocolate,boxes,,,,171.39,0,,,,,,,,,,0,0,,,,100,12,,,,,,112,0,,0,0,,,0,0,112,0
Coffee,barrels,,,,171.39,0,,,,,1,,,,,1,0,,,,,,,,,,,0,0,,0,0,,,0,0,1,0
Cotton,pounds,1.65,,0.05,171.39,0.048135831,420,,1046,,,,,1300,,2766,133,,40,,,,,,,,,40,2,,0,0,,,0,0,2806,135
Flour,barrels,16.59,,0.089285714,171.39,0.864256958,,,,,,,,,,0,0,,,,,26,,,20,,,46,40,,0,0,,,0,0,46,40
Ginger,pounds,,,,171.39,0,,,200,,,,,,,200,0,,,,,,,,,,,0,0,,0,0,,,0,0,200,0
Indigo,barrels,5.9,,,171.39,0,,,,,,1,,,,1,0,,,,,,,,,,,0,0,,0,0,,,0,0,1,0
Indigo,pounds,5.9,,0.05,171.39,0.172122061,,,,,,,,,,0,0,,30,,,,,,,,,30,5,,0,0,,,0,0,30,5
Iron,pounds,8.56,,0.000446429,171.39,0.002229668,,,,,,,,,,0,0,,,,500,,,,,,,500,1,,0,0,,,0,0,500,1
Molasses,gallons,2.08,,0.05,171.39,0.06068032,17800,240,870,,4641,,630,8850,4900,37931,2302,,510,,3700,3693,,900,600,600,,10003,607,,0,0,,,0,0,47934,2909
Negroes,,27.12,,1,100,27.12,1,,197,,6,1,,1,,206,5587,,,,,,,,,,,0,0,,0,0,,,0,0,206,5587
Pitch,barrels,15.41,,0.05,171.39,0.449559484,,9,,,,,,,,9,4,,,,,,,,,,,0,0,,0,0,,,0,0,9,4
Plank,feet,8.4,,0.0005,171.39,0.002450551,,,,,,,,156,,156,0,,,,30000,,200,,,,,30200,74,,0,0,,,0,0,30356,74
Rum,gallons,3.77,,0.05,171.39,0.10998308,10690,57519,91706,7450,11600,3220,450,41670,3400,227705,25044,240,15838.5,550,7700,2430,,205,100,1010,100,28173.5,3099,,0,0,,,0,0,255878.5,28143
Salt,bushels,2.345,,0.05,171.39,0.068411226,1746,400,11500,300,,,,2400,,16346,1118,6000,7100,800,620,2350,,,,,,16870,1154,,0,0,34000,,34000,2326,67216,4598
Sugar,casks,46.83,,0.15,171.39,4.098547173,,,,,,,,,,0,0,,,,2,,,,,,,2,8,,0,0,,,0,0,2,8
Sugar,pounds,46.83,,0.000446429,171.39,0.012198057,12950,14722,102657,,1200,1250,4000,15000,,151779,1851,,14200,500,750,,500,100,,,,16050,196,,0,0,,,0,0,167829,2047
Sugar,barrels,46.83,,0.15,171.39,4.098547173,,,,,,,,,,0,0,,,,,12,,,,,,12,49,,0,0,,,0,0,12,49
Turpentine,barrels,17.12,,0.05,171.39,0.499445709,,9,,,,,,,,9,4,,,,,,28,,,,,28,14,,0,0,,,0,0,37,18
Wine,gallons,28.77,,0.007936508,171.39,0.13322442,,560,2150,,,,,750,,3460,461,,,,100,,,,,,,100,13,6600,6600,879,,18075,18075,2408,28235,3761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,36504,,,,,,,,,,,,5945,,,879,,,,4734,,48062
