Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Nevis,St. Christopher,St. Eustatia,St. Lucia,Tortuga,WI,,Boston,North Carolina,NA,,Liverpool,Ayr,GB,,Guinea,AFR,,Madeira,SEU,,TOTAL,
,,1733,,,,Sterling,,,,,,,,,Quantity,Value,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,pounds,,,,166.94,0,,,,,,,,,0,0,,,0,0,,,0,0,3600,3600,0,,0,0,3600,0
Cotton,bags,0.97,,6,166.94,3.486282497,1,,5,,7,,8,,21,73,,,0,0,,,0,0,,0,0,,0,0,21,73
Ginger,bags,,,,166.94,0,,,21,,,,,,21,0,,,0,0,,,0,0,,0,0,,0,0,21,0
Molasses,tierces,1.39,,3.05,166.94,2.539535162,,,,,,,35,,35,89,,,0,0,,,0,0,,0,0,,0,0,35,89
Molasses,hhds,1.39,,5.05,166.94,4.204804121,10,,,,,1,20,,31,130,8,,8,34,,,0,0,,0,0,,0,0,39,164
Molasses,gallons,1.39,,0.05,166.94,0.041631724,1420,1750,7700,620,18920,80,,,30490,1269,1870,,1870,78,,,0,0,,0,0,,0,0,32360,1347
Negroes,,18.5,,1,100,18.5,,18,107,,12,,,,137,2535,,,0,0,,,0,0,56,56,1036,,0,0,193,3571
Pimento,casks,,,,166.94,0,,,2,,,,,,2,0,,,0,0,,,0,0,,0,0,,0,0,2,0
Pimento,barrels,,,,166.94,0,,,2,,,,,,2,0,,,0,0,,,0,0,,0,0,,0,0,2,0
Pimento,bags,,,,166.94,0,,,6,,,,,,6,0,,,0,0,,,0,0,,0,0,,0,0,6,0
Pork,barrels,47.54,,0.05,166.94,1.423864862,,,,,,,,,0,0,,126,126,179,,,0,0,,0,0,,0,0,126,179
Rum,barrels,2.3,,1.5,166.94,2.066610758,,11,,,,,,,11,23,,,0,0,,,0,0,,0,0,,0,0,11,23
Rum,gallons,2.3,,0.05,166.94,0.068887025,24700,89600,950,,4574,30,1932,,121786,8389,5672,,5672,391,,,0,0,,0,0,,0,0,127458,8780
Salt,bushels,2.36,,0.05,166.94,0.070684078,540,,,,1200,700,,1500,3940,278,1800,,1800,127,1400,1500,2900,205,,0,0,,0,0,8640,610
Sugar,hhds,28.94,,0.583035714,166.94,10.10725624,1,2,19,,,2,11,,35,354,,,0,0,,,0,0,,0,0,,0,0,35,354
Sugar,barrels,28.94,,0.175,166.94,3.033724692,205,318,77,50,116,,2,,768,2330,16,,16,49,,,0,0,,0,0,,0,0,784,2379
Sugar,tierces,28.94,,0.480803571,166.94,8.335003808,15,4,63,4,16,,,,102,850,,,0,0,,,0,0,,0,0,,0,0,102,850
Wine,barrels,20.5,,0.25,166.94,3.069965257,,,,,,,,,0,0,2,,2,6,,,0,0,,0,0,,0,0,2,6
Wine,pipes,20.5,,1,166.94,12.27986103,,,,,,,,,0,0,,,0,0,,,0,0,,0,0,182,182,2235,182,2235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,16320,,,,864,,,,205,,,1036,,,2235,,20660
