Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Tortola,WI,,Salt Islands,Saltiluda,Turks Island,Bermuda,Boston,Newport,North Carolina,Rhode Island,NA,,Isle of May,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1726,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.13,,0.05,144.46,0.07372283,,,,,,0,0,,,,,,,50,,50,4,,,0,#VALUE!,,0,0,50,#VALUE!
Beeswax,pounds,,,,144.46,0,,,,,,0,0,,,,,,,140,,140,0,,,0,0,,0,0,140,0
Cheese,pounds,,,,144.46,0,,,,,,0,0,,,,,1300,,,1500,2800,0,,,0,0,,0,0,2800,0
Chocolate,pounds,,,,144.46,0,,,,,,0,0,,,,,50,,,,50,0,,,0,0,,0,0,50,0
Cotton,pounds,,,0.05,144.46,0,900,,,,,900,0,,,,,,,,,0,0,,,0,0,,0,0,900,0
Cotton,bags,,,6,144.46,0,,19,16,,1,36,0,,,,1,,,,,1,0,,,0,0,,0,0,37,0
Cotton,cwt,,,5.6,144.46,0,,,,,,0,0,20,,,,,,,,20,0,,,0,0,,0,0,20,0
Indigo,boxes,,,,144.46,0,,1,,,,1,0,,,,,,,,,0,0,,,0,0,,0,0,1,0
Indigo,pounds,,,0.05,144.46,0,,,,,,0,0,,,,,50,,,,50,0,,,0,0,,0,0,50,0
Molasses,gallons,1.45,,0.05,144.46,0.050186903,,2410,5600,10170,,18180,912,,,,1610,4780,700,,3400,10490,526,,,0,0,2260,2260,113,30930,1551
Negroes,,23.92,,1,100,23.92,8,52,,21,,81,1938,,,,,,,,,0,0,,,0,0,,0,0,81,1938
Pepper,barrels,,,,144.46,0,,,,,,0,0,,,,,1,,,,1,0,,,0,0,,0,0,1,0
Pimento,bags,,,,144.46,0,,,1,5,,6,0,,,,,,,,,0,0,,,0,0,,0,0,6,0
Pork,barrels,39.29,,0.05,144.46,1.359892012,,,,,,0,0,,,,,,,310,,310,422,,,0,0,,0,0,310,422
Rum,gallons,3.19,,0.05,144.46,0.110411186,,8690,67735,2920,,79345,8761,310,,,2480,14000,,,3820,20610,2276,,,0,0,200,200,22,100155,11059
Salt,bushels,1.85,,0.05,144.46,0.064031566,1900,1570,,3430,,6900,442,4900,600,800,12100,2796,200,,,21396,1370,2000,,2000,0,,0,0,30296,1812
Spirits,kegs,3.19,,0.725,144.46,1.600962204,,,,,,0,0,,,,,,,,2,2,3,,,0,0,,0,0,2,3
Sugar,barrels,36.35,,0.175,144.46,4.403468088,,97,649,26,3,775,3413,5,,,47,32,13,,1,98,432,,,0,0,,0,0,873,3845
Sugar,hhds,36.35,,0.583035714,144.46,14.67073807,,,9,8,,17,249,,,,,1,,,,1,15,,,0,128,,0,0,18,392
Sugar,tierces,36.35,,0.480803571,144.46,12.09830391,,6,4,2,,12,145,,,,4,3,,,2,9,109,,,0,0,,0,0,21,254
Wine,hhds,20.5,,0.5,144.46,7.095389727,,,,,,0,0,,,,,3,,,,3,21,,,0,0,,0,0,3,21
Wine,pipes,20.5,,1,144.46,14.19077945,,,2,,,2,28,,,,3,8,,,,11,156,,117,117,0,,0,0,130,184
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,15888,,,,,,,,,,5334,,,,#VALUE!,,,135,,#VALUE!
