Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Nevis,St. Kitts,St. Martins,WI,,New Providence,Turks Island,Bermuda,Boston,Halifax,Louisbourg,New York,Philadelphia,Salem,NA,,Liverpool,GB,,Isle of May,Madeira,SEU,,TOTAL,
,,1758,,,,Sterling,,,,,,,,Quantity,Price,,,,,,,,,,Quantity,Price,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,48.18,,0.05,159,1.51509434,,40,,,,,,40,61,,,,,,,,,,0,0,,0,0,,,0,0,40,61
Coffee,bags,,,,159,0,,,,,,,,0,0,2,,,,,,,,,2,0,,0,0,,,0,0,2,0
Coffee,barrels,,,,159,0,,,,47,,,,47,0,,,4,,,,7,,,11,0,,0,0,,,0,0,58,0
Cotton,bags,1.4,,6,159,5.283018868,,,,2,,,,2,11,,,,,,,,,,0,0,,0,0,,,0,0,2,11
Flour,barrels,12.27,,0.089285714,159,0.689016173,,,,,,,,0,0,,,,,,67,,,,67,46,,0,0,,,0,0,67,46
Ginger,bags,,,,159,0,,,,74,,,,74,0,,,,,,,,,,0,0,,0,0,,,0,0,74,0
Indigo,pounds,9.38,,0.05,159,0.294968553,,,,,,,,0,0,427,,,,,,,,,427,126,,0,0,,,0,0,427,126
Loaf sugar,pounds,1.03,,0.05,159,0.032389937,,,,,,,,0,0,,,,,,,,,1000,1000,32,,0,0,,,0,0,1000,32
Loaf sugar,barrels,1.03,,6.25,159,4.048742138,,,,,,,,0,0,,,,3,,,50,,,53,215,,0,0,,,0,0,53,215
Molasses,hhds,2.51,,5.05,159,7.972012579,,6,24,63,68,74,,235,1873,,,,4,1,,6,,,11,88,,0,0,,,0,0,246,1961
Negroes,,35.61,,1,100,35.61,,26,9,,,,,35,1246,,,,,,,,,,0,0,,0,0,,,0,0,35,1246
Pig iron,tons,7.67,,1,159,4.823899371,,,,,,,,0,0,,,,,,,,8,,8,39,,0,0,,,0,0,8,39
Pimento,barrels,,,,159,0,,,,31,,,,31,0,,,,,,,,,,0,0,,0,0,,,0,0,31,0
Pimento,casks,,,,159,0,,,,18,,,,18,0,,,,,,,,,,0,0,,0,0,,,0,0,18,0
Plank,feet,8.96,,0.0005,159,0.00281761,,,,,,,,0,0,600,,,,,,,,,600,2,,0,0,,,0,0,600,2
Planks,,8.96,,0.005,159,0.028176101,,,,,,,,0,0,400,,,,,,,,,400,11,,0,0,,,0,0,400,11
Pork,barrels,59.49,,0.05,159,1.870754717,,,,,,,,0,0,,,,,,20,,,,20,37,,0,0,,,0,0,20,37
Rum,hhds,3.72,,5.25,159,12.28301887,8,399,934,18,121,42,,1522,18695,,,,20,2,,,6,,28,344,,0,0,,,0,0,1550,19039
Salt,bushels,2.385,,0.05,159,0.075,6000,5965,,,600,1200,11467,25232,1892,,2000,8700,,,,,,,10700,803,2200,2200,165,5000,,5000,375,43132,3235
Spirits,casks,3.72,,3.05,159,7.135849057,,,,,,,,0,0,,,,,,,2,,,2,14,,0,0,,,0,0,2,14
Sugar,pounds,47.7,,0.000446429,159,0.013392857,,,,,,,,0,0,,,2500,,,,,,,2500,33,,0,0,,,0,0,2500,33
Sugar,barrels,47.7,,0.15,159,4.5,4,110,460,130,60,24,,788,3546,14,,7,13,,44,132,9,,219,986,,0,0,,,0,0,1007,4532
Wine,quarter casks,41.77,,0.25,159,6.567610063,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,12,12,79,12,79
Wine,hhds,41.77,,0.5,159,13.13522013,,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,6,6,79,6,79
Wine,pipes,41.77,,1,159,26.27044025,,,,,,,,0,0,,,,,,,1,,,1,26,,0,0,,271.25,271.25,7126,272.25,7152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,27324,,,,,,,,,,,2802,,,165,,,,7659,,37950
