Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Turks Island,Bermuda,Boston,New Castle,New York,Newfoundland,North Carolina,Rhode Island,NA,,Plymouth,Glasgow,Bonevist,GB,,Unknown,UNK,,TOTAL,
,,1725,,,,Sterling,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,139.35,0,,,,0,0,,,1000,,,,,,1000,0,,,,0,0,,0,0,1000,0
Clayed sugar,barrels,1.81,,6.25,139.35,8.11804808,,1,,1,8,,,,,,,,,0,0,,,,0,0,,0,0,1,8
Cotton,bags,,,0.0025,139.35,0,,6,,6,0,,,,,,,,,0,0,,,,0,0,,0,0,6,0
Cotton,pockets,,,6,139.35,0,10,,,10,0,,,,,,,,,0,0,,,,0,0,,0,0,10,0
Cotton wool,bags,,,6,139.35,0,1,,,1,0,,,,,,,,,0,0,,,,0,0,,0,0,1,0
Indigo,barrels,,,,139.35,0,,,1,1,0,,,,,,,,,0,0,,,,0,0,,0,0,1,0
Molasses,barrels,1.46,,1.45,139.35,1.519196268,14,10,45,69,105,,,,,,,,,0,0,,,,0,0,,0,0,69,105
Molasses,tierces,1.46,,3.05,139.35,3.195550771,21,51,108,180,575,,6,17,,,,,24,47,150,,,,0,0,1,1,3,228,728
Molasses,hhds,1.46,,5.05,139.35,5.2909939,48,34,140,222,1175,2,15,21,,3,,,9,50,265,,,,0,0,64,64,339,336,1779
Pitch,barrels,18.42,,0.05,139.35,0.660925727,,,,0,0,,,,,,,20,,20,13,,,,0,0,,0,0,20,13
Plank,feet,3.6,,0.001,139.35,0.002583423,,,,0,0,,,13965,,,,,,13965,36,,,,0,0,,0,0,13965,36
Rum,gallons,2.85,,0.05,139.35,0.102260495,,,,0,0,,500,,,,,,,500,51,,,,0,0,800,800,82,1300,133
Rum,hhds,2.85,,5.25,139.35,10.73735199,51,209,25,285,3060,1,5,74,,10,,,,90,966,,,,0,0,10,10,107,385,4133
Rum,barrels,2.85,,1.45,139.35,2.96555436,77,264,,341,1011,,1,19,,,,,,20,59,,,,0,0,5,5,15,366,1085
Rum,pipes,2.85,,6.3,139.35,12.88482239,,,,0,0,,,2,,,,,,2,26,,,,0,0,,0,0,2,26
Rum,puncheons,2.85,,5.25,139.35,10.73735199,,,14,14,150,,,,,,,,,0,0,,,,0,0,,0,0,14,150
Rum,tierces,2.85,,3,139.35,6.135629709,66,217,,283,1736,,5,56,,,,,,61,374,,,,0,0,4,4,25,348,2135
Salt,hhds,2.67,,0.35,139.35,0.670613563,,,,0,0,,,60,,,,,,60,40,,,,0,0,20,20,13,80,53
Salt,bushels,2.67,,0.05,139.35,0.095801938,,,,0,0,,8300,68,,230,100,,,8698,833,2500,,2000,4500,431,,0,0,13198,1264
Spirits,bags,2.67,,,139.35,0,,,,0,0,,,,5,,,,,5,0,,,,0,0,,0,0,5,0
Sugar,barrels,33.44,,0.175,139.35,4.199497668,71,241,11,323,1356,1,13,8,1,,,,,23,97,,,,0,0,5,5,21,351,1474
Sugar,casks,33.44,,0.175,139.35,4.199497668,,,,0,0,,,,3,,,,,3,13,,,,0,0,,0,0,3,13
Sugar,tierces,33.44,,0.480803571,139.35,11.53790558,6,1,,7,81,,,,,,,,,0,0,,,,0,0,,0,0,7,81
Sugar,pounds,22.44,,0.000446429,139.35,0.00718899,,,,0,0,,2500,,,,,,,2500,18,,,,0,0,,0,0,2500,18
Sugar,hhds,33.44,,0.583035714,139.35,13.99118356,,,2,2,28,,2,1,,,,,,3,42,,,,0,0,,0,0,5,70
Tar,barrels,14.15,,0.05,139.35,0.507714388,,,,0,0,,,,,,,215,,215,109,,,,0,0,,0,0,215,109
White sugar,hhds,1.81,,25,139.35,32.47219232,1,,,1,32,,,,,,,,,0,0,,,,0,0,,0,0,1,32
White sugar,loafs,1.81,,,139.35,0,5,,,5,0,,,,,,,,,0,0,,,,0,0,,0,0,5,0
Wine,gallons,20.5,,0.007936508,139.35,0.11675523,,,,0,0,,,,,,,,,0,0,,280,,280,33,,0,0,280,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,9317,,,,,,,,,,3092,,,,,464,,,605,,13478
