Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Curacao,Grenada,Havanna,Jamaica,Martinique,Monte Cristo,Montserrat,Nevis,St. Eustatia,St. Kitts,St. Martins,WI,,New Providence,Turks Island,Falmouth,Halifax,New York,North Carolina,Philadelphia,Providence,Rhode Island,South Carolina,NA,,Hull,Liverpool,GB,,Dublin,IRE,,Guinea,AFR,,Lisbon,Madeira,Mediterranean,SEU,,TOTAL,
,,1766,,,,Sterling,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refined sugar,pounds,1.22,,0.05,162.96,0.037432499,112,,,,,,,,,,,,,112,4,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,,0,0,112,4
Rice,barrels,16.69,,,162.96,0,,,,,32,,,,,,,,,32,0,,,,,,,,,,175,175,0,,,0,0,,0,0,,0,0,,,,0,0,207,0
Rum,barrels,3.02,,1.45,162.96,2.687162494,,,,,,,,,,,,,,0,0,,,,,,,,,1,,1,3,,,0,0,,0,0,,0,0,,,,0,0,1,3
Rum,hhds,3.02,,5.25,162.96,9.729381443,987.5,1007.5,,222,,118,,,172,630,,348,,3485,33907,,,,,91,,100,,3,,194,1888,,,0,0,,0,0,,0,0,,,,0,0,3679,35795
Rum,tierces,3.02,,3,162.96,5.559646539,12,,,,,,,,,,,,,12,67,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,,0,0,12,67
Rum,puncheons,3.02,,5.25,162.96,9.729381443,,,,,,20,,,,,,,,20,195,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,,0,0,20,195
Rum,casks,3.02,,3.05,162.96,5.652307315,,,,,,,,,,,,,,0,0,,,,,4,,,,,,4,23,,,0,0,,0,0,,0,0,,,,0,0,4,23
Salt,bushels,1.7,,0.05,162.96,0.052160039,,,,,,,,,,1200,,,,1200,63,,1200,,,,,,,,,1200,63,,,0,0,,0,0,,0,0,,5000,1000,6000,313,8400,439
Salt,tons,1.7,,,162.96,0,,,,,,25,,,,,,,,25,0,,,65,,,,,,,,65,0,,,0,0,,0,0,,0,0,,,,0,0,90,0
Shingles,,,,,162.96,0,,,,,,,,,,,,,,0,0,,,,,,5000,,,,,5000,0,,,0,0,,0,0,,0,0,,,,0,0,5000,0
Spirit turpentine,barrels,,,,162.96,0,,,,,,,,,,,,,,0,0,,,,,,,1,,,,1,0,,,0,0,,0,0,,0,0,,,,0,0,1,0
Spirits,cases,3.02,,,162.96,0,,,,,,,,,,,,,,0,0,,,,,15,,,,,,15,0,,,0,0,,0,0,,0,0,,,,0,0,15,0
Spirits,kegs,3.02,,,162.96,0,,,,,,,,,,,,,,0,0,,,,,,,,,4,,4,0,,,0,0,,0,0,,0,0,,,,0,0,4,0
Spirits,gallons,3.02,,0.05,162.96,0.092660776,,,,,,,,,,,,,,0,0,,,,,200,,,,,,200,19,,,0,0,,0,0,,0,0,,,,0,0,200,19
Staves (hhd),,6.56,,0.001,162.96,0.004025528,,,,,,,,,,,,,,0,0,,,,,,2000,,,,,2000,8,,,0,0,,0,0,,0,0,,,,0,0,2000,8
Sugar,tierces,55.74,,0.495089286,162.96,16.93438683,6,2,,1,,20,,,,11,,,4,44,745,,,,,,,1,,,,1,17,,,0,0,,0,0,,0,0,,,,0,0,45,762
Sugar,barrels,55.74,,0.15,162.96,5.130706922,310,631,,,,30,,,22,162,,44,,1199,6152,,,,,11,,3,,,,14,72,,,0,0,,0,0,,0,0,,,,0,0,1213,6224
Sugar,firkins,55.74,,,162.96,0,,,,,,,,,,13,,,,13,0,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,,0,0,13,0
Sugar,casks,55.74,,0.15,162.96,5.130706922,,,,,,,,,,,32,,,32,164,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,,0,0,32,164
Sugar,hhds,55.74,,0.646875,162.96,22.1261736,161,30,,17,,131,,,,26,,16,,381,8430,,,,,18,9,9,,,,36,797,,,0,0,,0,0,,0,0,,11,,11,243,428,9470
Sugar,pounds,55.74,,0.000446429,162.96,0.015269961,,,,,,,,,,,,,,0,0,,,,,29,,,,,,29,0,,,0,0,,0,0,,0,0,,,,0,0,29,0
Tar,barrels,11.9,,0.05,162.96,0.365120275,,,,,,,,,,,,,,0,0,,,,,,1282,,,,,1282,468,,,0,0,,0,0,,0,0,,,,0,0,1282,468
Tea,pounds,6.08,,0.05,162.96,0.186548846,,,,,,,,,,,,,,0,0,,,,,250,,,,,,250,47,,,0,0,,0,0,,0,0,,,,0,0,250,47
Turpentine,barrels,20.73,,0.05,162.96,0.636045655,,,,,,,,,,,,,,0,0,,,,,,10,,,,,10,6,,,0,0,,0,0,,0,0,,,,0,0,10,6
Virginia currency,pounds,1,,1,162.96,0.613647521,163,40,560,,,,,,30,,,,40,833,511,,,,,,,,,,250,250,153,,,0,0,,0,0,,0,0,,,,0,0,1083,664
Virginia currency,shillings,1,,0.05,162.96,0.030682376,10,,,,,,,,,,,,,10,0,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,,0,0,10,0
Wine,pipes,48.92,,1,162.96,30.01963672,,3,,,,1,,,,,,,,4,120,,,22,,,,9,,,,31,931,,,0,0,,0,0,,0,0,,80.75,,80.75,2424,115.75,3475
Wine,quarter casks,48.92,,0.25,162.96,7.50490918,,,,,,2,,,,,,,,2,15,,,11,,,,,,,,11,83,,,0,0,,0,0,,0,0,,,,0,0,13,98
Wine,hhds,48.92,,0.5,162.96,15.00981836,,10,,,,1,,,,,,,,11,165,,,12,,,,,,,,12,180,,,0,0,,0,0,,0,0,,,,0,0,23,345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,,,54826,,,,,,,,,,,,9999,,,,227,,,45,,,3752,,,,,3031,,71880
