Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Nevis,St. Christophers,WI,,Turks Island,Bermuda,Boston,New Hampshire,New London,North Carolina,Perth Amboy,Philadelphia,Providence,Rhode Island,South Carolina,NA,,Ireland,IRE,,Isle of May,Madeira,SEU,,TOTAL,
,,1741,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,40.63,,0.05,146.14,1.390105378,,,,,,0,0,,,,,,55,,,,,,55,76,,0,0,,,0,0,55,76
Beeswax,pounds,,,,146.14,0,,,,,,0,0,,,,,,528,,,,,,528,0,,0,0,,,0,0,528,0
Bread,casks,19.58,,0.089285714,146.14,1.196259946,,,,,,0,0,,,,,,,,39,,,,39,47,,0,0,,,0,0,39,47
Cheese,tons,,,,146.14,0,,,,,,0,0,,,,0.5,,,,,,,,0.5,0,,0,0,,,0,0,0.5,0
Cheese,pounds,,,,146.14,0,,,,,,0,0,,,,,,,1000,400,,,,1400,0,,0,0,,,0,0,1400,0
Chocolate,pounds,,,,146.14,0,,,,,,0,0,,,,,,,,100,,,,100,0,,0,0,,,0,0,100,0
Cotton,pounds,1.16,,0.05,146.14,0.03968797,600,2161,,,800,3561,141,,200,,,,,,,,,,200,8,,0,0,,,0,0,3761,149
Cotton,bags,1.16,,6,146.14,4.762556453,,2,2,,1,5,24,,,,,,,,,,,,0,0,,0,0,,,0,0,5,24
Deer Skin,,,,,146.14,0,,,,,,0,0,,,,,,10,,,,,,10,0,,0,0,,,0,0,10,0
Indigo,pounds,7.98,,0.05,146.14,0.273025866,,,,,,0,0,,25,,,,,,,,,,25,7,,0,0,,,0,0,25,7
Indigo,casks,7.98,,,146.14,0,,,,,,0,0,,1,,,,,,,,,,1,0,,0,0,,,0,0,1,0
Linen,pieces,,,,146.14,0,40,,,,,40,0,,,,,,,,,,,,0,0,,0,0,,,0,0,40,0
Linen,trunk,,,,146.14,0,,1,,,,1,0,,,,,,,,,,,,0,0,,0,0,,,0,0,1,0
Loaf sugar,tierces,1.63,,17,146.14,18.96127002,,,,,,0,0,,,,,,,,1,,,,1,19,,0,0,,,0,0,1,19
Loaf sugar,pounds,1.63,,0.05,146.14,0.055768441,,,,,,0,0,,,400,160,,,,100,,,,660,37,,0,0,,,0,0,660,37
Molasses,gallons,1.82,,0.05,146.14,0.062269057,,2120,3454,2540,19120,27234,1696,,3389,,1020,360,,,640,,,,5409,337,,0,0,,,0,0,32643,2033
Negroes,,26.64,,1,100,26.64,38,58,6,2,35,139,3703,,1,,,1,,,1,,,,3,80,,0,0,,,0,0,142,3783
Pimento,pounds,,,,146.14,0,,,,,,0,0,,,,,,,,400,,,,400,0,,0,0,,,0,0,400,0
Rice,tierces,16.58,,,146.14,0,,,,,,0,0,,,,,,,,,,,,0,0,,0,0,,,0,0,0,0
Rice,pounds,16.58,,,146.14,0,,,,,,0,0,,,,,,1300,,,,,,1300,0,,0,0,,,0,0,1300,0
Rice,barrels,16.58,,,146.14,0,,,,,,0,0,,,,,,,,,,,6,6,0,,0,0,,,0,0,6,0
Rum,casks,3.64,,3.05,146.14,7.596824962,,,,,,0,0,,,,,,,,,,,,0,0,,0,0,,,0,0,0,0
Rum,gallons,3.64,,0.05,146.14,0.124538114,12245,77128,,,28640,118013,14697,301,10296,829,719,520,40,100,2936,,1024,32,16797,2092,,0,0,,,0,0,134810,16789
Salt,bushels,2.145,,0.05,146.14,0.073388532,,,,,364,364,27,4300,5220,180,123,,,25,2504,1836,,,14188,1041,,0,0,21000,,21000,1541,35552,2609
Servants,,9.687272727,,1,100,9.687272727,,,,,,0,0,,,,,,,,,,,,0,0,48,48,465,,,0,0,48,465
Sugar,pounds,36.4,,0.000446429,146.14,0.011119474,21250,140832,12575,12600,26250,213507,2374,,15300,,400,,,,79450,,,200,95350,1060,,0,0,,,0,0,308857,3434
Tar,barrels,14.08,,0.05,146.14,0.481729848,,,,,,0,0,,,,,,230,,,,,,230,111,,0,0,,,0,0,230,111
Turpentine,barrels,21.3,,0.05,146.14,0.72875325,,,,,,0,0,,,,,,105,,,,,,105,77,,0,0,,,0,0,105,77
Wine,quarter casks,21.83,,0.25,146.14,3.734432736,,,,,,0,0,,,,,,,,,,,,0,0,,0,0,,7,7,26,7,26
Wine,hhds,21.83,,0.5,146.14,7.468865471,,,,,,0,0,,,,,,,,,,,,0,0,,0,0,,3,3,22,3,22
Wine,pipes,21.83,,1,146.14,14.93773094,,,,,75,75,1120,,,,,,,1,,,,,1,15,,0,0,,307,307,4586,383,5721
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,23782,,,,,,,,,,,,,5007,,,465,,,,6175,,35429
