Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Turks Island,Bermuda,Boston,Canso,New Castle,New Hampshire,New York,North Carolina,Philadelphia,Port Lewis PA,Salem,South Carolina,NA,,London,GB,,Africa,AFR,,Isle of May,SEU,,TOTAL,
,,1740,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,casks,13.56,,,165.45,0,,,,,,0,0,,,,,20,,,,28,,,,48,0,,0,0,,0,0,,0,0,48,0
Cheese,pounds,,,,165.45,0,,,,,,0,0,,,4000,,,500,,,2161,,,,6661,0,,0,0,,0,0,,0,0,6661,0
Cheese,casks,,,,165.45,0,,,,,,0,0,,,,,6,1,,,,,,,7,0,,0,0,,0,0,,0,0,7,0
Chocolate,boxes,,,,165.45,0,,,,,,0,0,,,,,,,6,,,,,,6,0,,0,0,,0,0,,0,0,6,0
Convicts,,9.687272727,,1,100,9.687272727,,,,,,0,0,,,,,,,,,,,,,0,0,105,105,1017,,0,0,,0,0,105,1017
Cotton,bags,1.29,,,165.45,0,,,3,,8,11,0,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,0,11,0
Cotton,pounds,1.29,,0.05,165.45,0.038984587,,600,100,100,300,1100,43,,100,,,,,,,,,,,100,4,,0,0,,0,0,,0,0,1200,47
Indigo,bags,6.63,,,165.45,0,,,,,,0,0,,1,,,,,,,,,,,1,0,,0,0,,0,0,,0,0,1,0
Indigo,pounds,6.63,,0.05,165.45,0.200362647,,,,100,,100,20,,100,,,,,,,,,,,100,20,,0,0,,0,0,,0,0,200,40
Loaf sugar,barrels,1.55,,6.25,165.45,5.855243276,,,,,,0,0,,,1,,,,,,,,,,1,6,,0,0,,0,0,,0,0,1,6
Molasses,gallons,1.65,,0.05,165.45,0.049864007,1151,1480,3085,8836,41310,55862,2786,,8836,2019,160,200,400,1500,,470,,100,,13685,682,,0,0,,0,0,,0,0,69547,3468
Negroes,,26.64,,1,100,26.64,,25,51,17,122,215,5728,,17,,,,,,,,,,4,21,559,,0,0,70,70,1865,,0,0,306,8152
Pork,barrels,46.04,,0.05,165.45,1.391356905,,,,,,0,0,,,,,,,,59,,,,,59,82,,0,0,,0,0,,0,0,59,82
Refined sugar,pounds,1.55,,0.05,165.45,0.046841946,,,,,,0,0,,,200,,,,,,,,,,200,9,,0,0,,0,0,,0,0,200,9
Rice,barrels,12.75,,,165.45,0,,,,,,0,0,,,,,,,,2,,,,,2,0,,0,0,,0,0,,0,0,2,0
Rum,gallons,2.53,,0.05,165.45,0.076458144,,13470,96775,5395,29580,145220,11103,,5395,11743,361,184,700,3200,,700,,,325,22608,1729,,0,0,,0,0,,0,0,167828,12832
Salt,bushels,1.935,,0.05,165.45,0.058476881,1000,,,2840,,3840,225,6300,3340,292,64,50,305,500,,2030,1500,,,14381,841,,0,0,,0,0,10000,10000,585,28221,1651
Sugar,loaves,1.55,,,165.45,0,,,,,,0,0,,,,,,9,,,,,,,9,0,,0,0,,0,0,,0,0,9,0
Sugar,pounds,37.88,,0.000446429,165.45,0.010221042,,22300,152400,11600,24400,210700,2154,,11600,3600,400,,200,,,,,,,15800,161,,0,0,,0,0,,0,0,226500,2315
Tar,barrels,10.88,,0.05,165.45,0.328800242,,,,,,0,0,,,,,,,,57,,,,,57,19,,0,0,,0,0,,0,0,57,19
Turpentine,barrels,19.41,,0.05,165.45,0.586582049,,,,,,0,0,,,,,,,,20,,,,,20,12,,0,0,,0,0,,0,0,20,12
Wine,pipes,20.17,,1,165.45,12.19099426,,,,1,,1,12,,1,,,1,,31,,2,,,,35,427,,0,0,,0,0,,0,0,36,439
Wine,gallons,20.17,,0.007936508,165.45,0.096753923,,600,1700,,,2300,223,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,0,2300,223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,22294,,,,,,,,,,,,,,4551,,,1017,,,1865,,,585,,30312
