Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,Spanish Town,St. Kitts,Tortola,Virgin Islands,WI,,Turks Island,Bermuda,Boston,Lewes,New York,North Carolina,Philadelphia,Providence,Rhode Island,Salem,NA,,Cork,IRE,,Isle of May,Lisbon,Madeira,Teneriff,SEU,,TOTAL,
,,1754,,,,Sterling,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,168.35,0,,,,,,,,,,,0,0,,,800,,,,,,1000,,1800,0,,0,0,,,,,0,0,1800,0
Cheese,,,,,168.35,0,,,,,,,,,,,0,0,,,,,,,,,180,,180,0,,0,0,,,,,0,0,180,0
Chocolate,boxes,,,,168.35,0,,,,,,,,,,,0,0,,,,,,,2,,,,2,0,,0,0,,,,,0,0,2,0
Coffee,barrels,,,,168.35,0,,,,8,,,,,,,8,0,,,,,,,,,,,0,0,,0,0,,,,,0,0,8,0
Cotton,bags,1.58,,6,168.35,5.631125631,,,,1,,,,,,,1,6,,,,,,,,,,,0,0,,0,0,,,,,0,0,1,6
Cotton wool,bags,1.58,,6,168.35,5.631125631,,,,,,,1,,,,1,6,,,,,,,,,,,0,0,,0,0,,,,,0,0,1,6
Ginger,barrels,,,,168.35,0,,,1,3,,,,,,,4,0,,,,,,,,,,,0,0,,0,0,,,,,0,0,4,0
Linen,bales,,,,168.35,0,,,,,,,,,,,0,0,,,,,1,,,,,,1,0,,0,0,,,,,0,0,1,0
Linen,boxes,,,,168.35,0,,,,,,,,,,,0,0,,,,,1,,,,,,1,0,,0,0,,,,,0,0,1,0
Linen,chests,,,,168.35,0,,,,,,,,,,,0,0,,,,,2,,,,,,2,0,,0,0,,,,,0,0,2,0
Molasses,hhds,2,,5.05,168.35,5.999405999,20,2,9,16,,23,13,,5,26,114,684,,,5,,50,,7,,35,1,98,588,,0,0,,,,,0,0,212,1272
Molasses,barrels,2,,1.45,168.35,1.722601723,,,,,,,70,,,,70,121,,,,,,,,,,,0,0,,0,0,,,,,0,0,70,121
Negroes,,33.1,,1,100,33.1,,27,50,1,9,,,,,,87,2880,2,,,,,,,3,,,5,166,,0,0,,,,,0,0,92,3046
Pig iron,tons,7.67,,1,168.35,4.555984556,,,,,,,,,,,0,0,,,1,,,,,,,,1,5,,0,0,,,,,0,0,1,5
Pitch,barrels,15.71,,0.05,168.35,0.466587467,,,,,,,,,,,0,0,,,,,,624,,,,,624,291,,0,0,,,,,0,0,624,291
Plank,feet,7.872,,0.0005,168.35,0.002337986,,,,800,,,,,,,800,2,,,,,,,,1600,,,1600,4,,0,0,,,,,0,0,2400,6
Pork,barrels,61.19,,0.05,168.35,1.817344817,,,,,,,,,,,0,0,,,,,,509,,,,,509,925,,0,0,,,,,0,0,509,925
Refined sugar,loaves,1.06,,,168.35,0,200,,,,,,,,,,200,0,,,,,,,,,,,0,0,,0,0,,,,,0,0,200,0
Rice,pounds,17.06,,0.000446429,168.35,0.004523951,,,,,,,,,,,0,0,,,,,,500,,,,,500,2,,0,0,,,,,0,0,500,2
Rum,hhds,3.22,,5.25,168.35,10.04158004,14,92,379,22,66,88,58,143,25,,887,8907,,,29,,82,,4,6,34,1,156,1566,,0,0,,,,,0,0,1043,10473
Rum,barrels,3.22,,1.45,168.35,2.773388773,,,,,,,10,,,,10,28,,,,,8,,,,,,8,22,,0,0,,,,,0,0,18,50
Salt,bushels,1.55,,0.05,168.35,0.046035046,9840,,2600,,,3000,,2600,,,18040,830,2400,500,350,2000,,,200,1206,,45,6701,308,,0,0,12500,4000,,,16500,760,41241,1898
Servants,,12.03636364,,1,100,12.03636364,,,,,,,,,,,0,0,,,,,,,,,,,0,0,32,32,385,,,,,0,0,32,385
Shingles,,,,,168.35,0,,,,,,,,,,,0,0,,,,,,4000,,,,,4000,0,,0,0,,,,,0,0,4000,0
Staves,,4.92,,0.001,168.35,0.002922483,,,,,,,,,,,0,0,,,,,,5000,,,,,5000,15,,0,0,,,,,0,0,5000,15
Sugar,barrels,50.85,,0.15,168.35,4.530739531,25,19,347,2,15,21,58,42,73,13,615,2786,,,24,,82,,5,,41,1,153,693,,0,0,,,,,0,0,768,3479
Tar,barrels,10.67,,0.05,168.35,0.316899317,,,,,,,,,,,0,0,,,,,,299,,,,,299,95,,0,0,,,,,0,0,299,95
Tea,boxes,,,,168.35,0,,,,,,,,,,,0,0,,,,,1,,,,,,1,0,,0,0,,,,,0,0,1,0
Tea,canisters,,,,168.35,0,,,,,,,,,,,0,0,,,,,6,,,,,,6,0,,0,0,,,,,0,0,6,0
Turpentine,barrels,17.9,,0.05,168.35,0.531630532,,,,,,,,,,,0,0,,,,,,130,,,,,130,69,,0,0,,,,,0,0,130,69
Wine,pipes,28.96,,1,168.35,17.2022572,,,6,,,,,,,,6,103,,,,35,11.75,,3,,,,49.75,856,,0,0,,,51.5,12,63.5,1092,119.25,2051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,16353,,,,,,,,,,,,5605,,,385,,,,,,1852,,24195
