Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Grenada,Havanna,Jamaica,Montserrat,Nevis,St. Kitts,St. Martins,WI,,New Providence,Turks Island,Bermuda,Boston,Delaware,Falmouth,Lewistown,New York,North Carolina,Philadelphia,Piscataqua,Providence,Rhode Island,Salem,South Carolina,NA,,Yarmouth,London,Liverpool,Whitehaven,GB,,Isle of May,Lisbon,Teneriff,SEU,,TOTAL,
,,1765,,,,Sterling,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pork,barrels,77.04,,0.05,169.9,2.267216009,,2,,,,,,,,,2,5,,,,,,,,,331,,,,,,,331,750,,,,,0,0,,,,0,0,333,755
Potatoes,bushels,,,,169.9,0,,,,,,,,,,,0,0,,,,300,,,,100,,,,,,,,400,0,,,,,0,0,,,,0,0,400,0
Refined sugar,tierces,1.06,,17,169.9,10.60623896,,,,,,,,,,,0,0,,,,,,,,1,,,,,,,,1,11,,,,,0,0,,,,0,0,1,11
Refined sugar,hhds,1.06,,25,169.9,15.59741024,,,,,,,,,,,0,0,,,,,,,,23,,,,,,,,23,359,,,,,0,0,,,,0,0,23,359
Rice,barrels,16.29,,,169.9,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,110,110,0,,,,,0,0,,,,0,0,110,0
Rum,gallons,3.02,,0.05,169.9,0.088875809,,,50,,,,,,,,50,4,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,0,0,50,4
Rum,barrels,3.02,,1.45,169.9,2.57739847,,1,11,,,,,2,,,14,36,,,,,,,,48,,,1,,,,,49,126,,,,,0,0,,,,0,0,63,162
Rum,hhds,3.02,,5.25,169.9,9.331959976,,363,1023,71,,66,21,316,122,,1982,18496,,,8,105,,8,,206,,55,49,,65,18,,514,4797,11,,,,11,103,,,,0,0,2507,23396
Rum,tierces,3.02,,3,169.9,5.332548558,,,4,,,,,,,,4,21,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,0,0,4,21
Salt,tons,1.7,,,169.9,0,,,,,,,,,,,0,0,,,,,170,,150,,,,,,,,,320,0,,,,,0,0,,,,0,0,320,0
Salt,hhds,1.7,,0.35,169.9,0.350206004,,,,,,,,,,,0,0,,,,2,,,,,,,,,8,,,10,4,,,,,0,0,,,,0,0,10,4
Salt,bushels,1.7,,0.05,169.9,0.050029429,,6000,,,,1000,,,280,,7280,364,50,7600,,420,,,,4129,,5950,600,1300,,144,,20193,1010,,,5040,,5040,252,5000,,,5000,250,37513,1876
Servants,,12.63272727,,1,100,12.63272727,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,26,,,26,328,,,,0,0,26,328
Shingles,,,,,169.9,0,,,,,,,,,,,0,0,,,,,,,,,81000,,,,,,,81000,0,,,,,0,0,,,,0,0,81000,0
Staves,,6.84,,0.001,169.9,0.004025898,,,,,,,,,,,0,0,,,,,,,,,39200,,,,,,,39200,158,,,,,0,0,,,,0,0,39200,158
Staves and heading,,6.84,,0.001,169.9,0.004025898,,,,,,,,,,,0,0,,,,,,20000,,,,,,,,,,20000,81,,,,,0,0,,,,0,0,20000,81
Sugar,tierces,52.94,,0.495089286,169.9,15.42673737,,,,,,,,,,,0,0,,,2,,,,,,,,,,,,,2,31,,,,,0,0,,,,0,0,2,31
Sugar,firkins,52.94,,,169.9,0,,,,,,,,17,,,17,0,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,0,0,17,0
