Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Montserrat,St. Christophers,Tortola,Virgin Islands,WI,,New Providence,Turks Island,Bermuda,Boston,New London,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,NA,,Dumfries,Kirkcudbright,GB,,Cork,IRE,,Isle of May,Madeira,SEU,,TOTAL,
Negroes,,27.12,,1,100,27.12,7,90,,1,18,,,116,3146,,,,,,,,,,,0,0,,,0,0,,0,0,,,0,0,116,3146
Pimento,tierces,,,,169.86,0,,,2,,,,,2,0,,,,,,,,,,,0,0,,,0,0,,0,0,,,0,0,2,0
Pimento,pounds,,,,169.86,0,,,,,1277,,,1277,0,,,,,,,,,,,0,0,,,0,0,,0,0,,,0,0,1277,0
Pimento,barrels,,,,169.86,0,,,4,,,,,4,0,,,,,,,,,,,0,0,,,0,0,,0,0,,,0,0,4,0
Pitch,barrels,21.56,,0.05,169.86,0.634640292,,,,,,,,0,0,,,,,,,157,,,,157,100,,,0,0,,0,0,,,0,0,157,100
Plank,feet,7.456,,0.0005,169.86,0.002194749,,,,,,,,0,0,300,,,,,,,,2000,,2300,5,,,0,0,,0,0,,,0,0,2300,5
Planks,,7.456,,0.005,169.86,0.021947486,,,,,30,,,30,1,,,,,,,,,,1000,1000,22,,,0,0,,0,0,,,0,0,1030,23
Pork,barrels,69.97,,0.05,169.86,2.059637348,,,,,,,,0,0,,,,,,,52,,,,52,107,,,0,0,,0,0,,,0,0,52,107
Potatoes,bushels,,,,169.86,0,,,,,,,,0,0,,,,,,,,,,50,50,0,,,0,0,,0,0,,,0,0,50,0
Potatoes,hhds,,,,169.86,0,,,,,,,,0,0,,,,,,,,,,4,4,0,,,0,0,,0,0,,,0,0,4,0
Refined sugar,casks,1.04,,6.25,169.86,3.826680796,,,,,,,,0,0,,,,,,9,,,,,9,34,,,0,0,,0,0,,,0,0,9,34
Rum,gallons,3.49,,0.05,169.86,0.102731661,35925,81372,3700,14110,35970,367,1100,172544,17726,,180,2190,1240,266,6522,,2450,432,2804,16084,1652,,,0,0,,0,0,,,0,0,188628,19378
Salt,hhds,1.23,,0.35,169.86,0.253444013,,,,,,,,0,0,,,,1,,,,,,,1,0,,,0,0,,0,0,,,0,0,1,0
Salt,bushels,1.23,,0.05,169.86,0.036206288,595,4000,,1300,,,900,6795,246,,1850,6400,120,45,,,,,140,8555,310,2000,,2000,72,,0,0,11500,,11500,416,28850,1044
Servants,,9.861818182,,1,100,9.861818182,,,,,,,,0,0,,,,,,,,,,,0,0,,,0,0,45,45,444,,,0,0,45,444
Staves,,4.99,,0.001,169.86,0.002937713,,,,,,,,0,0,,,,,,,12486,,,,12486,37,,,0,0,,0,0,,,0,0,12486,37
Sugar,kilderkins,47.04,,,169.86,0,,,,,91,,,91,0,,,,,,,,,,,0,0,,,0,0,,0,0,,,0,0,91,0
Sugar,hhds,47.04,,0.609375,169.86,16.87566231,,,3,,,,,3,51,,,,,,,,,,,0,0,,,0,0,,0,0,,,0,0,3,51
Sugar,barrels,47.04,,0.15,169.86,4.154009184,118,785,42,6,68,6,36,1061,4407,,,56.5,10,,33,,42,1,9,151.5,629,,,0,0,,0,0,,,0,0,1212.5,5036
Sugar,tierces,47.04,,0.466964286,169.86,12.93182621,10,,7,4,58,,,79,1022,,,,,,,,,,3,3,39,,,0,0,,0,0,,,0,0,82,1061
Tar,barrels,11.07,,0.05,169.86,0.325856588,,,,,,,,0,0,,,,,,,890,,,,890,290,,,0,0,,0,0,,,0,0,890,290
Turpentine,barrels,24.81,,0.05,169.86,0.730307312,,,,,,,,0,0,,,,,,,15,,,,15,11,,,0,0,,0,0,,,0,0,15,11
White sugar,tierces,1.04,,17,169.86,10.40857176,42,,,,,,,42,437,,,,,,,,,,,0,0,,,0,0,,0,0,,,0,0,42,437
Wine,gallons,30.07,,0.007936508,169.86,0.140498524,2600,2000,,,,,,4600,646,,,,,,800,,,,,800,112,,2500,2500,351,,0,0,,29025,29025,4078,36925,5187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,28544,,,,,,,,,,,,4767,,,,423,,,493,,,,4494,,38721
