Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Grandterre,Jamaica,Montserrat,Nevis,St. Croix,St. Kitts,St. Martins,WI,,New Providence,Turks Island,Bermuda,Charles Town,New England,New York,North Carolina,Philadelphia,Rhode Island,Salem,NA,,Fyall,Teneriff,SEU,,Senegal,AFR,,TOTAL,
,,1761,,,,Sterling,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,54.91,,0.05,172.71,1.589658966,,,,,,,,,,,0,0,,,,,,,11,,,,11,17,,,0,0,,0,0,11,17
Bread,barrels,25.18,,0.089285714,172.71,1.301727917,,,,,,,,,,,0,0,,,,,,,,16,,,16,21,,,0,0,,0,0,16,21
Bread,casks,25.18,,0.089285714,172.71,1.301727917,,,,,,,,,,,0,0,,,,,,50,,,,,50,65,,,0,0,,0,0,50,65
Cheese,pounds,,,,172.71,0,,,,,,,,,,,0,0,,,,,,,,,,4000,4000,0,,,0,0,,0,0,4000,0
Chocolate,boxes,,,,172.71,0,,,,,,,,,,,0,0,,,,,,14,,3,,,17,0,,,0,0,,0,0,17,0
Coffee,barrels,,,,172.71,0,,,,,41,,,,,,41,0,,,,,,10,,6,,,16,0,,,0,0,,0,0,57,0
Cotton,bags,1.45,,6,172.71,5.03734584,,,,,2,,,,,,2,10,,,,,,,,,,,0,0,,,0,0,,0,0,2,10
Cotton,pounds,1.45,,0.05,172.71,0.041977882,,,,,,,,,,,0,0,900,,,,,,,,,,900,38,,,0,0,,0,0,900,38
Ginger,bags,,,,172.71,0,,3,,,82,,,,,,85,0,,,,,,,,,,,0,0,,,0,0,,0,0,85,0
Indigo,kegs,7.59,,,172.71,0,,,,,,,,,,,0,0,,,,1,,,,,,,1,0,,,0,0,,0,0,1,0
Indigo,pounds,7.59,,0.05,172.71,0.2197325,,,,,,,,,,,0,0,,,40,,,,,,,,40,9,,,0,0,,0,0,40,9
Loaf sugar,pounds,1.08,,0.05,172.71,0.031266285,,,,,,,,,,,0,0,,,,,,,,,3000,,3000,94,,,0,0,,0,0,3000,94
Molasses,hhds,2.42,,5.05,172.71,7.076023392,,9,8,95,202,,23,,38,,375,2654,2,,41,,1,3,,2,3,6,58,410,,,0,0,,0,0,433,3064
Negroes,,35.61,,1,100,35.61,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,0,0,110,110,3917,110,3917
Pimento,bags,,,,172.71,0,,,,,7,,,,,,7,0,,,,,,,,,,,0,0,,,0,0,,0,0,7,0
Pimento,hhds,,,,172.71,0,,,,,1,,,,,,1,0,,,,,,,,,,,0,0,,,0,0,,0,0,1,0
Pitch,barrels,14.06,,0.05,172.71,0.407040704,,,,,,,,,,,0,0,,,,,,,2,,,,2,1,,,0,0,,0,0,2,1
Plank,feet,13.648,,0.0005,172.71,0.003951132,,,,,1000,,,,,,1000,4,2200,,,,,,,,,,2200,9,,,0,0,,0,0,3200,13
Pork,barrels,73.92,,0.05,172.71,2.140003474,,,,,,,,,,,0,0,,,,,,,29,,,,29,62,,,0,0,,0,0,29,62
Rice,barrels,16.58,,,172.71,0,,,,,,,,,,,0,0,,,,68.5,,,,,,,68.5,0,,,0,0,,0,0,68.5,0
Rum,hhds,3.93,,5.25,172.71,11.94632621,22,1356,2442,,37,31,307,,378,6,4579,54702,,,28,,1,23,,31,8,6,97,1159,,,0,0,,0,0,4676,55861
Salt,bushels,2.42,,0.05,172.71,0.070059638,5600,2500,,,,,,,2300,10100,20500,1436,,6675,3995,,40,13,,,,270,10993,770,,,0,0,,0,0,31493,2206
Sugar,pounds,49.14,,0.000446429,172.71,0.012701928,,,,,,,,,,,0,0,,,,,,,,,,3000,3000,38,,,0,0,,0,0,3000,38
Sugar,barrels,49.14,,0.15,172.71,4.267847837,34,231,1190,13,141,,19,,70,,1698,7247,61,,10,,,408,,54,3,3,539,2300,,,0,0,,0,0,2237,9547
Tar,barrels,11.25,,0.05,172.71,0.325690464,,,,,,,,,,,0,0,,,,,,,479,,,,479,156,,,0,0,,0,0,479,156
Turpentine,barrels,14.11,,0.05,172.71,0.408488217,,,,,,,,,,,0,0,,,,,,,313,,,,313,128,,,0,0,,0,0,313,128
Wine,casks,48.83,,0.25,172.71,7.068206821,,,,,4,,,,,,4,28,,,,,,,,,,,0,0,,,0,0,,0,0,4,28
Wine,pipes,48.83,,1,172.71,28.27282728,,10,,,0.75,,,51,,,61.75,1746,,,,,,6.5,,1.5,36,,44,1244,175,74.5,249.5,7054,,0,0,355.25,10044
Wine,hhds,48.83,,0.5,172.71,14.13641364,,,,,,,,,,,0,0,10,,,,,,,,,,10,141,,,0,0,,0,0,10,141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,67827,,,,,,,,,,,,6662,,,,7054,,,3917,,85460
