Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Boston,Falmouth,Halifax,Nantucket,New Jersey,New London,New York,Newport,Piscataqua,Portsmouth NE,Rhode Island,Salem,NA,,London,Whitehaven,Glasgow,GB,,Unknown,UNK,,TOTAL,
,,1760,,,,Sterling,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.96,,0.05,158.61,0.093310636,80,,,80,7,,,,6,,,,,,,,56.25,62.25,6,,,,0,0,,0,0,142.25,13
Bread,barrels,24.36,,0.089285714,158.61,1.371288065,,34,50,84,115,,,,,,,,,,,40,,40,55,,,,0,0,12,12,16,136,186
Coffee,pounds,,,,158.61,0,,,125,125,0,,,,,,,,,,,,,0,0,,,,0,0,,0,0,125,0
Corn,bushels,2.96,,0.05,158.61,0.093310636,2400,3686.5,2500,8586.5,801,14800,2000,2500,2000,,400,1805,1520,2000,3000,1950,3550,35525,3315,,,,0,0,1812,1812,169,45923.5,4285
Flour,barrels,14.96,,0.089285714,158.61,0.842137498,4,279,100,383,323,,,,,,,,24,,,10,,34,29,,,,0,0,,0,0,417,352
Handspikes,,,,,158.61,0,,,,0,0,,,,,,,,,,,,,0,0,,12,,12,0,,0,0,12,0
Heading,,5.35,,0.001,158.61,0.003373053,,,,0,0,10500,,,,,,,,,,,,10500,35,,,,0,0,,0,0,10500,35
Hemp,pounds,4.9,,0.004166667,158.61,0.012872244,,,,0,0,,,,,,,,,,,10000,,10000,129,,,,0,0,,0,0,10000,129
Iron,tons,10.87,,1,158.61,6.853287939,,,,0,0,,,,,,,,,,,,,0,0,285,31,52,368,2522,,0,0,368,2522
Peas,bushels,2.96,,0.05,158.61,0.093310636,,,,0,0,6,,,,,,,,,,,,6,1,,,,0,0,,0,0,6,1
Plank,feet,8.56,,0.0005,158.61,0.002698443,500,,,500,1,,350,,,,,,,,,,,350,1,200,,,200,1,,0,0,1050,3
Pork,barrels,69.3,,0.05,158.61,2.184603745,,8,,8,17,22,5,,,,,,6,8,,11,,52,114,,,,0,0,8,8,17,68,148
Potatoes,bushels,,,,158.61,0,,,,0,0,,,,,100,,,,,,,,100,0,,,,0,0,,0,0,100,0
Rye,bushels,2.96,,0.05,158.61,0.093310636,,,,0,0,,,,,,,,,,,,7,7,1,,,,0,0,,0,0,7,1
Staves,,5.35,,0.001,158.61,0.003373053,2500,680,,3180,11,7300,4500,,,,,350,,,,,,12150,41,101100,10585,10500,122185,412,,0,0,137515,464
Tobacco,barrels,20.43,,0.28475,158.61,3.667765273,,2,,2,7,,,,,,,,,,,,,0,0,,,,0,0,,0,0,2,7
Tobacco,hhds,20.43,,0.5695,158.61,7.335530547,,4,2,6,44,,175,,,,,1,,,,,,176,1291,3710,665,591,4966,36428,,0,0,5148,37763
Tobacco,pounds,20.43,,0.0005,158.61,0.006440325,,,,0,0,,,,,,,654,,,,,,654,4,,,,0,0,,0,0,654,4
Wheat,bushels,5.11,,0.05,158.61,0.161086943,,,,0,0,16180,,1050,600,609,500,10800.5,45,200,80,480,4080,34624.5,5578,,,,0,0,,0,0,34624.5,5578
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,1326,,,,,,,,,,,,,,10600,,,,,39363,,,202,,51491
