Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Hispaniola,Jamaica,St. Christophers,WI,,Boston,Cape Ann,Newfoundland,Philadelphia,Salem,St. Johns Newf,NA,,London,Glasgow,GB,,Barcelona,Cadiz,SEU,,TOTAL,
,,1767,,,,Sterling,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,24.06,,1,166.02,14.49222985,,6,,,,,6,87,,,,,,,0,0,76,35.75,111.75,1620,,,0,0,117.75,1707
Beans,bushels,2.93,,0.05,166.02,0.08824238,,,,,,,0,0,20,,,,5,,25,2,,,0,0,,,0,0,25,2
Biscuits,kegs,16.8,,0.044642857,166.02,0.451752801,,58,,,,,58,26,,,,,,,0,0,,,0,0,,,0,0,58,26
Bread,barrels,27.47,,0.089285714,166.02,1.477339219,60,128,25,,7,,220,325,,,200,,,42,242,358,,,0,0,,,0,0,462,683
Corn,bushels,2.93,,0.05,166.02,0.08824238,2752.5,6702.5,,,950,,10405,918,1300,1375,1000,,4305,1460,9440,833,,,0,0,,3100,3100,274,22945,2025
Flaxseed,bushels,5.96,,0.05,166.02,0.179496446,,,,,,,0,0,,,,50,,,50,9,,,0,0,,,0,0,50,9
Flour,barrels,16.89,,0.089285714,166.02,0.90834581,67,305,88,,3,,463,421,80,,,,,107,187,170,,,0,0,,3106,3106,2821,3756,3412
Hoops,,,,,166.02,0,1200,5000,5500,,,,11700,0,,,,,,600,600,0,,,0,0,,,0,0,12300,0
Negroes,,34.74,,1,100,34.74,,1,,,,,1,35,,,,,,,0,0,,,0,0,,,0,0,1,35
Peas,bushels,2.93,,0.05,166.02,0.08824238,12,,,,,,12,1,,,,,,,0,0,,,0,0,,,0,0,12,1
Pig iron,tons,9.2,,1,166.02,5.541501024,,,,,,,0,0,,,,,,,0,0,16,17,33,183,,,0,0,33,183
Plank,feet,11.296,,0.0005,166.02,0.003402,,9250,2400,1500,,,13150,45,,,,,,,0,0,14179,,14179,48,,,0,0,27329,93
Pork,pounds,73.43,,0.00025,166.02,0.011057403,,,,,,,0,0,,,,,,,0,0,,,0,0,,1500,1500,17,1500,17
Pork,barrels,73.43,,0.05,166.02,2.211480545,,50,,,,,50,111,,,,,,,0,0,,,0,0,,35,35,77,85,188
Rye,bushels,2.93,,0.05,166.02,0.08824238,,,,,,,0,0,,,,,434,,434,38,,,0,0,,,0,0,434,38
Shingles,,,,,166.02,0,,1000,,,,,1000,0,,,,,,,0,0,,,0,0,,,0,0,1000,0
Staves,,7.06,,0.001,166.02,0.0042525,8700,12287,,,,,20987,89,,,,2000,,,2000,9,,,0,0,,,0,0,22987,98
Staves and heading,,7.06,,0.001,166.02,0.0042525,,22016,10800,20000,,13916,66732,284,850,,20000,26000,,10992,57842,246,32300,27460,59760,254,,2490,2490,11,186824,795
Sugar,barrels,49.43,,0.15,166.02,4.466028189,,,,,,,0,0,,,9,,,,9,40,,,0,0,,,0,0,9,40
Tobacco,hhds,21.89,,0.552,166.02,7.278207445,,,,,,,0,0,,,,,,,0,0,1291,881,2172,15808,,,0,0,2172,15808
Tobacco,pounds,21.89,,0.0005,166.02,0.006592579,,1151,,,,,1151,8,,,,,,5044,5044,33,,,0,0,,,0,0,6195,41
Wheat,bushels,6.25,,0.05,166.02,0.188230334,,,,,,,0,0,1600,80,,3000,132,,4812,906,,,0,0,11862,7610,19472,3665,24284,4571
Wine,pipes,50.97,,1,166.02,30.70112035,,,,,,,0,0,,,,,,,0,0,2,,2,61,,,0,0,2,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,2350,,,,,,,,2644,,,,17974,,,,6865,,29833
